,Data,PM10,Carbon monoxide,Nitrogen dioxide
0,2017-01-01 01:00:00,31.0,1.0,54.0
1,2017-01-01 01:00:00,31.0,1.0,54
2,2017-01-01 01:00:00,31.0,1.0,54.0
3,2017-01-01 01:00:00,31.0,1.0,54
4,2017-01-01 01:00:00,31,1.0,54.0
5,2017-01-01 01:00:00,31,1.0,54
6,2017-01-01 01:00:00,31,1.0,54.0
7,2017-01-01 01:00:00,31,1.0,54
8,2017-01-01 02:00:00,30,1.0,58
9,2017-01-01 02:00:00,30,1.0,58.0
10,2017-01-01 02:00:00,30,1.0,58
11,2017-01-01 02:00:00,30,1.0,58.0
12,2017-01-01 02:00:00,30.0,1.0,58
13,2017-01-01 02:00:00,30.0,1.0,58.0
14,2017-01-01 02:00:00,30.0,1.0,58.0
15,2017-01-01 02:00:00,30.0,1.0,58
16,2017-01-01 03:00:00,30,1.0,54.0
17,2017-01-01 03:00:00,30,1.0,54
18,2017-01-01 03:00:00,30,1.0,54.0
19,2017-01-01 03:00:00,30,1.0,54
20,2017-01-01 03:00:00,30.0,1.0,54.0
21,2017-01-01 03:00:00,30.0,1.0,54
22,2017-01-01 03:00:00,30.0,1.0,54
23,2017-01-01 03:00:00,30.0,1.0,54.0
24,2017-01-01 04:00:00,30,0.9,54.0
25,2017-01-01 04:00:00,30,0.9,54
26,2017-01-01 04:00:00,30,0.9,54.0
27,2017-01-01 04:00:00,30,0.9,54
28,2017-01-01 04:00:00,30.0,0.9,54.0
29,2017-01-01 04:00:00,30.0,0.9,54
30,2017-01-01 04:00:00,30.0,0.9,54.0
31,2017-01-01 04:00:00,30.0,0.9,54
32,2017-01-01 05:00:00,19.0,0.9,50.0
33,2017-01-01 05:00:00,19.0,0.9,50
34,2017-01-01 05:00:00,19.0,0.9,50.0
35,2017-01-01 05:00:00,19.0,0.9,50
36,2017-01-01 05:00:00,19,0.9,50.0
37,2017-01-01 05:00:00,19,0.9,50
38,2017-01-01 05:00:00,19,0.9,50.0
39,2017-01-01 05:00:00,19,0.9,50
40,2017-01-01 06:00:00,17,0.9,50
41,2017-01-01 06:00:00,17,0.9,50
42,2017-01-01 06:00:00,17,0.9,50.0
43,2017-01-01 06:00:00,17,0.9,50.0
44,2017-01-01 06:00:00,17.0,0.9,50
45,2017-01-01 06:00:00,17.0,0.9,50.0
46,2017-01-01 06:00:00,17.0,0.9,50
47,2017-01-01 06:00:00,17.0,0.9,50.0
48,2017-01-01 07:00:00,17.0,0.9,51.0
49,2017-01-01 07:00:00,17.0,0.9,51
50,2017-01-01 07:00:00,17.0,0.9,51.0
51,2017-01-01 07:00:00,17.0,0.9,51
52,2017-01-01 07:00:00,17,0.9,51.0
53,2017-01-01 07:00:00,17,0.9,51
54,2017-01-01 07:00:00,17,0.9,51.0
55,2017-01-01 07:00:00,17,0.9,51
56,2017-01-01 08:00:00,23,0.9,55.0
57,2017-01-01 08:00:00,23,0.9,55
58,2017-01-01 08:00:00,23,0.9,55.0
59,2017-01-01 08:00:00,23,0.9,55
60,2017-01-01 08:00:00,23.0,0.9,55.0
61,2017-01-01 08:00:00,23.0,0.9,55
62,2017-01-01 08:00:00,23.0,0.9,55.0
63,2017-01-01 08:00:00,23.0,0.9,55
64,2017-01-01 09:00:00,25,0.9,54.0
65,2017-01-01 09:00:00,25,0.9,54
66,2017-01-01 09:00:00,25,0.9,54.0
67,2017-01-01 09:00:00,25,0.9,54
68,2017-01-01 09:00:00,25.0,0.9,54.0
69,2017-01-01 09:00:00,25.0,0.9,54
70,2017-01-01 09:00:00,25.0,0.9,54.0
71,2017-01-01 09:00:00,25.0,0.9,54
72,2017-01-01 10:00:00,25.0,0.9,59.0
73,2017-01-01 10:00:00,25.0,0.9,59
74,2017-01-01 10:00:00,25.0,0.9,59.0
75,2017-01-01 10:00:00,25.0,0.9,59
76,2017-01-01 10:00:00,25,0.9,59.0
77,2017-01-01 10:00:00,25,0.9,59
78,2017-01-01 10:00:00,25,0.9,59.0
79,2017-01-01 10:00:00,25,0.9,59
80,2017-01-01 11:00:00,21,1.0,79.0
81,2017-01-01 11:00:00,21,1.0,79
82,2017-01-01 11:00:00,21,1.0,79.0
83,2017-01-01 11:00:00,21,1.0,79
84,2017-01-01 11:00:00,21.0,1.0,79.0
85,2017-01-01 11:00:00,21.0,1.0,79
86,2017-01-01 11:00:00,21.0,1.0,79
87,2017-01-01 11:00:00,21.0,1.0,79.0
88,2017-01-01 12:00:00,21.0,0.9,98.0
89,2017-01-01 12:00:00,21.0,0.9,98
90,2017-01-01 12:00:00,21.0,0.9,98.0
91,2017-01-01 12:00:00,21.0,0.9,98
92,2017-01-01 12:00:00,21,0.9,98.0
93,2017-01-01 12:00:00,21,0.9,98
94,2017-01-01 12:00:00,21,0.9,98.0
95,2017-01-01 12:00:00,21,0.9,98
96,2017-01-01 13:00:00,21,0.8,84.0
97,2017-01-01 13:00:00,21,0.8,84
98,2017-01-01 13:00:00,21,0.8,84.0
99,2017-01-01 13:00:00,21,0.8,84
100,2017-01-01 13:00:00,21.0,0.8,84.0
101,2017-01-01 13:00:00,21.0,0.8,84
102,2017-01-01 13:00:00,21.0,0.8,84.0
103,2017-01-01 13:00:00,21.0,0.8,84
104,2017-01-01 14:00:00,15,0.8,86.0
105,2017-01-01 14:00:00,15,0.8,86
106,2017-01-01 14:00:00,15,0.8,86.0
107,2017-01-01 14:00:00,15,0.8,86
108,2017-01-01 14:00:00,15.0,0.8,86.0
109,2017-01-01 14:00:00,15.0,0.8,86
110,2017-01-01 14:00:00,15.0,0.8,86.0
111,2017-01-01 14:00:00,15.0,0.8,86
112,2017-01-01 15:00:00,14.0,0.8,95.0
113,2017-01-01 15:00:00,14.0,0.8,95
114,2017-01-01 15:00:00,14.0,0.8,95.0
115,2017-01-01 15:00:00,14.0,0.8,95
116,2017-01-01 15:00:00,14,0.8,95.0
117,2017-01-01 15:00:00,14,0.8,95
118,2017-01-01 15:00:00,14,0.8,95.0
119,2017-01-01 15:00:00,14,0.8,95
120,2017-01-01 16:00:00,14,0.8,109
121,2017-01-01 16:00:00,14,0.8,109.0
122,2017-01-01 16:00:00,14,0.8,109.0
123,2017-01-01 16:00:00,14,0.8,109
124,2017-01-01 16:00:00,14.0,0.8,109.0
125,2017-01-01 16:00:00,14.0,0.8,109.0
126,2017-01-01 16:00:00,14.0,0.8,109
127,2017-01-01 16:00:00,14.0,0.8,109
128,2017-01-01 17:00:00,4,1.0,140
129,2017-01-01 17:00:00,4.0,1.0,140.0
130,2017-01-01 17:00:00,4.0,1.0,140
131,2017-01-01 17:00:00,4.0,1.0,140.0
132,2017-01-01 17:00:00,4.0,1.0,140
133,2017-01-01 17:00:00,4,1.0,140.0
134,2017-01-01 17:00:00,4,1.0,140
135,2017-01-01 17:00:00,4,1.0,140.0
136,2017-01-01 18:00:00,2,1.0,139
137,2017-01-01 18:00:00,2,1.0,139.0
138,2017-01-01 18:00:00,2,1.0,139
139,2017-01-01 18:00:00,2,1.0,139.0
140,2017-01-01 18:00:00,2.0,1.0,139
141,2017-01-01 18:00:00,2.0,1.0,139.0
142,2017-01-01 18:00:00,2.0,1.0,139.0
143,2017-01-01 18:00:00,2.0,1.0,139
144,2017-01-01 19:00:00,2,1.1,152.0
145,2017-01-01 19:00:00,2,1.1,152.0
146,2017-01-01 19:00:00,2,1.1,152
147,2017-01-01 19:00:00,2,1.1,152
148,2017-01-01 19:00:00,2.0,1.1,152
149,2017-01-01 19:00:00,2.0,1.1,152
150,2017-01-01 19:00:00,2.0,1.1,152.0
151,2017-01-01 19:00:00,2.0,1.1,152.0
152,2017-01-01 20:00:00,33.0,1.3,160.0
153,2017-01-01 20:00:00,33.0,1.3,160
154,2017-01-01 20:00:00,33.0,1.3,160.0
155,2017-01-01 20:00:00,33.0,1.3,160
156,2017-01-01 20:00:00,33,1.3,160.0
157,2017-01-01 20:00:00,33,1.3,160
158,2017-01-01 20:00:00,33,1.3,160.0
159,2017-01-01 20:00:00,33,1.3,160
160,2017-01-01 21:00:00,39,1.3,116
161,2017-01-01 21:00:00,39,1.3,116.0
162,2017-01-01 21:00:00,39,1.3,116
163,2017-01-01 21:00:00,39,1.3,116.0
164,2017-01-01 21:00:00,39.0,1.3,116.0
165,2017-01-01 21:00:00,39.0,1.3,116.0
166,2017-01-01 21:00:00,39.0,1.3,116
167,2017-01-01 21:00:00,39.0,1.3,116
168,2017-01-01 22:00:00,39,1.2,96
169,2017-01-01 22:00:00,39,1.2,96
170,2017-01-01 22:00:00,39,1.2,96.0
171,2017-01-01 22:00:00,39,1.2,96.0
172,2017-01-01 22:00:00,39.0,1.2,96.0
173,2017-01-01 22:00:00,39.0,1.2,96.0
174,2017-01-01 22:00:00,39.0,1.2,96
175,2017-01-01 22:00:00,39.0,1.2,96
176,2017-01-01 23:00:00,41,1.2,87
177,2017-01-01 23:00:00,41,1.2,87
178,2017-01-01 23:00:00,41,1.2,87.0
179,2017-01-01 23:00:00,41,1.2,87.0
180,2017-01-01 23:00:00,41.0,1.2,87.0
181,2017-01-01 23:00:00,41.0,1.2,87
182,2017-01-01 23:00:00,41.0,1.2,87.0
183,2017-01-01 23:00:00,41.0,1.2,87
184,2017-01-02 00:00:00,41,1.2,79.0
185,2017-01-02 00:00:00,41.0,1.2,79.0
186,2017-01-02 00:00:00,41.0,1.2,79
187,2017-01-02 00:00:00,41.0,1.2,79.0
188,2017-01-02 00:00:00,41.0,1.2,79
189,2017-01-02 00:00:00,41,1.2,79.0
190,2017-01-02 00:00:00,41,1.2,79
191,2017-01-02 00:00:00,41,1.2,79
192,2017-01-02 01:00:00,41,1.1,66
193,2017-01-02 02:00:00,35,1.1,63
194,2017-01-02 03:00:00,34,1.0,58
195,2017-01-02 04:00:00,34,1.0,58
196,2017-01-02 05:00:00,21,1.0,56
197,2017-01-02 06:00:00,18,1.0,58
198,2017-01-02 07:00:00,18,0.9,66
199,2017-01-02 08:00:00,18,1.0,83
