,Data,PM10,Nitrogen dioxide,Ozone,PM2.5
0,2016-01-01 01:00:00,65.0,32.0,3.0,60.0
1,2016-01-01 02:00:00,63.0,31.0,2.0,59.0
2,2016-01-01 03:00:00,53.0,35.0,2.0,50.0
3,2016-01-01 04:00:00,52.0,32.0,2.0,49.0
4,2016-01-01 05:00:00,48.0,28.0,1.0,45.0
5,2016-01-01 06:00:00,48.0,26.0,2.0,45.0
6,2016-01-01 07:00:00,46.0,24.0,1.0,41.0
7,2016-01-01 08:00:00,43.0,23.0,2.0,39.0
8,2016-01-01 09:00:00,44.0,23.0,2.0,39.0
9,2016-01-01 10:00:00,43.0,21.0,4.0,38.0
10,2016-01-01 11:00:00,50.0,23.0,8.0,46.0
11,2016-01-01 12:00:00,37.0,20.0,15.0,34.0
12,2016-01-01 13:00:00,24.0,19.0,21.0,22.0
13,2016-01-01 14:00:00,26.0,17.0,27.0,25.0
14,2016-01-01 15:00:00,28.0,21.0,25.0,25.0
15,2016-01-01 16:00:00,43.0,33.0,18.0,40.0
16,2016-01-01 17:00:00,54.0,47.0,8.0,47.0
17,2016-01-01 18:00:00,75.0,53.0,8.0,67.0
18,2016-01-01 19:00:00,55.0,52.0,3.0,48.0
19,2016-01-01 20:00:00,62.0,47.0,4.0,55.0
20,2016-01-01 21:00:00,80.0,46.0,6.0,69.0
21,2016-01-01 22:00:00,62.0,35.0,4.0,54.0
22,2016-01-01 23:00:00,55.0,35.0,3.0,47.0
23,2016-01-02 00:00:00,55.0,29.0,2.0,43.0
24,2016-01-02 01:00:00,50.0,27.0,2.0,36.0
25,2016-01-02 02:00:00,49.0,25.0,2.0,35.0
26,2016-01-02 03:00:00,51.0,23.0,2.0,39.0
27,2016-01-02 04:00:00,46.0,21.0,2.0,36.0
28,2016-01-02 05:00:00,44.0,19.0,2.0,37.0
29,2016-01-02 06:00:00,43.0,19.0,2.0,36.0
30,2016-01-02 07:00:00,46.0,20.0,2.0,37.0
31,2016-01-02 08:00:00,43.0,21.0,2.0,34.0
32,2016-01-02 09:00:00,49.0,25.0,2.0,41.0
33,2016-01-02 10:00:00,69.0,36.0,5.0,64.0
34,2016-01-02 11:00:00,63.0,41.0,5.0,61.0
35,2016-01-02 12:00:00,66.0,42.0,6.0,63.0
36,2016-01-02 13:00:00,64.0,35.0,7.0,61.0
37,2016-01-02 14:00:00,61.0,42.0,6.0,58.0
38,2016-01-02 15:00:00,70.0,46.0,6.0,69.0
39,2016-01-02 16:00:00,61.0,48.0,4.0,58.0
40,2016-01-02 17:00:00,58.0,39.0,4.0,53.0
41,2016-01-02 18:00:00,69.0,43.0,4.0,63.0
42,2016-01-02 19:00:00,62.0,40.0,3.0,56.0
43,2016-01-02 20:00:00,67.0,38.0,4.0,61.0
44,2016-01-02 21:00:00,65.0,34.0,4.0,59.0
45,2016-01-02 22:00:00,59.0,33.0,5.0,54.0
46,2016-01-02 23:00:00,50.0,32.0,8.0,46.0
47,2016-01-03 00:00:00,42.0,31.0,10.0,40.0
48,2016-01-03 01:00:00,39.0,27.0,10.0,38.0
49,2016-01-03 02:00:00,38.0,29.0,8.0,38.0
50,2016-01-03 03:00:00,39.0,26.0,9.0,39.0
51,2016-01-03 04:00:00,36.0,23.0,11.0,36.0
52,2016-01-03 05:00:00,35.0,21.0,10.0,34.0
53,2016-01-03 06:00:00,35.0,15.0,7.0,35.0
54,2016-01-03 07:00:00,36.0,27.0,2.0,36.0
55,2016-01-03 08:00:00,41.0,27.0,2.0,40.0
56,2016-01-03 09:00:00,39.0,25.0,3.0,39.0
57,2016-01-03 10:00:00,42.0,27.0,6.0,42.0
58,2016-01-03 11:00:00,43.0,26.0,10.0,43.0
59,2016-01-03 12:00:00,42.0,21.0,16.0,41.0
60,2016-01-03 13:00:00,51.0,26.0,16.0,51.0
61,2016-01-03 14:00:00,63.0,27.0,16.0,61.0
62,2016-01-03 15:00:00,63.0,34.0,10.0,61.0
63,2016-01-03 16:00:00,80.0,43.0,8.0,76.0
64,2016-01-03 17:00:00,65.0,50.0,3.0,63.0
65,2016-01-03 18:00:00,79.0,51.0,4.0,47.0
66,2016-01-03 19:00:00,61.0,52.0,3.0,39.0
67,2016-01-03 20:00:00,71.0,49.0,5.0,66.0
68,2016-01-03 21:00:00,78.0,48.0,5.0,71.0
69,2016-01-03 22:00:00,76.0,39.0,5.0,74.0
70,2016-01-03 23:00:00,56.0,30.0,1.0,51.0
71,2016-01-04 00:00:00,61.0,30.0,2.0,57.0
72,2016-01-04 01:00:00,60.0,29.0,1.0,57.0
73,2016-01-04 02:00:00,54.0,29.0,1.0,51.0
74,2016-01-04 03:00:00,48.0,31.0,1.0,47.0
75,2016-01-04 04:00:00,47.0,30.0,1.0,46.0
76,2016-01-04 05:00:00,42.0,27.0,3.0,41.0
77,2016-01-04 06:00:00,37.0,24.0,5.0,36.0
78,2016-01-04 07:00:00,39.0,31.0,4.0,39.0
79,2016-01-04 08:00:00,42.0,31.0,3.0,42.0
80,2016-01-04 09:00:00,50.0,36.0,3.0,50.0
81,2016-01-04 10:00:00,53.0,36.0,4.0,53.0
82,2016-01-04 11:00:00,47.0,33.0,9.0,47.0
83,2016-01-04 12:00:00,42.0,40.0,9.0,42.0
84,2016-01-04 13:00:00,40.0,35.0,11.0,40.0
85,2016-01-04 14:00:00,39.0,30.0,13.0,38.0
86,2016-01-04 15:00:00,36.0,32.0,13.0,36.0
87,2016-01-04 16:00:00,32.0,41.0,6.0,31.0
88,2016-01-04 17:00:00,36.0,46.0,4.0,35.0
89,2016-01-04 18:00:00,33.0,44.0,2.0,32.0
90,2016-01-04 19:00:00,29.0,44.0,1.0,27.0
91,2016-01-04 20:00:00,29.0,44.0,2.0,27.0
92,2016-01-04 21:00:00,30.0,38.0,4.0,28.0
93,2016-01-04 22:00:00,30.0,37.0,3.0,29.0
