,Data,PM10,Nitrogen dioxide,Ozone
0,2020-03-01 00:00:00,38,5,91
1,2020-03-01 01:00:00,18.0,5.0,92
2,2020-03-01 01:00:00,18.0,5.0,92.0
3,2020-03-01 01:00:00,18.0,5,92.0
4,2020-03-01 01:00:00,18,5,92
5,2020-03-01 01:00:00,18,5.0,92.0
6,2020-03-01 01:00:00,18,5.0,92
7,2020-03-01 01:00:00,18,5,92.0
8,2020-03-01 01:00:00,18.0,5,92
9,2020-03-01 02:00:00,7,4,92
10,2020-03-01 02:00:00,7,4,92.0
11,2020-03-01 02:00:00,7,4.0,92
12,2020-03-01 02:00:00,7,4.0,92.0
13,2020-03-01 02:00:00,7.0,4,92
14,2020-03-01 02:00:00,7.0,4,92.0
15,2020-03-01 02:00:00,7.0,4.0,92
16,2020-03-01 02:00:00,7.0,4.0,92.0
17,2020-03-01 03:00:00,4.0,4.0,91.0
18,2020-03-01 03:00:00,4.0,4.0,91
19,2020-03-01 03:00:00,4.0,4,91.0
20,2020-03-01 03:00:00,4.0,4,91
21,2020-03-01 03:00:00,4,4.0,91
22,2020-03-01 03:00:00,4,4,91.0
23,2020-03-01 03:00:00,4,4,91
24,2020-03-01 03:00:00,4,4.0,91.0
25,2020-03-01 04:00:00,3,4,89
26,2020-03-01 04:00:00,3,4,89.0
27,2020-03-01 04:00:00,3,4.0,89
28,2020-03-01 04:00:00,3,4.0,89.0
29,2020-03-01 04:00:00,3.0,4,89
30,2020-03-01 04:00:00,3.0,4,89.0
31,2020-03-01 04:00:00,3.0,4.0,89
32,2020-03-01 04:00:00,3.0,4.0,89.0
33,2020-03-01 05:00:00,3.0,4.0,87
34,2020-03-01 05:00:00,3.0,4,87.0
35,2020-03-01 05:00:00,3.0,4.0,87.0
36,2020-03-01 05:00:00,3,4.0,87.0
37,2020-03-01 05:00:00,3,4.0,87
38,2020-03-01 05:00:00,3,4,87
39,2020-03-01 05:00:00,3.0,4,87
40,2020-03-01 05:00:00,3,4,87.0
41,2020-03-01 06:00:00,3.0,4.0,86.0
42,2020-03-01 06:00:00,3.0,4.0,86
43,2020-03-01 06:00:00,3.0,4,86.0
44,2020-03-01 06:00:00,3,4,86.0
