,Data,PM10,Nitrogen dioxide,Ozone
0,2020-03-01 00:00:00,15,18,59
1,2020-03-01 01:00:00,16.0,20.0,59
2,2020-03-01 01:00:00,16.0,20,59.0
3,2020-03-01 01:00:00,16.0,20.0,59.0
4,2020-03-01 01:00:00,16.0,20,59
5,2020-03-01 01:00:00,16,20.0,59
6,2020-03-01 01:00:00,16,20,59.0
7,2020-03-01 01:00:00,16,20,59
8,2020-03-01 01:00:00,16,20.0,59.0
9,2020-03-01 02:00:00,18,24,41
10,2020-03-01 02:00:00,18,24,41.0
11,2020-03-01 02:00:00,18,24.0,41
12,2020-03-01 02:00:00,18,24.0,41.0
13,2020-03-01 02:00:00,18.0,24,41
14,2020-03-01 02:00:00,18.0,24,41.0
15,2020-03-01 02:00:00,18.0,24.0,41
16,2020-03-01 02:00:00,18.0,24.0,41.0
17,2020-03-01 03:00:00,19.0,19.0,45.0
18,2020-03-01 03:00:00,19.0,19.0,45
19,2020-03-01 03:00:00,19.0,19,45
20,2020-03-01 03:00:00,19,19.0,45.0
21,2020-03-01 03:00:00,19.0,19,45.0
22,2020-03-01 03:00:00,19,19,45.0
23,2020-03-01 03:00:00,19,19,45
24,2020-03-01 03:00:00,19,19.0,45
25,2020-03-01 04:00:00,17.0,11.0,51.0
26,2020-03-01 04:00:00,17.0,11.0,51
27,2020-03-01 04:00:00,17.0,11,51
28,2020-03-01 04:00:00,17,11.0,51.0
29,2020-03-01 04:00:00,17.0,11,51.0
30,2020-03-01 04:00:00,17,11,51.0
31,2020-03-01 04:00:00,17,11,51
32,2020-03-01 04:00:00,17,11.0,51
33,2020-03-01 05:00:00,17.0,12.0,43
34,2020-03-01 05:00:00,17,12,43
35,2020-03-01 05:00:00,17,12,43.0
36,2020-03-01 05:00:00,17,12.0,43
37,2020-03-01 05:00:00,17,12.0,43.0
38,2020-03-01 05:00:00,17.0,12,43
39,2020-03-01 05:00:00,17.0,12,43.0
40,2020-03-01 05:00:00,17.0,12.0,43.0
41,2020-03-01 06:00:00,17.0,8.0,50
42,2020-03-01 06:00:00,17.0,8.0,50.0
43,2020-03-01 06:00:00,17.0,8,50
44,2020-03-01 06:00:00,17,8.0,50.0
45,2020-03-01 06:00:00,17.0,8,50.0
46,2020-03-01 06:00:00,17,8,50.0
47,2020-03-01 06:00:00,17,8.0,50
48,2020-03-01 06:00:00,17,8,50
49,2020-03-01 07:00:00,17.0,8.0,50
50,2020-03-01 07:00:00,17.0,8,50.0
51,2020-03-01 07:00:00,17.0,8,50
52,2020-03-01 07:00:00,17,8.0,50.0
53,2020-03-01 07:00:00,17.0,8.0,50.0
54,2020-03-01 07:00:00,17,8,50.0
55,2020-03-01 07:00:00,17,8,50
56,2020-03-01 07:00:00,17,8.0,50
57,2020-03-01 08:00:00,18,10,49
58,2020-03-01 08:00:00,18,10,49.0
59,2020-03-01 08:00:00,18,10.0,49
60,2020-03-01 08:00:00,18,10.0,49.0
61,2020-03-01 08:00:00,18.0,10,49
62,2020-03-01 08:00:00,18.0,10,49.0
63,2020-03-01 08:00:00,18.0,10.0,49
64,2020-03-01 08:00:00,18.0,10.0,49.0
65,2020-03-01 09:00:00,19.0,14.0,49
66,2020-03-01 09:00:00,19.0,14.0,49.0
67,2020-03-01 09:00:00,19.0,14,49.0
68,2020-03-01 09:00:00,19.0,14,49
69,2020-03-01 09:00:00,19,14,49.0
70,2020-03-01 09:00:00,19,14.0,49
71,2020-03-01 09:00:00,19,14,49
72,2020-03-01 09:00:00,19,14.0,49.0
73,2020-03-01 10:00:00,18.0,15.0,52.0
74,2020-03-01 10:00:00,18.0,15.0,52
75,2020-03-01 10:00:00,18.0,15,52
76,2020-03-01 10:00:00,18,15.0,52.0
77,2020-03-01 10:00:00,18.0,15,52.0
78,2020-03-01 10:00:00,18,15,52.0
79,2020-03-01 10:00:00,18,15,52
80,2020-03-01 10:00:00,18,15.0,52
81,2020-03-01 11:00:00,13.0,9.0,59
82,2020-03-01 11:00:00,13,9,59
83,2020-03-01 11:00:00,13,9,59.0
84,2020-03-01 11:00:00,13,9.0,59
85,2020-03-01 11:00:00,13,9.0,59.0
86,2020-03-01 11:00:00,13.0,9,59
87,2020-03-01 11:00:00,13.0,9,59.0
88,2020-03-01 11:00:00,13.0,9.0,59.0
89,2020-03-01 12:00:00,12.0,8.0,65
90,2020-03-01 12:00:00,12.0,8,65
91,2020-03-01 12:00:00,12.0,8.0,65.0
92,2020-03-01 12:00:00,12.0,8,65.0
93,2020-03-01 12:00:00,12,8.0,65.0
94,2020-03-01 12:00:00,12,8,65
95,2020-03-01 12:00:00,12,8.0,65
96,2020-03-01 12:00:00,12,8,65.0
97,2020-03-01 13:00:00,13,14,62
98,2020-03-01 13:00:00,13,14,62.0
99,2020-03-01 13:00:00,13,14.0,62
100,2020-03-01 13:00:00,13,14.0,62.0
101,2020-03-01 13:00:00,13.0,14,62
102,2020-03-01 13:00:00,13.0,14,62.0
103,2020-03-01 13:00:00,13.0,14.0,62
104,2020-03-01 13:00:00,13.0,14.0,62.0
105,2020-03-01 14:00:00,14.0,15.0,58.0
106,2020-03-01 14:00:00,14.0,15.0,58
107,2020-03-01 14:00:00,14.0,15,58.0
108,2020-03-01 14:00:00,14.0,15,58
109,2020-03-01 14:00:00,14,15.0,58.0
110,2020-03-01 14:00:00,14,15.0,58
111,2020-03-01 14:00:00,14,15,58.0
112,2020-03-01 14:00:00,14,15,58
113,2020-03-01 15:00:00,14,16,56
114,2020-03-01 15:00:00,14,16,56.0
115,2020-03-01 15:00:00,14,16.0,56
