,Data,PM10,Nitrogen dioxide,Ozone,PM2.5
0,2020-03-01 00:00:00,20,21,53,14
1,2020-03-01 01:00:00,21.0,17.0,51.0,14.0
2,2020-03-01 01:00:00,21.0,17.0,51.0,14
3,2020-03-01 01:00:00,21.0,17.0,51,14.0
4,2020-03-01 01:00:00,21.0,17.0,51,14
5,2020-03-01 01:00:00,21.0,17,51.0,14.0
6,2020-03-01 01:00:00,21.0,17,51.0,14
7,2020-03-01 01:00:00,21.0,17,51,14.0
8,2020-03-01 01:00:00,21.0,17,51,14
9,2020-03-01 01:00:00,21,17.0,51.0,14
10,2020-03-01 01:00:00,21,17.0,51,14.0
11,2020-03-01 01:00:00,21,17.0,51,14
12,2020-03-01 01:00:00,21,17,51.0,14.0
13,2020-03-01 01:00:00,21,17,51.0,14
14,2020-03-01 01:00:00,21,17,51,14.0
15,2020-03-01 01:00:00,21,17,51,14
16,2020-03-01 01:00:00,21,17.0,51.0,14.0
17,2020-03-01 02:00:00,24.0,16,52,16.0
18,2020-03-01 02:00:00,24.0,16.0,52.0,16.0
19,2020-03-01 02:00:00,24.0,16.0,52.0,16
20,2020-03-01 02:00:00,24.0,16.0,52,16.0
21,2020-03-01 02:00:00,24.0,16.0,52,16
22,2020-03-01 02:00:00,24.0,16,52.0,16.0
23,2020-03-01 02:00:00,24.0,16,52.0,16
24,2020-03-01 02:00:00,24.0,16,52,16
25,2020-03-01 02:00:00,24,16,52,16
26,2020-03-01 02:00:00,24,16.0,52.0,16
27,2020-03-01 02:00:00,24,16.0,52,16.0
28,2020-03-01 02:00:00,24,16.0,52,16
29,2020-03-01 02:00:00,24,16,52.0,16.0
30,2020-03-01 02:00:00,24,16,52.0,16
31,2020-03-01 02:00:00,24,16,52,16.0
32,2020-03-01 02:00:00,24,16.0,52.0,16.0
33,2020-03-01 03:00:00,24.0,18,48.0,17
34,2020-03-01 03:00:00,24.0,18.0,48.0,17.0
35,2020-03-01 03:00:00,24.0,18.0,48.0,17
36,2020-03-01 03:00:00,24.0,18.0,48,17.0
37,2020-03-01 03:00:00,24.0,18.0,48,17
38,2020-03-01 03:00:00,24.0,18,48.0,17.0
39,2020-03-01 03:00:00,24.0,18,48,17.0
40,2020-03-01 03:00:00,24.0,18,48,17
41,2020-03-01 03:00:00,24,18.0,48.0,17
42,2020-03-01 03:00:00,24,18.0,48,17.0
43,2020-03-01 03:00:00,24,18.0,48,17
44,2020-03-01 03:00:00,24,18,48.0,17.0
45,2020-03-01 03:00:00,24,18,48.0,17
46,2020-03-01 03:00:00,24,18,48,17.0
47,2020-03-01 03:00:00,24,18,48,17
48,2020-03-01 03:00:00,24,18.0,48.0,17.0
49,2020-03-01 04:00:00,21.0,13.0,53.0,17.0
50,2020-03-01 04:00:00,21.0,13.0,53.0,17
51,2020-03-01 04:00:00,21.0,13.0,53,17
52,2020-03-01 04:00:00,21.0,13,53.0,17.0
53,2020-03-01 04:00:00,21.0,13,53.0,17
54,2020-03-01 04:00:00,21.0,13,53,17.0
55,2020-03-01 04:00:00,21.0,13,53,17
56,2020-03-01 04:00:00,21.0,13.0,53,17.0
57,2020-03-01 04:00:00,21,13.0,53.0,17
58,2020-03-01 04:00:00,21,13.0,53,17.0
59,2020-03-01 04:00:00,21,13.0,53,17
60,2020-03-01 04:00:00,21,13,53.0,17.0
61,2020-03-01 04:00:00,21,13,53.0,17
62,2020-03-01 04:00:00,21,13,53,17.0
63,2020-03-01 04:00:00,21,13,53,17
64,2020-03-01 04:00:00,21,13.0,53.0,17.0
65,2020-03-01 05:00:00,17.0,8.0,69.0,12.0
66,2020-03-01 05:00:00,17.0,8.0,69.0,12
67,2020-03-01 05:00:00,17.0,8.0,69,12.0
68,2020-03-01 05:00:00,17.0,8.0,69,12
69,2020-03-01 05:00:00,17.0,8,69.0,12.0
70,2020-03-01 05:00:00,17.0,8,69.0,12
71,2020-03-01 05:00:00,17.0,8,69,12.0
72,2020-03-01 05:00:00,17.0,8,69,12
73,2020-03-01 05:00:00,17,8.0,69,12.0
74,2020-03-01 05:00:00,17,8.0,69.0,12
75,2020-03-01 05:00:00,17,8.0,69,12
76,2020-03-01 05:00:00,17,8,69.0,12.0
77,2020-03-01 05:00:00,17,8,69.0,12
78,2020-03-01 05:00:00,17,8,69,12.0
79,2020-03-01 05:00:00,17,8,69,12
80,2020-03-01 05:00:00,17,8.0,69.0,12.0
81,2020-03-01 06:00:00,15.0,8,66.0,8.0
82,2020-03-01 06:00:00,15.0,8,66.0,8
83,2020-03-01 06:00:00,15.0,8.0,66,8
84,2020-03-01 06:00:00,15.0,8,66,8.0
85,2020-03-01 06:00:00,15.0,8.0,66.0,8
86,2020-03-01 06:00:00,15.0,8.0,66.0,8.0
87,2020-03-01 06:00:00,15.0,8.0,66,8.0
88,2020-03-01 06:00:00,15.0,8,66,8
89,2020-03-01 06:00:00,15,8.0,66.0,8
90,2020-03-01 06:00:00,15,8.0,66,8.0
91,2020-03-01 06:00:00,15,8.0,66,8
92,2020-03-01 06:00:00,15,8,66.0,8.0
93,2020-03-01 06:00:00,15,8,66.0,8
94,2020-03-01 06:00:00,15,8,66,8.0
95,2020-03-01 06:00:00,15,8,66,8
96,2020-03-01 06:00:00,15,8.0,66.0,8.0
97,2020-03-01 07:00:00,14.0,8.0,68.0,8.0
98,2020-03-01 07:00:00,14.0,8.0,68.0,8
