,Data,PM10,Nitrogen dioxide,Ozone,PM2.5
0,2020-03-01 00:00:00,17,20,58,12
1,2020-03-01 01:00:00,13.0,11.0,67.0,9.0
2,2020-03-01 01:00:00,13.0,11.0,67.0,9
3,2020-03-01 01:00:00,13.0,11.0,67,9.0
4,2020-03-01 01:00:00,13.0,11.0,67,9
5,2020-03-01 01:00:00,13.0,11,67.0,9.0
6,2020-03-01 01:00:00,13.0,11,67.0,9
7,2020-03-01 01:00:00,13.0,11,67,9.0
8,2020-03-01 01:00:00,13.0,11,67,9
9,2020-03-01 01:00:00,13,11.0,67.0,9.0
10,2020-03-01 01:00:00,13,11.0,67.0,9
11,2020-03-01 01:00:00,13,11.0,67,9.0
12,2020-03-01 01:00:00,13,11.0,67,9
13,2020-03-01 01:00:00,13,11,67.0,9.0
14,2020-03-01 01:00:00,13,11,67.0,9
15,2020-03-01 01:00:00,13,11,67,9.0
16,2020-03-01 01:00:00,13,11,67,9
17,2020-03-01 02:00:00,14.0,11.0,60.0,9.0
18,2020-03-01 02:00:00,14.0,11.0,60,9.0
19,2020-03-01 02:00:00,14.0,11.0,60,9
20,2020-03-01 02:00:00,14.0,11,60.0,9.0
21,2020-03-01 02:00:00,14.0,11,60.0,9
22,2020-03-01 02:00:00,14.0,11,60,9.0
23,2020-03-01 02:00:00,14.0,11,60,9
24,2020-03-01 02:00:00,14.0,11.0,60.0,9
25,2020-03-01 02:00:00,14,11.0,60.0,9
26,2020-03-01 02:00:00,14,11,60,9
27,2020-03-01 02:00:00,14,11,60,9.0
28,2020-03-01 02:00:00,14,11,60.0,9
29,2020-03-01 02:00:00,14,11.0,60.0,9.0
30,2020-03-01 02:00:00,14,11.0,60,9
31,2020-03-01 02:00:00,14,11.0,60,9.0
32,2020-03-01 02:00:00,14,11,60.0,9.0
33,2020-03-01 03:00:00,15.0,10.0,56.0,11.0
34,2020-03-01 03:00:00,15.0,10.0,56.0,11
35,2020-03-01 03:00:00,15.0,10.0,56,11.0
36,2020-03-01 03:00:00,15.0,10.0,56,11
37,2020-03-01 03:00:00,15.0,10,56.0,11.0
38,2020-03-01 03:00:00,15.0,10,56,11.0
39,2020-03-01 03:00:00,15.0,10,56,11
40,2020-03-01 03:00:00,15.0,10,56.0,11
41,2020-03-01 03:00:00,15,10.0,56.0,11
42,2020-03-01 03:00:00,15,10.0,56,11.0
43,2020-03-01 03:00:00,15,10.0,56,11
44,2020-03-01 03:00:00,15,10,56.0,11.0
45,2020-03-01 03:00:00,15,10,56.0,11
46,2020-03-01 03:00:00,15,10,56,11.0
47,2020-03-01 03:00:00,15,10,56,11
48,2020-03-01 03:00:00,15,10.0,56.0,11.0
49,2020-03-01 04:00:00,16.0,9,60.0,11
50,2020-03-01 04:00:00,16.0,9.0,60.0,11.0
51,2020-03-01 04:00:00,16.0,9.0,60.0,11
52,2020-03-01 04:00:00,16.0,9.0,60,11.0
53,2020-03-01 04:00:00,16.0,9.0,60,11
54,2020-03-01 04:00:00,16.0,9,60.0,11.0
55,2020-03-01 04:00:00,16.0,9,60,11.0
56,2020-03-01 04:00:00,16,9,60.0,11
57,2020-03-01 04:00:00,16,9.0,60.0,11.0
58,2020-03-01 04:00:00,16,9.0,60.0,11
59,2020-03-01 04:00:00,16,9.0,60,11.0
60,2020-03-01 04:00:00,16,9.0,60,11
61,2020-03-01 04:00:00,16,9,60.0,11.0
62,2020-03-01 04:00:00,16,9,60,11.0
63,2020-03-01 04:00:00,16,9,60,11
64,2020-03-01 04:00:00,16.0,9,60,11
65,2020-03-01 05:00:00,19.0,12,60.0,13
66,2020-03-01 05:00:00,19.0,12.0,60.0,13.0
67,2020-03-01 05:00:00,19.0,12.0,60.0,13
68,2020-03-01 05:00:00,19.0,12.0,60,13.0
69,2020-03-01 05:00:00,19.0,12.0,60,13
70,2020-03-01 05:00:00,19.0,12,60.0,13.0
71,2020-03-01 05:00:00,19.0,12,60,13.0
72,2020-03-01 05:00:00,19,12,60.0,13
73,2020-03-01 05:00:00,19,12.0,60.0,13.0
74,2020-03-01 05:00:00,19,12.0,60.0,13
75,2020-03-01 05:00:00,19,12.0,60,13.0
76,2020-03-01 05:00:00,19,12.0,60,13
77,2020-03-01 05:00:00,19,12,60.0,13.0
78,2020-03-01 05:00:00,19,12,60,13
79,2020-03-01 05:00:00,19,12,60,13.0
80,2020-03-01 05:00:00,19.0,12,60,13
81,2020-03-01 06:00:00,20.0,11.0,57.0,13.0
82,2020-03-01 06:00:00,20.0,11.0,57.0,13
83,2020-03-01 06:00:00,20.0,11.0,57,13.0
84,2020-03-01 06:00:00,20.0,11.0,57,13
85,2020-03-01 06:00:00,20.0,11,57.0,13.0
86,2020-03-01 06:00:00,20.0,11,57.0,13
87,2020-03-01 06:00:00,20.0,11,57,13.0
88,2020-03-01 06:00:00,20.0,11,57,13
89,2020-03-01 06:00:00,20,11.0,57.0,13
90,2020-03-01 06:00:00,20,11.0,57,13.0
91,2020-03-01 06:00:00,20,11.0,57,13
92,2020-03-01 06:00:00,20,11,57.0,13.0
93,2020-03-01 06:00:00,20,11,57.0,13
94,2020-03-01 06:00:00,20,11,57,13.0
95,2020-03-01 06:00:00,20,11,57,13
96,2020-03-01 06:00:00,20,11.0,57.0,13.0
97,2020-03-01 07:00:00,22.0,15.0,50.0,15.0
98,2020-03-01 07:00:00,22.0,15.0,50.0,15
99,2020-03-01 07:00:00,22.0,15,50.0,15
100,2020-03-01 07:00:00,22.0,15.0,50,15.0
101,2020-03-01 07:00:00,22.0,15.0,50,15
102,2020-03-01 07:00:00,22.0,15,50.0,15.0
103,2020-03-01 07:00:00,22.0,15,50,15.0
104,2020-03-01 07:00:00,22,15,50.0,15
105,2020-03-01 07:00:00,22,15.0,50.0,15.0
106,2020-03-01 07:00:00,22.0,15,50,15
107,2020-03-01 07:00:00,22,15,50,15.0
108,2020-03-01 07:00:00,22,15,50.0,15.0
109,2020-03-01 07:00:00,22,15,50,15
110,2020-03-01 07:00:00,22,15.0,50,15.0
111,2020-03-01 07:00:00,22,15.0,50,15
112,2020-03-01 07:00:00,22,15.0,50.0,15
113,2020-03-01 08:00:00,25,19,45,18.0
114,2020-03-01 08:00:00,25.0,19.0,45.0,18.0
115,2020-03-01 08:00:00,25.0,19.0,45.0,18
116,2020-03-01 08:00:00,25.0,19.0,45,18.0
117,2020-03-01 08:00:00,25.0,19.0,45,18
118,2020-03-01 08:00:00,25,19,45,18
119,2020-03-01 08:00:00,25.0,19,45,18.0
120,2020-03-01 08:00:00,25.0,19,45.0,18.0
121,2020-03-01 08:00:00,25,19.0,45.0,18.0
122,2020-03-01 08:00:00,25,19.0,45.0,18
123,2020-03-01 08:00:00,25,19.0,45,18.0
124,2020-03-01 08:00:00,25,19.0,45,18
125,2020-03-01 08:00:00,25,19,45.0,18.0
126,2020-03-01 08:00:00,25,19,45.0,18
127,2020-03-01 08:00:00,25.0,19,45,18
128,2020-03-01 08:00:00,25.0,19,45.0,18
129,2020-03-01 09:00:00,33.0,21,44,24.0
130,2020-03-01 09:00:00,33.0,21.0,44.0,24
131,2020-03-01 09:00:00,33.0,21.0,44,24.0
132,2020-03-01 09:00:00,33.0,21.0,44,24
133,2020-03-01 09:00:00,33.0,21,44.0,24.0
134,2020-03-01 09:00:00,33.0,21.0,44.0,24.0
135,2020-03-01 09:00:00,33.0,21,44.0,24
136,2020-03-01 09:00:00,33,21.0,44.0,24
137,2020-03-01 09:00:00,33,21.0,44.0,24.0
138,2020-03-01 09:00:00,33,21,44,24
139,2020-03-01 09:00:00,33,21,44,24.0
140,2020-03-01 09:00:00,33.0,21,44,24
141,2020-03-01 09:00:00,33,21,44.0,24.0
142,2020-03-01 09:00:00,33,21.0,44,24
143,2020-03-01 09:00:00,33,21,44.0,24
144,2020-03-01 09:00:00,33,21.0,44,24.0
145,2020-03-01 10:00:00,22.0,21.0,44.0,16.0
146,2020-03-01 10:00:00,22.0,21.0,44.0,16
147,2020-03-01 10:00:00,22.0,21.0,44,16.0
148,2020-03-01 10:00:00,22.0,21.0,44,16
149,2020-03-01 10:00:00,22.0,21,44.0,16.0
150,2020-03-01 10:00:00,22.0,21,44,16.0
151,2020-03-01 10:00:00,22.0,21,44,16
152,2020-03-01 10:00:00,22.0,21,44.0,16
153,2020-03-01 10:00:00,22,21.0,44,16.0
154,2020-03-01 10:00:00,22,21.0,44,16
155,2020-03-01 10:00:00,22,21,44.0,16.0
156,2020-03-01 10:00:00,22,21,44.0,16
157,2020-03-01 10:00:00,22,21,44,16.0
158,2020-03-01 10:00:00,22,21,44,16
159,2020-03-01 10:00:00,22,21.0,44.0,16
160,2020-03-01 10:00:00,22,21.0,44.0,16.0
161,2020-03-01 11:00:00,16.0,19,51,12.0
162,2020-03-01 11:00:00,16.0,19.0,51.0,12.0
163,2020-03-01 11:00:00,16.0,19.0,51.0,12
164,2020-03-01 11:00:00,16.0,19.0,51,12.0
165,2020-03-01 11:00:00,16.0,19.0,51,12
166,2020-03-01 11:00:00,16.0,19,51.0,12.0
167,2020-03-01 11:00:00,16.0,19,51.0,12
168,2020-03-01 11:00:00,16.0,19,51,12
169,2020-03-01 11:00:00,16,19.0,51.0,12
170,2020-03-01 11:00:00,16,19.0,51,12.0
171,2020-03-01 11:00:00,16,19.0,51,12
172,2020-03-01 11:00:00,16,19,51.0,12.0
173,2020-03-01 11:00:00,16,19,51.0,12
174,2020-03-01 11:00:00,16,19,51,12.0
175,2020-03-01 11:00:00,16,19,51,12
176,2020-03-01 11:00:00,16,19.0,51.0,12.0
177,2020-03-01 12:00:00,19.0,22.0,48.0,14.0
178,2020-03-01 12:00:00,19.0,22.0,48.0,14
179,2020-03-01 12:00:00,19.0,22.0,48,14.0
180,2020-03-01 12:00:00,19.0,22.0,48,14
181,2020-03-01 12:00:00,19.0,22,48.0,14.0
182,2020-03-01 12:00:00,19.0,22,48.0,14
183,2020-03-01 12:00:00,19.0,22,48,14.0
184,2020-03-01 12:00:00,19.0,22,48,14
185,2020-03-01 12:00:00,19,22.0,48.0,14.0
186,2020-03-01 12:00:00,19,22.0,48.0,14
187,2020-03-01 12:00:00,19,22.0,48,14.0
188,2020-03-01 12:00:00,19,22.0,48,14
189,2020-03-01 12:00:00,19,22,48.0,14.0
190,2020-03-01 12:00:00,19,22,48.0,14
191,2020-03-01 12:00:00,19,22,48,14.0
192,2020-03-01 12:00:00,19,22,48,14
193,2020-03-01 13:00:00,17.0,18.0,51.0,12.0
194,2020-03-01 13:00:00,17.0,18.0,51.0,12
195,2020-03-01 13:00:00,17.0,18.0,51,12.0
196,2020-03-01 13:00:00,17.0,18.0,51,12
197,2020-03-01 13:00:00,17.0,18,51.0,12.0
198,2020-03-01 13:00:00,17.0,18,51.0,12
199,2020-03-01 13:00:00,17.0,18,51,12.0
200,2020-03-01 13:00:00,17,18,51,12
201,2020-03-01 13:00:00,17,18.0,51.0,12.0
202,2020-03-01 13:00:00,17,18.0,51.0,12
203,2020-03-01 13:00:00,17,18.0,51,12.0
204,2020-03-01 13:00:00,17,18.0,51,12
205,2020-03-01 13:00:00,17,18,51.0,12.0
206,2020-03-01 13:00:00,17,18,51.0,12
207,2020-03-01 13:00:00,17,18,51,12.0
208,2020-03-01 13:00:00,17.0,18,51,12
209,2020-03-01 14:00:00,18.0,18,49.0,13
210,2020-03-01 14:00:00,18.0,18.0,49.0,13.0
211,2020-03-01 14:00:00,18.0,18.0,49.0,13
212,2020-03-01 14:00:00,18.0,18.0,49,13.0
213,2020-03-01 14:00:00,18.0,18.0,49,13
214,2020-03-01 14:00:00,18.0,18,49.0,13.0
215,2020-03-01 14:00:00,18.0,18,49,13.0
216,2020-03-01 14:00:00,18,18,49,13
217,2020-03-01 14:00:00,18,18.0,49.0,13.0
218,2020-03-01 14:00:00,18,18.0,49.0,13
219,2020-03-01 14:00:00,18,18.0,49,13.0
220,2020-03-01 14:00:00,18,18.0,49,13
221,2020-03-01 14:00:00,18,18,49.0,13.0
222,2020-03-01 14:00:00,18,18,49.0,13
223,2020-03-01 14:00:00,18,18,49,13.0
224,2020-03-01 14:00:00,18.0,18,49,13
225,2020-03-01 15:00:00,15.0,16.0,52.0,11.0
