,Data,PM10,Nitrogen dioxide,Ozone
0,2020-03-01 00:00:00,19,14,69
1,2020-03-01 01:00:00,20.0,16.0,56.0
2,2020-03-01 01:00:00,20.0,16.0,56
3,2020-03-01 01:00:00,20.0,16,56.0
4,2020-03-01 01:00:00,20,16.0,56.0
5,2020-03-01 01:00:00,20.0,16,56
6,2020-03-01 01:00:00,20,16,56.0
7,2020-03-01 01:00:00,20,16,56
8,2020-03-01 01:00:00,20,16.0,56
9,2020-03-01 02:00:00,20.0,17,44.0
10,2020-03-01 02:00:00,20,17,44
11,2020-03-01 02:00:00,20,17,44.0
12,2020-03-01 02:00:00,20,17.0,44
13,2020-03-01 02:00:00,20,17.0,44.0
14,2020-03-01 02:00:00,20.0,17,44
15,2020-03-01 02:00:00,20.0,17.0,44
16,2020-03-01 02:00:00,20.0,17.0,44.0
17,2020-03-01 03:00:00,20.0,16,47.0
18,2020-03-01 03:00:00,20.0,16,47
19,2020-03-01 03:00:00,20,16.0,47.0
20,2020-03-01 03:00:00,20.0,16.0,47
21,2020-03-01 03:00:00,20,16,47.0
22,2020-03-01 03:00:00,20,16,47
23,2020-03-01 03:00:00,20,16.0,47
24,2020-03-01 03:00:00,20.0,16.0,47.0
25,2020-03-01 04:00:00,19.0,12.0,49
26,2020-03-01 04:00:00,19,12,49.0
27,2020-03-01 04:00:00,19.0,12,49.0
28,2020-03-01 04:00:00,19.0,12.0,49.0
29,2020-03-01 04:00:00,19.0,12,49
30,2020-03-01 04:00:00,19,12,49
31,2020-03-01 04:00:00,19,12.0,49
32,2020-03-01 04:00:00,19,12.0,49.0
33,2020-03-01 05:00:00,20,11,49
34,2020-03-01 05:00:00,20,11,49.0
35,2020-03-01 05:00:00,20,11.0,49
36,2020-03-01 05:00:00,20,11.0,49.0
37,2020-03-01 05:00:00,20.0,11,49
38,2020-03-01 05:00:00,20.0,11,49.0
39,2020-03-01 05:00:00,20.0,11.0,49
40,2020-03-01 05:00:00,20.0,11.0,49.0
41,2020-03-01 06:00:00,21.0,11.0,51.0
42,2020-03-01 06:00:00,21.0,11,51.0
43,2020-03-01 06:00:00,21.0,11,51
44,2020-03-01 06:00:00,21,11.0,51.0
45,2020-03-01 06:00:00,21.0,11.0,51
46,2020-03-01 06:00:00,21,11,51.0
47,2020-03-01 06:00:00,21,11,51
48,2020-03-01 06:00:00,21,11.0,51
49,2020-03-01 07:00:00,20.0,11.0,48.0
50,2020-03-01 07:00:00,20.0,11.0,48
51,2020-03-01 07:00:00,20.0,11,48
52,2020-03-01 07:00:00,20,11.0,48.0
53,2020-03-01 07:00:00,20.0,11,48.0
54,2020-03-01 07:00:00,20,11,48.0
55,2020-03-01 07:00:00,20,11,48
56,2020-03-01 07:00:00,20,11.0,48
57,2020-03-01 08:00:00,19.0,14.0,41
58,2020-03-01 08:00:00,19,14,41
59,2020-03-01 08:00:00,19,14,41.0
60,2020-03-01 08:00:00,19,14.0,41
61,2020-03-01 08:00:00,19,14.0,41.0
62,2020-03-01 08:00:00,19.0,14,41
63,2020-03-01 08:00:00,19.0,14,41.0
64,2020-03-01 08:00:00,19.0,14.0,41.0
65,2020-03-01 09:00:00,22.0,23.0,35.0
66,2020-03-01 09:00:00,22.0,23,35.0
67,2020-03-01 09:00:00,22.0,23.0,35
68,2020-03-01 09:00:00,22.0,23,35
69,2020-03-01 09:00:00,22,23.0,35.0
70,2020-03-01 09:00:00,22,23.0,35
71,2020-03-01 09:00:00,22,23,35.0
72,2020-03-01 09:00:00,22,23,35
73,2020-03-01 10:00:00,19,16,41
74,2020-03-01 10:00:00,19,16,41.0
75,2020-03-01 10:00:00,19,16.0,41
76,2020-03-01 10:00:00,19,16.0,41.0
77,2020-03-01 10:00:00,19.0,16,41
78,2020-03-01 10:00:00,19.0,16,41.0
79,2020-03-01 10:00:00,19.0,16.0,41
80,2020-03-01 10:00:00,19.0,16.0,41.0
81,2020-03-01 11:00:00,18.0,15.0,46
82,2020-03-01 11:00:00,18.0,15,46.0
83,2020-03-01 11:00:00,18.0,15,46
84,2020-03-01 11:00:00,18,15.0,46.0
85,2020-03-01 11:00:00,18.0,15.0,46.0
86,2020-03-01 11:00:00,18,15,46.0
87,2020-03-01 11:00:00,18,15,46
88,2020-03-01 11:00:00,18,15.0,46
89,2020-03-01 12:00:00,17.0,18.0,45
90,2020-03-01 12:00:00,17.0,18,45.0
91,2020-03-01 12:00:00,17.0,18,45
92,2020-03-01 12:00:00,17,18.0,45.0
93,2020-03-01 12:00:00,17.0,18.0,45.0
94,2020-03-01 12:00:00,17,18,45.0
95,2020-03-01 12:00:00,17,18,45
96,2020-03-01 12:00:00,17,18.0,45
97,2020-03-01 13:00:00,17,21,40
98,2020-03-01 13:00:00,17,21,40.0
99,2020-03-01 13:00:00,17,21.0,40
100,2020-03-01 13:00:00,17,21.0,40.0
101,2020-03-01 13:00:00,17.0,21,40
102,2020-03-01 13:00:00,17.0,21,40.0
103,2020-03-01 13:00:00,17.0,21.0,40
104,2020-03-01 13:00:00,17.0,21.0,40.0
105,2020-03-01 14:00:00,16.0,18,43
106,2020-03-01 14:00:00,16.0,18.0,43.0
107,2020-03-01 14:00:00,16.0,18.0,43
108,2020-03-01 14:00:00,16,18.0,43.0
109,2020-03-01 14:00:00,16.0,18,43.0
110,2020-03-01 14:00:00,16,18,43.0
111,2020-03-01 14:00:00,16,18.0,43
112,2020-03-01 14:00:00,16,18,43
113,2020-03-01 15:00:00,14.0,15.0,46
114,2020-03-01 15:00:00,14.0,15,46.0
115,2020-03-01 15:00:00,14.0,15,46
116,2020-03-01 15:00:00,14,15.0,46.0
117,2020-03-01 15:00:00,14.0,15.0,46.0
118,2020-03-01 15:00:00,14,15,46.0
119,2020-03-01 15:00:00,14,15,46
120,2020-03-01 15:00:00,14,15.0,46
121,2020-03-01 16:00:00,13,16,42
122,2020-03-01 16:00:00,13,16,42.0
123,2020-03-01 16:00:00,13,16.0,42
124,2020-03-01 16:00:00,13,16.0,42.0
125,2020-03-01 16:00:00,13.0,16,42
126,2020-03-01 16:00:00,13.0,16,42.0
127,2020-03-01 16:00:00,13.0,16.0,42
128,2020-03-01 16:00:00,13.0,16.0,42.0
129,2020-03-01 17:00:00,12.0,18.0,43
130,2020-03-01 17:00:00,12.0,18.0,43.0
131,2020-03-01 17:00:00,12.0,18,43.0
132,2020-03-01 17:00:00,12.0,18,43
133,2020-03-01 17:00:00,12,18,43.0
134,2020-03-01 17:00:00,12,18.0,43
135,2020-03-01 17:00:00,12,18,43
136,2020-03-01 17:00:00,12,18.0,43.0
137,2020-03-01 18:00:00,13.0,27.0,35.0
138,2020-03-01 18:00:00,13.0,27.0,35
139,2020-03-01 18:00:00,13.0,27,35
140,2020-03-01 18:00:00,13,27.0,35.0
141,2020-03-01 18:00:00,13.0,27,35.0
142,2020-03-01 18:00:00,13,27,35.0
