,Data,Ozone,Humidity,Sol_rad,Wind_speed,Wind_dir,Temp
0,2018-10-21 00:00:00,75.3,73.4,,,,
1,2018-10-21 01:00:00,81.7,74.9,0.0,2.1,326.0,15.4
2,2018-10-21 02:00:00,75.7,76.3,0.0,2.3,323.0,15.1
3,2018-10-21 03:00:00,68.8,77.2,0.0,2.2,314.0,14.9
4,2018-10-21 04:00:00,65.7,77.4,0.0,2.4,329.0,14.9
5,2018-10-21 05:00:00,60.3,79.2,0.0,2.4,350.0,14.7
6,2018-10-21 06:00:00,60.0,83.1,0.0,2.4,315.0,14.4
7,2018-10-21 07:00:00,53.1,82.2,0.0,2.0,318.0,14.7 
8,2018-10-21 08:00:00,51.8,79.9,46.5,2.7,354.0,15.9
9,2018-10-21 09:00:00,43.0,79.2,107.0,3.0,165.0,17.0
10,2018-10-21 10:00:00,49.4,78.3,224.2,0.5,66.0,16.9
11,2018-10-21 11:00:00,55.9,69.6,367.8,1.9,252.0,17.2
12,2018-10-21 12:00:00,54.8,67.8,454.5,2.3,201.0,17.4
13,2018-10-21 13:00:00,77.6,62.2,277.5,1.6,163.0,18.1
14,2018-10-21 14:00:00,81.2,61.2,373.8,0.7,164.0,19.3
15,2018-10-21 15:00:00,90.5,59.4,303.2,1.0,146.0,20.0
16,2018-10-21 16:00:00,97.2,57.9,152.0,1.0,135.0,19.8
17,2018-10-21 17:00:00,85.1,61.3,29.5,9.9,134.0,18.2
18,2018-10-21 18:00:00,70.2,71.6,0.0,12.9,132.0,13.3
19,2018-10-21 19:00:00,68.2,69.4,0.0,9.1,146.0,11.9
20,2018-10-21 20:00:00,64.9,70.5,0.0,6.2,174.0,13.3
21,2018-10-21 21:00:00,63.1,70.4,0.0,3.2,253.0,14.0
22,2018-10-21 22:00:00,57.3,68.8,0.0,2.2,314.0,13.3
23,2018-10-21 23:00:00,57.3,68.7,0.0,1.9,330.0,13.6
24,2018-10-22 00:00:00,58.0,64.0,0.0,1.9,267.0,13.5
25,2018-10-22 01:00:00,60.2,65.5,0.0,1.9,266.0,13.0
26,2018-10-22 02:00:00,55.7,67.7,0.0,2.3,249.0,11.9
27,2018-10-22 03:00:00,56.2,69.0,0.0,2.7,241.0,11.2
28,2018-10-22 04:00:00,55.5,68.6,0.0,2.5,252.0,11.0
29,2018-10-22 05:00:00,45.9,71.2,0.0,2.9,271.0,10.5
30,2018-10-22 06:00:00,44.5,75.1,0.0,2.9,290.0,10.3
31,2018-10-22 07:00:00,29.2,76.4,0.5,2.7,301.0,10.0
32,2018-10-22 08:00:00,34.4,74.8,110.2,2.4,335.0,10.8
33,2018-10-22 09:00:00,56.5,66.1,253.3,1.9,25.0,12.9
34,2018-10-22 10:00:00,63.4,57.4,402.7,3.4,17.0,14.7
35,2018-10-22 11:00:00,63.4,56.6,513.5,3.5,73.0,15.3
36,2018-10-22 12:00:00,69.6,52.1,564.0,2.4,131.0,16.1
37,2018-10-22 13:00:00,86.0,37.1,551.0,1.8,159.0,16.7
38,2018-10-22 14:00:00,87.4,36.6,481.5,2.5,174.0,17.2
39,2018-10-22 15:00:00,89.7,37.0,360.8,1.8,160.0,17.8
40,2018-10-22 16:00:00,82.7,36.4,207.2,1.8,218.0,18.1
41,2018-10-22 17:00:00,73.0,38.8,53.8,1.7,249.0,18.3
42,2018-10-22 18:00:00,34.5,46.4,0.0,1.4,346.0,15.5
43,2018-10-22 19:00:00,21.7,51.6,0.0,1.8,300.0,13.5
44,2018-10-22 20:00:00,15.5,54.1,0.0,2.7,318.0,12.7
45,2018-10-22 21:00:00,9.3,57.8,0.0,3.1,285.0,12.8
46,2018-10-22 22:00:00,59.1,56.3,0.0,2.7,272.0,12.5
47,2018-10-22 23:00:00,59.9,61.6,0.0,2.3,327.0,12.2
48,2018-10-23 00:00:00,36.5,65.7,0.0,2.9,5.0,11.5
49,2018-10-23 01:00:00,25.2,65.7,0.0,3.4,352.0,11.4
50,2018-10-23 02:00:00,37.5,72.3,0.0,3.3,336.0,11.4
51,2018-10-23 03:00:00,59.1,65.8,0.0,3.3,304.0,11.0
52,2018-10-23 04:00:00,59.5,66.0,0.0,3.1,334.0,10.7
53,2018-10-23 05:00:00,57.0,64.1,0.0,2.8,323.0,10.6
54,2018-10-23 06:00:00,51.5,62.1,0.0,2.5,299.0,10.4
55,2018-10-23 07:00:00,49.4,64.9,0.0,2.6,295.0,10.5
56,2018-10-23 08:00:00,10.9,68.4,102.2,2.5,318.0,11.7
57,2018-10-23 09:00:00,33.5,67.9,253.7,2.2,301.0,13.5
58,2018-10-23 10:00:00,21.8,48.9,394.3,1.4,254.0,15.0
59,2018-10-23 11:00:00,45.2,49.4,497.0,2.1,229.0,15.8
60,2018-10-23 12:00:00,49.2,51.1,544.2,3.8,230.0,16.9
61,2018-10-23 13:00:00,63.1,48.7,509.5,4.5,218.0,17.9
62,2018-10-23 14:00:00,59.3,48.4,460.7,5.2,224.0,18.6
63,2018-10-23 15:00:00,63.4,45.4,260.7,4.4,261.0,19.2
64,2018-10-23 16:00:00,59.8,46.6,184.0,3.4,20.0,19.3
65,2018-10-23 17:00:00,52.5,47.3,26.8,1.5,345.0,18.8
66,2018-10-23 18:00:00,41.0,50.9,0.0,1.6,292.0,17.9
67,2018-10-23 19:00:00,36.5,55.0,0.0,2.0,285.0,17.3
68,2018-10-23 20:00:00,17.2,58.6,0.0,2.0,268.0,15.2
69,2018-10-23 21:00:00,3.6,62.0,0.0,2.6,321.0,14.2
70,2018-10-23 22:00:00,1.0,64.7,0.0,2.6,338.0,14.0
71,2018-10-23 23:00:00,1.0,67.3,0.0,3.0,309.0,13.7
72,2018-10-24 00:00:00,0.7,71.4,0.0,2.5,313.0,13.9
73,2018-10-24 01:00:00,0.8,75.0,0.0,2.3,307.0,13.2
74,2018-10-24 02:00:00,0.9,78.2,0.0,2.9,313.0,13.3
75,2018-10-24 03:00:00,0.8,80.2,0.0,1.6,282.0,13.8
76,2018-10-24 04:00:00,0.3,82.6,0.0,1.5,245.0,13.0
77,2018-10-24 05:00:00,0.4,84.7,0.0,1.2,310.0,13.3
78,2018-10-24 06:00:00,0.3,85.6,0.0,2.1,263.0,13.4
79,2018-10-24 07:00:00,0.5,85.5,0.0,1.7,259.0,13.3
80,2018-10-24 08:00:00,1.0,85.2,80.3,1.7,246.0,14.0
81,2018-10-24 09:00:00,5.2,83.9,248.2,0.9,211.0,17.4
82,2018-10-24 10:00:00,7.1,57.1,381.2,2.9,201.0,17.7
83,2018-10-24 11:00:00,11.5,53.2,493.0,2.2,189.0,19.3
84,2018-10-24 12:00:00,22.3,47.1,537.8,1.7,137.0,20.0
85,2018-10-24 13:00:00,31.2,39.7,521.0,0.9,135.0,20.1
86,2018-10-24 14:00:00,40.9,32.8,456.8,2.1,76.0,20.4
87,2018-10-24 15:00:00,60.6,38.5,337.7,1.5,119.0,22.1
88,2018-10-24 16:00:00,63.2,39.1,187.3,1.2,333.0,21.2
89,2018-10-24 17:00:00,49.3,42.4,42.7,0.6,336.0,21.1
90,2018-10-24 18:00:00,50.3,44.0,0.0,1.0,349.0,19.4
91,2018-10-24 19:00:00,32.5,47.7,0.0,1.3,281.0,19.1
92,2018-10-24 20:00:00,24.2,46.5,0.0,1.9,40.0,19.1
93,2018-10-24 21:00:00,50.5,40.9,0.0,2.5,72.0,19.4
94,2018-10-24 22:00:00,10.1,63.4,0.0,2.1,87.0,18.5
95,2018-10-24 23:00:00,17.3,70.7,0.0,2.1,227.0,17.3
96,2018-10-25 00:00:00,23.2,73.9,0.0,1.6,266.0,14.8
97,2018-10-25 01:00:00,18.9,77.8,0.0,1.2,270.0,14.2
98,2018-10-25 02:00:00,18.5,81.3,0.0,1.6,234.0,13.7
99,2018-10-25 03:00:00,23.9,82.1,0.0,1.5,251.0,13.5
100,2018-10-25 04:00:00,20.9,82.0,0.0,1.2,174.0,13.4
101,2018-10-25 05:00:00,14.0,83.4,0.0,2.0,240.0,12.9
