Data,PM10,Nitrogen dioxide,Ozone
2013-01-01 01:00:00,46,45,6
2013-01-01 02:00:00,43,39,9
2013-01-01 03:00:00,31,43,6
2013-01-01 04:00:00,27,35,14
2013-01-01 05:00:00,29,32,14
2013-01-01 06:00:00,29,26,15
2013-01-01 07:00:00,28,30,12
2013-01-01 08:00:00,25,29,11
2013-01-01 09:00:00,25,24,15
2013-01-01 10:00:00,29,23,20
2013-01-01 11:00:00,28,27,23
2013-01-01 12:00:00,28,32,25
2013-01-01 13:00:00,28,32,26
2013-01-01 14:00:00,31,34,28
2013-01-01 15:00:00,35,37,28
2013-01-01 16:00:00,38,42,22
2013-01-01 17:00:00,45,59,8
2013-01-01 18:00:00,59,73,4
2013-01-01 19:00:00,43,68,2
2013-01-01 20:00:00,46,62,2
2013-01-01 21:00:00,34,54,1
2013-01-01 22:00:00,40,53,2
2013-01-01 23:00:00,46,56,3
2013-01-02 00:00:00,44,69,2
2013-01-02 01:00:00,43,68,2
2013-01-02 02:00:00,44,67,1
2013-01-02 03:00:00,43,60,1
2013-01-02 04:00:00,41,53,1
2013-01-02 05:00:00,38,52,1
2013-01-02 06:00:00,37,53,0
2013-01-02 07:00:00,35,51,2
2013-01-02 08:00:00,32,38,11
2013-01-02 09:00:00,30,30,20
2013-01-02 10:00:00,35,40,11
2013-01-02 11:00:00,35,44,13
2013-01-02 12:00:00,34,39,18
2013-01-02 13:00:00,31,30,25
2013-01-02 14:00:00,31,43,18
2013-01-02 15:00:00,29,50,15
2013-01-02 16:00:00,30,56,8
2013-01-02 17:00:00,42,62,3
2013-01-02 18:00:00,46,55,1
2013-01-02 19:00:00,52,57,2
2013-01-02 20:00:00,45,66,2
2013-01-02 21:00:00,38,61,2
2013-01-02 22:00:00,31,57,2
2013-01-02 23:00:00,28,47,3
2013-01-03 00:00:00,25,39,5
2013-01-03 01:00:00,23,34,7
2013-01-03 02:00:00,20,21,13
2013-01-03 03:00:00,17,17,19
