Data,PM10,Carbon monoxide,Nitrogen dioxide
2013-01-01 03:00:00,84,1.1,70
2013-01-01 04:00:00,65,0.9,59
2013-01-01 05:00:00,59,0.9,56
2013-01-01 06:00:00,42,0.7,53
2013-01-01 07:00:00,30,0.7,50
2013-01-01 08:00:00,30,0.6,50  
2013-01-01 09:00:00,41,0.8,52
2013-01-01 10:00:00,44,0.6,45
2013-01-01 11:00:00,43,0.6,39
2013-01-01 12:00:00,39,0.5,35
2013-01-01 13:00:00,35,0.5,37
2013-01-01 14:00:00,38,0.5,38
2013-01-01 15:00:00,39,0.5,44
2013-01-01 16:00:00,44,0.6,70
2013-01-01 17:00:00,69,1.0,101
2013-01-01 18:00:00,83,1.4,128
2013-01-01 19:00:00,87,1.5,103
2013-01-01 20:00:00,93,1.6,94
2013-01-01 21:00:00,92,1.6,100
2013-01-01 22:00:00,72,1.2,77
2013-01-01 23:00:00,62,1.1,68
2013-01-02 00:00:00,71,1.2,74
2013-01-02 01:00:00,63,1.2,70
2013-01-02 02:00:00,54,1.0,68
2013-01-02 03:00:00,54,1.0,68
2013-01-02 04:00:00,52,1.0,66
2013-01-02 05:00:00,48,1.0,62
2013-01-02 06:00:00,46,0.8,59
2013-01-02 07:00:00,45,0.8,62
2013-01-02 08:00:00,43,0.8,67
2013-01-02 09:00:00,44,0.7,65
2013-01-02 10:00:00,43,0.7,67
2013-01-02 11:00:00,42,0.8,65
2013-01-02 12:00:00,38,0.7,65
2013-01-02 13:00:00,33,0.7,66
2013-01-02 14:00:00,35,0.7,67
2013-01-02 15:00:00,34,0.8,75
2013-01-02 16:00:00,38,1.0,93
2013-01-02 17:00:00,54,1.3,117
2013-01-02 18:00:00,61,1.6,106
2013-01-02 19:00:00,72,2.1,156
2013-01-02 20:00:00,75,2.0,111
2013-01-02 21:00:00,61,1.3,70
2013-01-02 22:00:00,56,1.2,64
2013-01-02 23:00:00,51,1.2,66
2013-01-03 00:00:00,40,1.1,59
2013-01-03 01:00:00,39,1.0,58
2013-01-03 02:00:00,28,0.8,54
2013-01-03 03:00:00,22,0.7,50
2013-01-03 04:00:00,18,0.6,46
2013-01-03 05:00:00,15,0.6,46
2013-01-03 06:00:00,13,0.5,53
2013-01-03 07:00:00,12,0.6,62
2013-01-03 08:00:00,28,0.8,78
2013-01-03 09:00:00,30,1.3,102
2013-01-03 10:00:00,25,0.9,89
2013-01-03 11:00:00,19,0.6,64
2013-01-03 12:00:00,14,0.5,42
2013-01-03 13:00:00,16,0.5,46
