Data,PM10,Nitrogen dioxide,Ozone,PM2.5
2013-01-01 01:00:00,63,64,2,55
2013-01-01 02:00:00,54,60,1,48
2013-01-01 03:00:00,42,52,3,38
2013-01-01 04:00:00,38,49,3,34
2013-01-01 05:00:00,29,41,7,26
2013-01-01 06:00:00,24,37,10,22
2013-01-01 07:00:00,26,47,3,24
2013-01-01 08:00:00,23,45,4,22
2013-01-01 09:00:00,24,44,6,22
2013-01-01 10:00:00,30,42,12,27
2013-01-01 11:00:00,33,42,15,30
2013-01-01 12:00:00,29,33,23,27
2013-01-01 13:00:00,22,26,33,22
2013-01-01 14:00:00,22,28,35,21
2013-01-01 15:00:00,25,33,33,22
2013-01-01 16:00:00,31,43,25,27
2013-01-01 17:00:00,37,63,11,31
2013-01-01 18:00:00,52,79,2,42
2013-01-01 19:00:00,58,88,3,47
2013-01-01 20:00:00,57,94,3,44
2013-01-01 21:00:00,63,94,3,51
2013-01-01 22:00:00,59,90,3,50
2013-01-01 23:00:00,58,91,3,49
2013-01-02 00:00:00,57,89,2,48
2013-01-02 01:00:00,53,77,2,46
2013-01-02 02:00:00,50,69,1,43
2013-01-02 03:00:00,49,66,1,43
2013-01-02 04:00:00,48,60,1,42
2013-01-02 05:00:00,49,58,1,42
2013-01-02 06:00:00,46,54,1,40
2013-01-02 07:00:00,39,51,2,34
2013-01-02 08:00:00,36,59,1,32
2013-01-02 09:00:00,36,64,1,32
2013-01-02 10:00:00,35,64,2,31
2013-01-02 11:00:00,39,67,3,36
2013-01-02 12:00:00,42,68,3,39
2013-01-02 13:00:00,39,65,4,37
2013-01-02 14:00:00,45,63,4,40
2013-01-02 15:00:00,39,63,6,35
2013-01-02 16:00:00,43,71,3,37
2013-01-02 17:00:00,40,58,1,36
2013-01-02 18:00:00,47,54,1,38
2013-01-02 19:00:00,45,71,1,39
2013-01-02 20:00:00,46,85,2,41
2013-01-02 21:00:00,45,80,2,40
2013-01-02 22:00:00,46,77,2,41
2013-01-02 23:00:00,43,66,1,39
2013-01-03 00:00:00,40,59,1,38
2013-01-03 01:00:00,41,61,1,38
2013-01-03 02:00:00,36,56,1,33
2013-01-03 03:00:00,32,52,1,30
2013-01-03 04:00:00,25,39,1,24
2013-01-03 05:00:00,18,30,1,18
2013-01-03 06:00:00,16,32,1,15
2013-01-03 07:00:00,15,41,0,15
2013-01-03 08:00:00,13,44,1,12
2013-01-03 09:00:00,17,47,2,14
2013-01-03 10:00:00,13,39,6,12
2013-01-03 11:00:00,9,38,21,9
2013-01-03 12:00:00,8,36,25,
2013-01-03 13:00:00,8,31,32,8
2013-01-03 14:00:00,8,30,36,7
2013-01-03 15:00:00,9,36,32,8
2013-01-03 16:00:00,12,54,17,10
2013-01-03 17:00:00,15,59,10,12
2013-01-03 18:00:00,16,61,7,13
2013-01-03 19:00:00,14,52,10,12
2013-01-03 20:00:00,15,46,10,12
2013-01-03 21:00:00,18,54,7,15
2013-01-03 22:00:00,14,37,14,12
2013-01-03 23:00:00,23,65,2,19
2013-01-04 00:00:00,14,41,13,12
2013-01-04 01:00:00,14,38,9,11
2013-01-04 02:00:00,13,34,11,10
2013-01-04 03:00:00,12,31,12,10
2013-01-04 04:00:00,15,42,5,12
2013-01-04 05:00:00,15,44,3,12
2013-01-04 06:00:00,14,44,2,12
2013-01-04 07:00:00,17,53,1,14
2013-01-04 08:00:00,16,54,1,13
2013-01-04 09:00:00,24,68,2,20
2013-01-04 10:00:00,29,71,3,23
2013-01-04 11:00:00,27,66,5,21
2013-01-04 12:00:00,24,64,8,20
2013-01-04 13:00:00,18,50,15,14
2013-01-04 14:00:00,18,48,17,14
2013-01-04 15:00:00,20,58,11,16
2013-01-04 16:00:00,23,62,6,18
2013-01-04 17:00:00,27,72,2,20
2013-01-04 18:00:00,47,96,2,34
2013-01-04 19:00:00,60,98,3,44
2013-01-04 20:00:00,55,111,2,42
2013-01-04 21:00:00,66,114,3,50
2013-01-04 22:00:00,61,107,3,48
2013-01-04 23:00:00,53,99,2,44
2013-01-05 00:00:00,53,92,2,42
2013-01-05 01:00:00,47,86,2,37
2013-01-05 02:00:00,45,78,1,36
2013-01-05 03:00:00,41,73,1,33
2013-01-05 04:00:00,38,67,1,31
2013-01-05 05:00:00,32,60,1,28
2013-01-05 06:00:00,29,57,1,25
2013-01-05 07:00:00,28,59,1,24
2013-01-05 08:00:00,31,65,1,25
2013-01-05 09:00:00,33,73,1,27
2013-01-05 10:00:00,38,73,2,31
2013-01-05 11:00:00,40,79,4,34
2013-01-05 12:00:00,37,80,7,32
2013-01-05 13:00:00,26,78,9,23
2013-01-05 14:00:00,24,75,10,21
2013-01-05 15:00:00,22,79,8,19
2013-01-05 16:00:00,26,104,3,21
2013-01-05 17:00:00,28,107,2,22
2013-01-05 18:00:00,18,91,7,14
2013-01-05 19:00:00,19,91,5,15
2013-01-05 20:00:00,26,96,2,20
2013-01-05 21:00:00,22,83,5,17
2013-01-05 22:00:00,24,70,11,19
2013-01-05 23:00:00,13,63,14,11
2013-01-06 00:00:00,15,69,9,13
2013-01-06 01:00:00,17,73,4,14
2013-01-06 02:00:00,8,33,36,
2013-01-06 03:00:00,5,14,51,
2013-01-06 04:00:00,6,31,31,
2013-01-06 05:00:00,9,45,15,7
2013-01-06 06:00:00,8,47,13,7
2013-01-06 07:00:00,9,54,5,7
2013-01-06 08:00:00,10,62,2,9
2013-01-06 09:00:00,16,63,2,12
2013-01-06 10:00:00,25,65,6,19
2013-01-06 11:00:00,21,62,10,16
2013-01-06 12:00:00,23,62,14,19
2013-01-06 13:00:00,12,40,28,10
2013-01-06 14:00:00,11,37,33,9
2013-01-06 15:00:00,15,55,18,11
2013-01-06 16:00:00,22,68,7,16
2013-01-06 17:00:00,32,78,2,22
2013-01-06 18:00:00,42,82,2,28
2013-01-06 19:00:00,51,93,3,37
2013-01-06 20:00:00,60,95,3,45
2013-01-06 21:00:00,53,93,2,40
2013-01-06 22:00:00,25,70,2,21
2013-01-06 23:00:00,11,38,41,11
2013-01-07 00:00:00,8,38,43,
2013-01-07 01:00:00,30,36,40,25
2013-01-07 02:00:00,131,67,7,104
2013-01-07 03:00:00,150,63,3,124
2013-01-07 04:00:00,130,60,2,111
2013-01-07 05:00:00,97,56,2,85
2013-01-07 06:00:00,82,59,1,72
2013-01-07 07:00:00,70,70,1,62
2013-01-07 08:00:00,68,89,1,61
