Data,PM10,Nitrogen dioxide,Ozone
2013-01-01 01:00:00,86,44,5
2013-01-01 02:00:00,68,46,4
2013-01-01 03:00:00,33,45,5
2013-01-01 04:00:00,24,39,7
2013-01-01 05:00:00,21,36,9
2013-01-01 06:00:00,17,35,9
2013-01-01 07:00:00,14,32,12
2013-01-01 08:00:00,17,36,10
2013-01-01 09:00:00,26,35,13
2013-01-01 10:00:00,23,27,27
2013-01-01 11:00:00,22,22,36
2013-01-01 12:00:00,22,19,42
2013-01-01 13:00:00,23,20,45
2013-01-01 14:00:00,20,18,50
2013-01-01 15:00:00,20,34,25
2013-01-01 16:00:00,27,44,11
2013-01-01 17:00:00,33,57,5
2013-01-01 18:00:00,39,60,4
2013-01-01 19:00:00,55,61,4
2013-01-01 20:00:00,66,63,4
2013-01-01 21:00:00,64,61,4
2013-01-01 22:00:00,67,56,4
2013-01-01 23:00:00,56,51,4
2013-01-02 00:00:00,49,45,5
2013-01-02 01:00:00,46,36,10
2013-01-02 02:00:00,49,37,5
2013-01-02 03:00:00,47,28,11
2013-01-02 04:00:00,44,24,13
2013-01-02 05:00:00,35,16,27
2013-01-02 06:00:00,34,18,27
2013-01-02 07:00:00,34,26,21
2013-01-02 08:00:00,39,36,12
2013-01-02 09:00:00,40,42,8
2013-01-02 10:00:00,41,45,6
2013-01-02 11:00:00,34,46,11
2013-01-02 12:00:00,27,42,15
2013-01-02 13:00:00,25,38,16
2013-01-02 14:00:00,20,35,21
2013-01-02 15:00:00,24,40,17
2013-01-02 16:00:00,28,47,9
2013-01-02 17:00:00,44,57,4
2013-01-02 18:00:00,40,52,3
2013-01-02 19:00:00,35,50,3
2013-01-02 20:00:00,35,54,3
2013-01-02 21:00:00,50,49,4
2013-01-02 22:00:00,27,42,3
2013-01-02 23:00:00,32,40,4
2013-01-03 00:00:00,26,35,4
2013-01-03 01:00:00,25,33,5
2013-01-03 02:00:00,23,29,5
2013-01-03 03:00:00,22,24,12
2013-01-03 04:00:00,19,21,11
2013-01-03 05:00:00,15,21,11
2013-01-03 06:00:00,12,24,8
2013-01-03 07:00:00,12,31,6
2013-01-03 08:00:00,15,43,2
2013-01-03 09:00:00,19,48,4
2013-01-03 10:00:00,17,40,12
2013-01-03 11:00:00,11,32,21
2013-01-03 12:00:00,11,32,24
2013-01-03 13:00:00,7,31,36
2013-01-03 14:00:00,8,21,41
2013-01-03 15:00:00,12,37,20
2013-01-03 16:00:00,16,51,8
2013-01-03 17:00:00,22,59,5
2013-01-03 18:00:00,31,63,3
2013-01-03 19:00:00,29,62,3
2013-01-03 20:00:00,33,63,3
2013-01-03 21:00:00,23,56,4
2013-01-03 22:00:00,27,46,8
2013-01-03 23:00:00,23,42,7
2013-01-04 00:00:00,24,37,10
2013-01-04 01:00:00,19,30,15
2013-01-04 02:00:00,16,26,16
2013-01-04 03:00:00,13,22,17
2013-01-04 04:00:00,16,20,23
2013-01-04 05:00:00,11,22,19
2013-01-04 06:00:00,10,23,26
