,Data,PM10,Nitrogen dioxide,Ozone
0,2018-01-28 01:00:00,5.0,2.0,84.0
1,2018-01-28 02:00:00,4.0,3.0,83.0
2,2018-01-28 03:00:00,4.0,3.0,82.0
3,2018-01-28 04:00:00,4.0,3.0,82.0
4,2018-01-28 05:00:00,4.0,3.0,84.0
5,2018-01-28 06:00:00,4.0,2.0,88.0
6,2018-01-28 07:00:00,4.0,2.0,88.0
7,2018-01-28 08:00:00,4.0,2.0,89.0
8,2018-01-28 09:00:00,3.0,2.0,89.0
9,2018-01-28 10:00:00,3.0,2.0,85.0
10,2018-01-28 11:00:00,3.0,2.0,82.0
11,2018-01-28 12:00:00,3.0,3.0,82.0
12,2018-01-28 13:00:00,3.0,2.0,85.0
13,2018-01-28 14:00:00,3.0,2.0,86.0
14,2018-01-28 15:00:00,3.0,3.0,79.0
15,2018-01-28 16:00:00,3.0,2.0,87.0
16,2018-01-28 17:00:00,3.0,3.0,88.0
17,2018-01-28 18:00:00,3.0,2.0,90.0
18,2018-01-28 19:00:00,3.0,2.0,93.0
19,2018-01-28 20:00:00,3.0,2.0,96.0
20,2018-01-28 21:00:00,3.0,2.0,95.0
21,2018-01-28 22:00:00,3.0,2.0,91.0
22,2018-01-28 23:00:00,3.0,2.0,85.0
23,2018-01-29 00:00:00,3.0,1.0,87.0
24,2018-01-29 01:00:00,3.0,1.0,87.0
25,2018-01-29 02:00:00,3.0,1.0,87.0
26,2018-01-29 03:00:00,3.0,1.0,87.0
27,2018-01-29 04:00:00,3.0,1.0,89.0
28,2018-01-29 05:00:00,3.0,1.0,88.0
29,2018-01-29 06:00:00,3.0,1.0,89.0
30,2018-01-29 07:00:00,3.0,1.0,90.0
31,2018-01-29 08:00:00,3.0,1.0,88.0
32,2018-01-29 09:00:00,3.0,1.0,86.0
33,2018-01-29 10:00:00,3.0,1.0,88.0
34,2018-01-29 11:00:00,3.0,1.0,88.0
35,2018-01-29 12:00:00,3.0,1.0,89.0
