,Data,PM10,Nitrogen dioxide,Sulfur dioxide,Ozone,PM2.5
0,2020-03-01 00:00:00,16,22,1,62,11
1,2020-03-01 01:00:00,16.0,20,1.0,61.0,12
2,2020-03-01 01:00:00,16.0,20,1.0,61,12
3,2020-03-01 01:00:00,16.0,20,1,61,12.0
4,2020-03-01 01:00:00,16.0,20,1.0,61.0,12.0
5,2020-03-01 01:00:00,16.0,20,1,61.0,12
6,2020-03-01 01:00:00,16.0,20,1,61.0,12.0
7,2020-03-01 01:00:00,16.0,20.0,1,61,12
8,2020-03-01 01:00:00,16.0,20.0,1,61.0,12
9,2020-03-01 01:00:00,16.0,20.0,1,61.0,12.0
10,2020-03-01 01:00:00,16.0,20.0,1.0,61,12
11,2020-03-01 01:00:00,16.0,20.0,1.0,61,12.0
12,2020-03-01 01:00:00,16.0,20.0,1.0,61.0,12
13,2020-03-01 01:00:00,16.0,20,1,61,12
14,2020-03-01 01:00:00,16.0,20.0,1.0,61.0,12.0
15,2020-03-01 01:00:00,16.0,20.0,1,61,12.0
16,2020-03-01 01:00:00,16,20.0,1.0,61.0,12.0
17,2020-03-01 01:00:00,16.0,20,1.0,61,12.0
18,2020-03-01 01:00:00,16,20.0,1.0,61,12.0
19,2020-03-01 01:00:00,16,20.0,1.0,61.0,12
20,2020-03-01 01:00:00,16,20,1,61,12.0
21,2020-03-01 01:00:00,16,20,1,61.0,12
22,2020-03-01 01:00:00,16,20,1,61.0,12.0
23,2020-03-01 01:00:00,16,20,1.0,61,12
24,2020-03-01 01:00:00,16,20,1.0,61,12.0
25,2020-03-01 01:00:00,16,20,1.0,61.0,12
26,2020-03-01 01:00:00,16,20,1,61,12
27,2020-03-01 01:00:00,16,20.0,1,61,12
28,2020-03-01 01:00:00,16,20.0,1,61,12.0
29,2020-03-01 01:00:00,16,20.0,1,61.0,12
30,2020-03-01 01:00:00,16,20.0,1,61.0,12.0
31,2020-03-01 01:00:00,16,20,1.0,61.0,12.0
32,2020-03-01 01:00:00,16,20.0,1.0,61,12
