,Data,PM10,Carbon monoxide,Nitrogen dioxide
0,2020-03-01 00:00:00,19,0.5,48
1,2020-03-01 01:00:00,19,0.5,36
2,2020-03-01 01:00:00,19,0.5,36.0
3,2020-03-01 01:00:00,19,0.5,36
4,2020-03-01 01:00:00,19,0.5,36.0
5,2020-03-01 01:00:00,19.0,0.5,36
6,2020-03-01 01:00:00,19.0,0.5,36.0
7,2020-03-01 01:00:00,19.0,0.5,36
8,2020-03-01 01:00:00,19.0,0.5,36.0
9,2020-03-01 02:00:00,21.0,0.5,38.0
10,2020-03-01 02:00:00,21.0,0.5,38
11,2020-03-01 02:00:00,21.0,0.5,38
12,2020-03-01 02:00:00,21,0.5,38.0
13,2020-03-01 02:00:00,21.0,0.5,38.0
14,2020-03-01 02:00:00,21,0.5,38.0
15,2020-03-01 02:00:00,21,0.5,38
16,2020-03-01 02:00:00,21,0.5,38
17,2020-03-01 03:00:00,21.0,0.5,27.0
18,2020-03-01 03:00:00,21.0,0.5,27
19,2020-03-01 03:00:00,21.0,0.5,27.0
20,2020-03-01 03:00:00,21,0.5,27.0
21,2020-03-01 03:00:00,21.0,0.5,27
22,2020-03-01 03:00:00,21,0.5,27.0
23,2020-03-01 03:00:00,21,0.5,27
24,2020-03-01 03:00:00,21,0.5,27
25,2020-03-01 04:00:00,19.0,0.5,18
26,2020-03-01 04:00:00,19.0,0.5,18.0
27,2020-03-01 04:00:00,19.0,0.5,18
28,2020-03-01 04:00:00,19,0.5,18
29,2020-03-01 04:00:00,19,0.5,18.0
30,2020-03-01 04:00:00,19,0.5,18
31,2020-03-01 04:00:00,19,0.5,18.0
32,2020-03-01 04:00:00,19.0,0.5,18.0
33,2020-03-01 05:00:00,18.0,0.5,13
34,2020-03-01 05:00:00,18.0,0.5,13.0
35,2020-03-01 05:00:00,18.0,0.5,13
36,2020-03-01 05:00:00,18,0.5,13.0
37,2020-03-01 05:00:00,18.0,0.5,13.0
38,2020-03-01 05:00:00,18,0.5,13.0
39,2020-03-01 05:00:00,18,0.5,13
40,2020-03-01 05:00:00,18,0.5,13
41,2020-03-01 06:00:00,15.0,0.5,15
42,2020-03-01 06:00:00,15.0,0.5,15.0
43,2020-03-01 06:00:00,15.0,0.5,15
44,2020-03-01 06:00:00,15.0,0.5,15.0
45,2020-03-01 06:00:00,15,0.5,15.0
46,2020-03-01 06:00:00,15,0.5,15
47,2020-03-01 06:00:00,15,0.5,15.0
48,2020-03-01 06:00:00,15,0.5,15
49,2020-03-01 07:00:00,15,0.5,17
50,2020-03-01 07:00:00,15,0.5,17.0
51,2020-03-01 07:00:00,15,0.5,17
52,2020-03-01 07:00:00,15,0.5,17.0
53,2020-03-01 07:00:00,15.0,0.5,17
54,2020-03-01 07:00:00,15.0,0.5,17.0
55,2020-03-01 07:00:00,15.0,0.5,17
56,2020-03-01 07:00:00,15.0,0.5,17.0
57,2020-03-01 08:00:00,18.0,0.5,22.0
58,2020-03-01 08:00:00,18.0,0.5,22.0
59,2020-03-01 08:00:00,18.0,0.5,22
60,2020-03-01 08:00:00,18,0.5,22.0
61,2020-03-01 08:00:00,18.0,0.5,22
62,2020-03-01 08:00:00,18,0.5,22.0
63,2020-03-01 08:00:00,18,0.5,22
64,2020-03-01 08:00:00,18,0.5,22
65,2020-03-01 09:00:00,20.0,0.6,26.0
66,2020-03-01 09:00:00,20.0,0.6,26.0
67,2020-03-01 09:00:00,20.0,0.6,26
68,2020-03-01 09:00:00,20,0.6,26.0
69,2020-03-01 09:00:00,20.0,0.6,26
70,2020-03-01 09:00:00,20,0.6,26.0
71,2020-03-01 09:00:00,20,0.6,26
72,2020-03-01 09:00:00,20,0.6,26
73,2020-03-01 10:00:00,16,0.6,29
74,2020-03-01 10:00:00,16,0.6,29.0
75,2020-03-01 10:00:00,16,0.6,29
76,2020-03-01 10:00:00,16,0.6,29.0
77,2020-03-01 10:00:00,16.0,0.6,29
78,2020-03-01 10:00:00,16.0,0.6,29.0
79,2020-03-01 10:00:00,16.0,0.6,29
80,2020-03-01 10:00:00,16.0,0.6,29.0
81,2020-03-01 11:00:00,19.0,0.6,38.0
82,2020-03-01 11:00:00,19.0,0.6,38.0
83,2020-03-01 11:00:00,19.0,0.6,38
84,2020-03-01 11:00:00,19,0.6,38.0
85,2020-03-01 11:00:00,19.0,0.6,38
86,2020-03-01 11:00:00,19,0.6,38.0
87,2020-03-01 11:00:00,19,0.6,38
88,2020-03-01 11:00:00,19,0.6,38
89,2020-03-01 12:00:00,20.0,0.6,37.0
90,2020-03-01 12:00:00,20.0,0.6,37.0
91,2020-03-01 12:00:00,20.0,0.6,37
92,2020-03-01 12:00:00,20,0.6,37.0
93,2020-03-01 12:00:00,20.0,0.6,37
94,2020-03-01 12:00:00,20,0.6,37.0
95,2020-03-01 12:00:00,20,0.6,37
96,2020-03-01 12:00:00,20,0.6,37
97,2020-03-01 13:00:00,19,0.6,37
98,2020-03-01 13:00:00,19,0.6,37.0
99,2020-03-01 13:00:00,19,0.6,37
100,2020-03-01 13:00:00,19,0.6,37.0
101,2020-03-01 13:00:00,19.0,0.6,37
102,2020-03-01 13:00:00,19.0,0.6,37.0
103,2020-03-01 13:00:00,19.0,0.6,37
104,2020-03-01 13:00:00,19.0,0.6,37.0
105,2020-03-01 14:00:00,17.0,0.6,27.0
106,2020-03-01 14:00:00,17.0,0.6,27
107,2020-03-01 14:00:00,17.0,0.6,27
108,2020-03-01 14:00:00,17.0,0.6,27.0
109,2020-03-01 14:00:00,17,0.6,27.0
110,2020-03-01 14:00:00,17,0.6,27
111,2020-03-01 14:00:00,17,0.6,27.0
112,2020-03-01 14:00:00,17,0.6,27
113,2020-03-01 15:00:00,17.0,0.7,32.0
114,2020-03-01 15:00:00,17.0,0.7,32
115,2020-03-01 15:00:00,17.0,0.7,32.0
116,2020-03-01 15:00:00,17.0,0.7,32
117,2020-03-01 15:00:00,17,0.7,32
118,2020-03-01 15:00:00,17,0.7,32.0
119,2020-03-01 15:00:00,17,0.7,32
120,2020-03-01 15:00:00,17,0.7,32.0
121,2020-03-01 16:00:00,17.0,0.7,39.0
122,2020-03-01 16:00:00,17.0,0.7,39
123,2020-03-01 16:00:00,17.0,0.7,39.0
124,2020-03-01 16:00:00,17,0.7,39.0
125,2020-03-01 16:00:00,17,0.7,39
126,2020-03-01 16:00:00,17,0.7,39.0
127,2020-03-01 16:00:00,17,0.7,39
128,2020-03-01 16:00:00,17.0,0.7,39
129,2020-03-01 17:00:00,17.0,0.7,45
130,2020-03-01 17:00:00,17.0,0.7,45.0
131,2020-03-01 17:00:00,17.0,0.7,45.0
132,2020-03-01 17:00:00,17.0,0.7,45
133,2020-03-01 17:00:00,17,0.7,45.0
134,2020-03-01 17:00:00,17,0.7,45
135,2020-03-01 17:00:00,17,0.7,45.0
136,2020-03-01 17:00:00,17,0.7,45
137,2020-03-01 18:00:00,21,0.8,80
138,2020-03-01 18:00:00,21,0.8,80.0
139,2020-03-01 18:00:00,21,0.8,80
140,2020-03-01 18:00:00,21,0.8,80.0
141,2020-03-01 18:00:00,21.0,0.8,80
142,2020-03-01 18:00:00,21.0,0.8,80.0
143,2020-03-01 18:00:00,21.0,0.8,80
144,2020-03-01 18:00:00,21.0,0.8,80.0
145,2020-03-01 19:00:00,27.0,0.9,89.0
146,2020-03-01 19:00:00,27.0,0.9,89.0
147,2020-03-01 19:00:00,27.0,0.9,89
148,2020-03-01 19:00:00,27,0.9,89.0
149,2020-03-01 19:00:00,27,0.9,89
150,2020-03-01 19:00:00,27.0,0.9,89
151,2020-03-01 19:00:00,27,0.9,89
152,2020-03-01 19:00:00,27,0.9,89.0
153,2020-03-01 20:00:00,32.0,1.0,87.0
154,2020-03-01 20:00:00,32.0,1.0,87.0
155,2020-03-01 20:00:00,32.0,1.0,87
156,2020-03-01 20:00:00,32,1.0,87.0
157,2020-03-01 20:00:00,32,1.0,87
158,2020-03-01 20:00:00,32.0,1.0,87
159,2020-03-01 20:00:00,32,1.0,87
160,2020-03-01 20:00:00,32,1.0,87.0
161,2020-03-01 21:00:00,31,0.8,77
162,2020-03-01 21:00:00,31,0.8,77.0
163,2020-03-01 21:00:00,31,0.8,77
164,2020-03-01 21:00:00,31,0.8,77.0
165,2020-03-01 21:00:00,31.0,0.8,77
166,2020-03-01 21:00:00,31.0,0.8,77.0
167,2020-03-01 21:00:00,31.0,0.8,77
168,2020-03-01 21:00:00,31.0,0.8,77.0
169,2020-03-01 22:00:00,32.0,0.9,77.0
170,2020-03-01 22:00:00,32,0.9,77.0
171,2020-03-01 22:00:00,32.0,0.9,77
172,2020-03-01 22:00:00,32.0,0.9,77
173,2020-03-01 22:00:00,32,0.9,77
174,2020-03-01 22:00:00,32.0,0.9,77.0
175,2020-03-01 22:00:00,32,0.9,77
176,2020-03-01 22:00:00,32,0.9,77.0
177,2020-03-01 23:00:00,30.0,0.9,70.0
178,2020-03-01 23:00:00,30.0,0.9,70
179,2020-03-01 23:00:00,30.0,0.9,70.0
180,2020-03-01 23:00:00,30,0.9,70.0
181,2020-03-01 23:00:00,30,0.9,70
182,2020-03-01 23:00:00,30.0,0.9,70
183,2020-03-01 23:00:00,30,0.9,70
184,2020-03-01 23:00:00,30,0.9,70.0
185,2020-03-02 00:00:00,29.0,1.0,68
186,2020-03-02 00:00:00,29.0,1.0,68
187,2020-03-02 00:00:00,29.0,1.0,68.0
188,2020-03-02 00:00:00,29,1.0,68
189,2020-03-02 00:00:00,29,1.0,68.0
190,2020-03-02 00:00:00,29,1.0,68
191,2020-03-02 00:00:00,29,1.0,68.0
192,2020-03-02 00:00:00,29.0,1.0,68.0
193,2020-03-02 01:00:00,27.0,0.8,59.0
194,2020-03-02 02:00:00,29.0,0.8,59.0
195,2020-03-02 03:00:00,32.0,0.8,55.0
196,2020-03-02 04:00:00,35.0,0.8,52.0
197,2020-03-02 05:00:00,34.0,0.8,49.0
198,2020-03-02 06:00:00,35.0,0.8,49.0
199,2020-03-02 07:00:00,40.0,0.9,63.0
200,2020-03-02 08:00:00,43.0,1.2,86.0
201,2020-03-02 09:00:00,42.0,1.1,79.0
202,2020-03-02 10:00:00,38.0,0.8,54.0
203,2020-03-02 11:00:00,34.0,,
204,2020-03-02 13:00:00,,0.9,
205,2020-03-02 14:00:00,29.0,0.8,65.0
206,2020-03-02 15:00:00,25.0,0.7,62.0
207,2020-03-02 16:00:00,12.0,0.7,65.0
208,2020-03-02 17:00:00,11.0,0.7,71.0
209,2020-03-02 18:00:00,9.0,0.8,65.0
210,2020-03-02 19:00:00,10.0,0.7,66.0
211,2020-03-02 20:00:00,12.0,0.8,69.0
212,2020-03-02 21:00:00,13.0,0.7,64.0
213,2020-03-02 22:00:00,12.0,0.7,53.0
214,2020-03-02 23:00:00,11.0,0.7,47.0
215,2020-03-03 00:00:00,11.0,0.6,40.0
216,2020-03-03 01:00:00,10.0,0.6,33.0
217,2020-03-03 02:00:00,9.0,0.6,28.0
218,2020-03-03 03:00:00,8.0,0.6,28.0
219,2020-03-03 04:00:00,6.0,0.6,35.0
220,2020-03-03 05:00:00,4.0,0.6,30.0
221,2020-03-03 06:00:00,4.0,0.6,36.0
222,2020-03-03 07:00:00,6.0,0.7,59.0
223,2020-03-03 08:00:00,6.0,0.7,54.0
224,2020-03-03 09:00:00,5.0,0.7,53.0
225,2020-03-03 10:00:00,6.0,0.7,48.0
226,2020-03-03 11:00:00,5.0,0.7,53.0
227,2020-03-03 12:00:00,6.0,0.7,46.0
228,2020-03-03 13:00:00,7.0,0.8,59.0
229,2020-03-03 14:00:00,8.0,0.8,59.0
230,2020-03-03 15:00:00,10.0,0.9,69.0
231,2020-03-03 16:00:00,14.0,0.9,79.0
232,2020-03-03 17:00:00,15.0,0.9,79.0
233,2020-03-03 18:00:00,17.0,1.0,101.0
234,2020-03-03 19:00:00,27.0,1.1,85.0
235,2020-03-03 20:00:00,22.0,0.9,63.0
236,2020-03-03 21:00:00,8.0,0.5,27.0
237,2020-03-03 22:00:00,7.0,0.5,13.0
238,2020-03-03 23:00:00,6.0,0.5,11.0
239,2020-03-04 00:00:00,6.0,0.5,16.0
240,2020-03-04 01:00:00,7.0,0.5,29.0
241,2020-03-04 02:00:00,6.0,0.5,21.0
242,2020-03-04 03:00:00,5.0,0.4,8.0
243,2020-03-04 04:00:00,5.0,0.4,9.0
244,2020-03-04 05:00:00,5.0,0.4,10.0
245,2020-03-04 06:00:00,5.0,0.4,14.0
246,2020-03-04 07:00:00,6.0,0.4,36.0
247,2020-03-04 08:00:00,7.0,0.5,63.0
248,2020-03-04 09:00:00,8.0,0.5,58.0
249,2020-03-04 10:00:00,7.0,0.5,42.0
250,2020-03-04 11:00:00,6.0,0.4,33.0
251,2020-03-04 12:00:00,5.0,0.4,24.0
252,2020-03-04 13:00:00,3.0,0.4,20.0
253,2020-03-04 14:00:00,2.0,0.4,23.0
254,2020-03-04 15:00:00,2.0,0.4,25.0
255,2020-03-04 16:00:00,3.0,0.4,42.0
256,2020-03-04 17:00:00,4.0,0.5,61.0
257,2020-03-04 18:00:00,9.0,0.5,33.0
258,2020-03-04 19:00:00,15.0,0.5,33.0
259,2020-03-04 20:00:00,24.0,0.7,72.0
260,2020-03-04 21:00:00,33.0,0.8,85.0
261,2020-03-04 22:00:00,30.0,0.8,75.0
262,2020-03-04 23:00:00,27.0,0.9,68.0
263,2020-03-05 00:00:00,26.0,0.8,75.0
264,2020-03-05 01:00:00,19.0,0.6,47.0
265,2020-03-05 02:00:00,17.0,0.5,28.0
266,2020-03-05 03:00:00,15.0,0.5,21.0
267,2020-03-05 04:00:00,15.0,0.5,23.0
268,2020-03-05 05:00:00,13.0,0.5,30.0
269,2020-03-05 06:00:00,13.0,0.5,42.0
270,2020-03-05 07:00:00,17.0,0.6,66.0
271,2020-03-05 08:00:00,19.0,0.7,75.0
272,2020-03-05 09:00:00,24.0,0.7,72.0
273,2020-03-05 10:00:00,21.0,0.6,73.0
274,2020-03-05 11:00:00,19.0,0.6,57.0
275,2020-03-05 12:00:00,14.0,0.5,54.0
276,2020-03-05 13:00:00,15.0,0.6,48.0
277,2020-03-05 14:00:00,13.0,0.5,45.0
278,2020-03-05 15:00:00,12.0,0.5,51.0
279,2020-03-05 16:00:00,14.0,0.5,60.0
280,2020-03-05 17:00:00,17.0,0.6,67.0
281,2020-03-05 18:00:00,28.0,0.8,99.0
282,2020-03-05 19:00:00,30.0,0.8,95.0
283,2020-03-05 20:00:00,30.0,0.8,93.0
284,2020-03-05 21:00:00,33.0,0.8,82.0
285,2020-03-05 22:00:00,36.0,0.8,74.0
286,2020-03-05 23:00:00,34.0,0.7,60.0
287,2020-03-06 00:00:00,20.0,0.6,29.0
288,2020-03-06 01:00:00,20.0,0.5,22.0
289,2020-03-06 02:00:00,18.0,0.5,21.0
290,2020-03-06 03:00:00,18.0,0.5,26.0
291,2020-03-06 04:00:00,19.0,0.5,29.0
292,2020-03-06 05:00:00,21.0,0.6,34.0
293,2020-03-06 06:00:00,22.0,0.6,38.0
294,2020-03-06 07:00:00,18.0,0.6,48.0
295,2020-03-06 08:00:00,19.0,0.7,64.0
296,2020-03-06 09:00:00,22.0,0.8,78.0
297,2020-03-06 10:00:00,19.0,0.7,44.0
298,2020-03-06 11:00:00,16.0,0.6,35.0
299,2020-03-06 12:00:00,13.0,0.6,26.0
300,2020-03-06 13:00:00,10.0,0.7,34.0
301,2020-03-06 14:00:00,7.0,0.6,26.0
302,2020-03-06 15:00:00,6.0,0.7,42.0
303,2020-03-06 16:00:00,6.0,0.6,45.0
304,2020-03-06 17:00:00,8.0,0.6,53.0
305,2020-03-06 18:00:00,11.0,0.7,70.0
306,2020-03-06 19:00:00,13.0,0.7,53.0
307,2020-03-06 20:00:00,18.0,0.8,61.0
308,2020-03-06 21:00:00,22.0,0.9,59.0
309,2020-03-06 22:00:00,19.0,0.8,45.0
310,2020-03-06 23:00:00,16.0,0.8,42.0
311,2020-03-07 00:00:00,15.0,0.7,36.0
312,2020-03-07 01:00:00,14.0,0.7,39.0
313,2020-03-07 02:00:00,15.0,0.7,39.0
314,2020-03-07 03:00:00,15.0,0.7,35.0
315,2020-03-07 04:00:00,17.0,0.6,30.0
