Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-03-01,1,20,µg/mc
"Riva del Garda",PM10,2020-03-01,2,20,µg/mc
"Riva del Garda",PM10,2020-03-01,3,20,µg/mc
"Riva del Garda",PM10,2020-03-01,4,19,µg/mc
"Riva del Garda",PM10,2020-03-01,5,20,µg/mc
"Riva del Garda",PM10,2020-03-01,6,21,µg/mc
"Riva del Garda",PM10,2020-03-01,7,20,µg/mc
"Riva del Garda",PM10,2020-03-01,8,19,µg/mc
"Riva del Garda",PM10,2020-03-01,9,22,µg/mc
"Riva del Garda",PM10,2020-03-01,10,19,µg/mc
"Riva del Garda",PM10,2020-03-01,11,18,µg/mc
"Riva del Garda",PM10,2020-03-01,12,17,µg/mc
"Riva del Garda",PM10,2020-03-01,13,17,µg/mc
"Riva del Garda",PM10,2020-03-01,14,16,µg/mc
"Riva del Garda",PM10,2020-03-01,15,14,µg/mc
"Riva del Garda",PM10,2020-03-01,16,13,µg/mc
"Riva del Garda",PM10,2020-03-01,17,12,µg/mc
"Riva del Garda",PM10,2020-03-01,18,13,µg/mc
"Riva del Garda",PM10,2020-03-01,19,15,µg/mc
"Riva del Garda",PM10,2020-03-01,20,21,µg/mc
"Riva del Garda",PM10,2020-03-01,21,22,µg/mc
"Riva del Garda",PM10,2020-03-01,22,24,µg/mc
"Riva del Garda",PM10,2020-03-01,23,27,µg/mc
"Riva del Garda",PM10,2020-03-01,24,27,µg/mc
"Riva del Garda",PM10,2020-03-02,1,25,µg/mc
"Riva del Garda",PM10,2020-03-02,2,25,µg/mc
"Riva del Garda",PM10,2020-03-02,3,25,µg/mc
"Riva del Garda",PM10,2020-03-02,4,24,µg/mc
"Riva del Garda",PM10,2020-03-02,5,21,µg/mc
"Riva del Garda",PM10,2020-03-02,6,14,µg/mc
"Riva del Garda",PM10,2020-03-02,7,19,µg/mc
"Riva del Garda",PM10,2020-03-02,8,19,µg/mc
"Riva del Garda",PM10,2020-03-02,9,21,µg/mc
"Riva del Garda",PM10,2020-03-02,10,20,µg/mc
"Riva del Garda",PM10,2020-03-02,11,18,µg/mc
"Riva del Garda",PM10,2020-03-02,12,16,µg/mc
"Riva del Garda",PM10,2020-03-02,13,8,µg/mc
"Riva del Garda",PM10,2020-03-02,14,7,µg/mc
"Riva del Garda",PM10,2020-03-02,15,7,µg/mc
"Riva del Garda",PM10,2020-03-02,16,6,µg/mc
"Riva del Garda",PM10,2020-03-02,17,7,µg/mc
"Riva del Garda",PM10,2020-03-02,18,6,µg/mc
"Riva del Garda",PM10,2020-03-02,19,6,µg/mc
"Riva del Garda",PM10,2020-03-02,20,6,µg/mc
"Riva del Garda",PM10,2020-03-02,21,5,µg/mc
"Riva del Garda",PM10,2020-03-02,22,4,µg/mc
"Riva del Garda",PM10,2020-03-02,23,3,µg/mc
"Riva del Garda",PM10,2020-03-02,24,2,µg/mc
"Riva del Garda",PM10,2020-03-03,1,3,µg/mc
"Riva del Garda",PM10,2020-03-03,2,3,µg/mc
"Riva del Garda",PM10,2020-03-03,3,4,µg/mc
"Riva del Garda",PM10,2020-03-03,4,4,µg/mc
"Riva del Garda",PM10,2020-03-03,5,4,µg/mc
"Riva del Garda",PM10,2020-03-03,6,4,µg/mc
"Riva del Garda",PM10,2020-03-03,7,4,µg/mc
"Riva del Garda",PM10,2020-03-03,8,6,µg/mc
"Riva del Garda",PM10,2020-03-03,9,6,µg/mc
"Riva del Garda",PM10,2020-03-03,10,5,µg/mc
"Riva del Garda",PM10,2020-03-03,11,4,µg/mc
"Riva del Garda",PM10,2020-03-03,12,4,µg/mc
"Riva del Garda",PM10,2020-03-03,13,4,µg/mc
"Riva del Garda",PM10,2020-03-03,14,8,µg/mc
"Riva del Garda",PM10,2020-03-03,15,14,µg/mc
"Riva del Garda",PM10,2020-03-03,16,15,µg/mc
"Riva del Garda",PM10,2020-03-03,17,17,µg/mc
"Riva del Garda",PM10,2020-03-03,18,6,µg/mc
"Riva del Garda",PM10,2020-03-03,19,5,µg/mc
"Riva del Garda",PM10,2020-03-03,20,4,µg/mc
"Riva del Garda",PM10,2020-03-03,21,4,µg/mc
"Riva del Garda",PM10,2020-03-03,22,5,µg/mc
"Riva del Garda",PM10,2020-03-03,23,4,µg/mc
"Riva del Garda",PM10,2020-03-03,24,3,µg/mc
"Riva del Garda",PM10,2020-03-04,1,4,µg/mc
"Riva del Garda",PM10,2020-03-04,2,3,µg/mc
"Riva del Garda",PM10,2020-03-04,3,3,µg/mc
"Riva del Garda",PM10,2020-03-04,4,2,µg/mc
"Riva del Garda",PM10,2020-03-04,5,2,µg/mc
"Riva del Garda",PM10,2020-03-04,6,2,µg/mc
"Riva del Garda",PM10,2020-03-04,7,3,µg/mc
"Riva del Garda",PM10,2020-03-04,8,3,µg/mc
"Riva del Garda",PM10,2020-03-04,9,3,µg/mc
"Riva del Garda",PM10,2020-03-04,10,3,µg/mc
"Riva del Garda",PM10,2020-03-04,11,2,µg/mc
"Riva del Garda",PM10,2020-03-04,12,2,µg/mc
"Riva del Garda",PM10,2020-03-04,13,2,µg/mc
"Riva del Garda",PM10,2020-03-04,14,2,µg/mc
"Riva del Garda",PM10,2020-03-04,15,2,µg/mc
"Riva del Garda",PM10,2020-03-04,16,5,µg/mc
"Riva del Garda",PM10,2020-03-04,17,10,µg/mc
"Riva del Garda",PM10,2020-03-04,18,10,µg/mc
"Riva del Garda",PM10,2020-03-04,19,12,µg/mc
"Riva del Garda",PM10,2020-03-04,20,15,µg/mc
"Riva del Garda",PM10,2020-03-04,21,20,µg/mc
"Riva del Garda",PM10,2020-03-04,22,23,µg/mc
"Riva del Garda",PM10,2020-03-04,23,23,µg/mc
"Riva del Garda",PM10,2020-03-04,24,26,µg/mc
"Riva del Garda",PM10,2020-03-05,1,22,µg/mc
"Riva del Garda",PM10,2020-03-05,2,21,µg/mc
"Riva del Garda",PM10,2020-03-05,3,18,µg/mc
"Riva del Garda",PM10,2020-03-05,4,17,µg/mc
"Riva del Garda",PM10,2020-03-05,5,16,µg/mc
"Riva del Garda",PM10,2020-03-05,6,15,µg/mc
"Riva del Garda",PM10,2020-03-05,7,15,µg/mc
"Riva del Garda",PM10,2020-03-05,8,17,µg/mc
"Riva del Garda",PM10,2020-03-05,9,17,µg/mc
"Riva del Garda",PM10,2020-03-05,10,12,µg/mc
"Riva del Garda",PM10,2020-03-05,11,10,µg/mc
"Riva del Garda",PM10,2020-03-05,12,10,µg/mc
"Riva del Garda",PM10,2020-03-05,13,10,µg/mc
"Riva del Garda",PM10,2020-03-05,14,10,µg/mc
"Riva del Garda",PM10,2020-03-05,15,9,µg/mc
"Riva del Garda",PM10,2020-03-05,16,9,µg/mc
"Riva del Garda",PM10,2020-03-05,17,13,µg/mc
"Riva del Garda",PM10,2020-03-05,18,12,µg/mc
"Riva del Garda",PM10,2020-03-05,19,14,µg/mc
"Riva del Garda",PM10,2020-03-05,20,18,µg/mc
"Riva del Garda",PM10,2020-03-05,21,26,µg/mc
"Riva del Garda",PM10,2020-03-05,22,21,µg/mc
"Riva del Garda",PM10,2020-03-05,23,15,µg/mc
"Riva del Garda",PM10,2020-03-05,24,16,µg/mc
"Riva del Garda",PM10,2020-03-06,1,13,µg/mc
"Riva del Garda",PM10,2020-03-06,2,10,µg/mc
"Riva del Garda",PM10,2020-03-06,3,6,µg/mc
"Riva del Garda",PM10,2020-03-06,4,5,µg/mc
"Riva del Garda",PM10,2020-03-06,5,6,µg/mc
"Riva del Garda",PM10,2020-03-06,6,6,µg/mc
"Riva del Garda",PM10,2020-03-06,7,6,µg/mc
"Riva del Garda",PM10,2020-03-06,8,8,µg/mc
"Riva del Garda",PM10,2020-03-06,9,9,µg/mc
"Riva del Garda",PM10,2020-03-06,10,5,µg/mc
"Riva del Garda",PM10,2020-03-06,11,4,µg/mc
"Riva del Garda",PM10,2020-03-06,12,3,µg/mc
"Riva del Garda",PM10,2020-03-06,13,3,µg/mc
"Riva del Garda",PM10,2020-03-06,14,3,µg/mc
"Riva del Garda",PM10,2020-03-06,15,4,µg/mc
"Riva del Garda",PM10,2020-03-06,16,7,µg/mc
"Riva del Garda",PM10,2020-03-06,17,22,µg/mc
"Riva del Garda",PM10,2020-03-06,18,24,µg/mc
"Riva del Garda",PM10,2020-03-06,19,24,µg/mc
"Riva del Garda",PM10,2020-03-06,20,22,µg/mc
"Riva del Garda",PM10,2020-03-06,21,21,µg/mc
"Riva del Garda",PM10,2020-03-06,22,23,µg/mc
"Riva del Garda",PM10,2020-03-06,23,31,µg/mc
"Riva del Garda",PM10,2020-03-06,24,28,µg/mc
"Riva del Garda",PM10,2020-03-07,1,26,µg/mc
"Riva del Garda",PM10,2020-03-07,2,25,µg/mc
"Riva del Garda",PM10,2020-03-07,3,22,µg/mc
"Riva del Garda",PM10,2020-03-07,4,19,µg/mc
"Riva del Garda",PM10,2020-03-07,5,18,µg/mc
"Riva del Garda",PM10,2020-03-07,6,17,µg/mc
"Riva del Garda",PM10,2020-03-07,7,15,µg/mc
"Riva del Garda",PM10,2020-03-07,8,13,µg/mc
"Riva del Garda",PM10,2020-03-07,9,11,µg/mc
"Riva del Garda",PM10,2020-03-07,10,9,µg/mc
"Riva del Garda",PM10,2020-03-07,11,6,µg/mc
"Riva del Garda",PM10,2020-03-07,12,3,µg/mc
"Riva del Garda",PM10,2020-03-07,13,2,µg/mc
"Riva del Garda",PM10,2020-03-07,14,3,µg/mc
"Riva del Garda",PM10,2020-03-07,15,5,µg/mc
"Riva del Garda",PM10,2020-03-07,16,12,µg/mc
"Riva del Garda",PM10,2020-03-07,17,16,µg/mc
"Riva del Garda",PM10,2020-03-07,18,22,µg/mc
"Riva del Garda",PM10,2020-03-07,19,10,µg/mc
"Riva del Garda",PM10,2020-03-07,20,4,µg/mc
"Riva del Garda",PM10,2020-03-07,21,4,µg/mc
"Riva del Garda",PM10,2020-03-07,22,4,µg/mc
"Riva del Garda",PM10,2020-03-07,23,4,µg/mc
"Riva del Garda",PM10,2020-03-07,24,3,µg/mc
"Riva del Garda",PM10,2020-03-08,1,3,µg/mc
"Riva del Garda",PM10,2020-03-08,2,3,µg/mc
"Riva del Garda",PM10,2020-03-08,3,3,µg/mc
"Riva del Garda",PM10,2020-03-08,4,3,µg/mc
"Riva del Garda",PM10,2020-03-08,5,4,µg/mc
"Riva del Garda",PM10,2020-03-08,6,4,µg/mc
"Riva del Garda",PM10,2020-03-08,7,4,µg/mc
"Riva del Garda",PM10,2020-03-08,8,5,µg/mc
"Riva del Garda",PM10,2020-03-08,9,4,µg/mc
"Riva del Garda",PM10,2020-03-08,10,3,µg/mc
"Riva del Garda",PM10,2020-03-08,11,2,µg/mc
"Riva del Garda",PM10,2020-03-08,12,2,µg/mc
"Riva del Garda",PM10,2020-03-08,13,2,µg/mc
"Riva del Garda",PM10,2020-03-08,14,2,µg/mc
"Riva del Garda",PM10,2020-03-08,15,3,µg/mc
"Riva del Garda",PM10,2020-03-08,16,5,µg/mc
"Riva del Garda",PM10,2020-03-08,17,8,µg/mc
"Riva del Garda",PM10,2020-03-08,18,9,µg/mc
"Riva del Garda",PM10,2020-03-08,19,10,µg/mc
"Riva del Garda",PM10,2020-03-08,20,18,µg/mc
"Riva del Garda",PM10,2020-03-08,21,18,µg/mc
"Riva del Garda",PM10,2020-03-08,22,23,µg/mc
"Riva del Garda",PM10,2020-03-08,23,23,µg/mc
"Riva del Garda",PM10,2020-03-08,24,19,µg/mc
"Riva del Garda",PM10,2020-03-09,1,17,µg/mc
"Riva del Garda",PM10,2020-03-09,2,14,µg/mc
"Riva del Garda",PM10,2020-03-09,3,14,µg/mc
"Riva del Garda",PM10,2020-03-09,4,13,µg/mc
"Riva del Garda",PM10,2020-03-09,5,12,µg/mc
"Riva del Garda",PM10,2020-03-09,6,12,µg/mc
"Riva del Garda",PM10,2020-03-09,7,13,µg/mc
"Riva del Garda",PM10,2020-03-09,8,13,µg/mc
"Riva del Garda",PM10,2020-03-09,9,13,µg/mc
"Riva del Garda",PM10,2020-03-09,10,13,µg/mc
"Riva del Garda",PM10,2020-03-09,11,12,µg/mc
"Riva del Garda",PM10,2020-03-09,12,10,µg/mc
"Riva del Garda",PM10,2020-03-09,13,11,µg/mc
"Riva del Garda",PM10,2020-03-09,14,12,µg/mc
"Riva del Garda",PM10,2020-03-09,15,13,µg/mc
"Riva del Garda",PM10,2020-03-09,16,12,µg/mc
"Riva del Garda",PM10,2020-03-09,17,7,µg/mc
"Riva del Garda",PM10,2020-03-09,18,8,µg/mc
"Riva del Garda",PM10,2020-03-09,19,12,µg/mc
"Riva del Garda",PM10,2020-03-09,20,19,µg/mc
"Riva del Garda",PM10,2020-03-09,21,15,µg/mc
"Riva del Garda",PM10,2020-03-09,22,17,µg/mc
"Riva del Garda",PM10,2020-03-09,23,13,µg/mc
"Riva del Garda",PM10,2020-03-09,24,12,µg/mc
"Riva del Garda",PM10,2020-03-10,1,11,µg/mc
"Riva del Garda",PM10,2020-03-10,2,11,µg/mc
"Riva del Garda",PM10,2020-03-10,3,10,µg/mc
"Riva del Garda",PM10,2020-03-10,4,10,µg/mc
"Riva del Garda",PM10,2020-03-10,5,9,µg/mc
"Riva del Garda",PM10,2020-03-10,6,9,µg/mc
"Riva del Garda",PM10,2020-03-10,7,9,µg/mc
"Riva del Garda",PM10,2020-03-10,8,10,µg/mc
"Riva del Garda",PM10,2020-03-10,9,12,µg/mc
"Riva del Garda",PM10,2020-03-10,10,13,µg/mc
"Riva del Garda",PM10,2020-03-10,11,10,µg/mc
"Riva del Garda",PM10,2020-03-10,12,8,µg/mc
"Riva del Garda",PM10,2020-03-10,13,6,µg/mc
"Riva del Garda",PM10,2020-03-10,14,5,µg/mc
"Riva del Garda",PM10,2020-03-10,15,7,µg/mc
"Riva del Garda",PM10,2020-03-10,16,10,µg/mc
"Riva del Garda",PM10,2020-03-10,17,17,µg/mc
"Riva del Garda",PM10,2020-03-10,18,19,µg/mc
"Riva del Garda",PM10,2020-03-10,19,19,µg/mc
"Riva del Garda",PM10,2020-03-10,20,23,µg/mc
"Riva del Garda",PM10,2020-03-10,21,30,µg/mc
"Riva del Garda",PM10,2020-03-10,22,36,µg/mc
"Riva del Garda",PM10,2020-03-10,23,27,µg/mc
