Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-05-28,1,14,µg/mc
"Riva del Garda",PM10,2020-05-28,2,14,µg/mc
"Riva del Garda",PM10,2020-05-28,3,15,µg/mc
"Riva del Garda",PM10,2020-05-28,4,16,µg/mc
"Riva del Garda",PM10,2020-05-28,5,15,µg/mc
"Riva del Garda",PM10,2020-05-28,6,15,µg/mc
"Riva del Garda",PM10,2020-05-28,7,15,µg/mc
"Riva del Garda",PM10,2020-05-28,8,14,µg/mc
"Riva del Garda",PM10,2020-05-28,9,14,µg/mc
"Riva del Garda",PM10,2020-05-28,10,15,µg/mc
"Riva del Garda",PM10,2020-05-28,11,14,µg/mc
"Riva del Garda",PM10,2020-05-28,12,13,µg/mc
"Riva del Garda",PM10,2020-05-28,13,13,µg/mc
"Riva del Garda",PM10,2020-05-28,14,12,µg/mc
"Riva del Garda",PM10,2020-05-28,15,15,µg/mc
"Riva del Garda",PM10,2020-05-28,16,13,µg/mc
"Riva del Garda",PM10,2020-05-28,17,13,µg/mc
"Riva del Garda",PM10,2020-05-28,18,12,µg/mc
"Riva del Garda",PM10,2020-05-28,19,12,µg/mc
"Riva del Garda",PM10,2020-05-28,20,13,µg/mc
"Riva del Garda",PM10,2020-05-28,21,13,µg/mc
"Riva del Garda",PM10,2020-05-28,22,12,µg/mc
"Riva del Garda",PM10,2020-05-28,23,12,µg/mc
"Riva del Garda",PM10,2020-05-28,24,9,µg/mc
"Riva del Garda",PM10,2020-05-29,1,10,µg/mc
"Riva del Garda",PM10,2020-05-29,2,11,µg/mc
"Riva del Garda",PM10,2020-05-29,3,13,µg/mc
"Riva del Garda",PM10,2020-05-29,4,10,µg/mc
"Riva del Garda",PM10,2020-05-29,5,9,µg/mc
"Riva del Garda",PM10,2020-05-29,6,8,µg/mc
"Riva del Garda",PM10,2020-05-29,7,8,µg/mc
"Riva del Garda",PM10,2020-05-29,8,6,µg/mc
"Riva del Garda",PM10,2020-05-29,9,6,µg/mc
"Riva del Garda",PM10,2020-05-29,10,6,µg/mc
"Riva del Garda",PM10,2020-05-29,11,7,µg/mc
"Riva del Garda",PM10,2020-05-29,12,8,µg/mc
"Riva del Garda",PM10,2020-05-29,13,8,µg/mc
"Riva del Garda",PM10,2020-05-29,14,8,µg/mc
"Riva del Garda",PM10,2020-05-29,15,7,µg/mc
"Riva del Garda",PM10,2020-05-29,16,9,µg/mc
"Riva del Garda",PM10,2020-05-29,17,9,µg/mc
"Riva del Garda",PM10,2020-05-29,18,9,µg/mc
"Riva del Garda",PM10,2020-05-29,19,8,µg/mc
"Riva del Garda",PM10,2020-05-29,20,9,µg/mc
"Riva del Garda",PM10,2020-05-29,21,9,µg/mc
"Riva del Garda",PM10,2020-05-29,22,9,µg/mc
"Riva del Garda",PM10,2020-05-29,23,9,µg/mc
"Riva del Garda",PM10,2020-05-29,24,9,µg/mc
"Riva del Garda",PM10,2020-05-30,1,9,µg/mc
"Riva del Garda",PM10,2020-05-30,2,8,µg/mc
"Riva del Garda",PM10,2020-05-30,3,9,µg/mc
"Riva del Garda",PM10,2020-05-30,4,11,µg/mc
"Riva del Garda",PM10,2020-05-30,5,9,µg/mc
"Riva del Garda",PM10,2020-05-30,6,9,µg/mc
"Riva del Garda",PM10,2020-05-30,7,11,µg/mc
"Riva del Garda",PM10,2020-05-30,8,11,µg/mc
"Riva del Garda",PM10,2020-05-30,9,10,µg/mc
"Riva del Garda",PM10,2020-05-30,10,11,µg/mc
"Riva del Garda",PM10,2020-05-30,11,13,µg/mc
"Riva del Garda",PM10,2020-05-30,12,13,µg/mc
"Riva del Garda",PM10,2020-05-30,13,13,µg/mc
"Riva del Garda",PM10,2020-05-30,14,12,µg/mc
"Riva del Garda",PM10,2020-05-30,15,12,µg/mc
"Riva del Garda",PM10,2020-05-30,16,12,µg/mc
"Riva del Garda",PM10,2020-05-30,17,14,µg/mc
"Riva del Garda",PM10,2020-05-30,18,16,µg/mc
"Riva del Garda",PM10,2020-05-30,19,16,µg/mc
"Riva del Garda",PM10,2020-05-30,20,12,µg/mc
"Riva del Garda",PM10,2020-05-30,21,11,µg/mc
"Riva del Garda",PM10,2020-05-30,22,11,µg/mc
"Riva del Garda",PM10,2020-05-30,23,14,µg/mc
"Riva del Garda",PM10,2020-05-30,24,15,µg/mc
"Riva del Garda",PM10,2020-05-31,1,15,µg/mc
"Riva del Garda",PM10,2020-05-31,2,13,µg/mc
"Riva del Garda",PM10,2020-05-31,3,10,µg/mc
"Riva del Garda",PM10,2020-05-31,4,10,µg/mc
"Riva del Garda",PM10,2020-05-31,5,11,µg/mc
"Riva del Garda",PM10,2020-05-31,6,12,µg/mc
"Riva del Garda",PM10,2020-05-31,7,11,µg/mc
"Riva del Garda",PM10,2020-05-31,8,10,µg/mc
"Riva del Garda",PM10,2020-05-31,9,11,µg/mc
"Riva del Garda",PM10,2020-05-31,10,10,µg/mc
"Riva del Garda",PM10,2020-05-31,11,10,µg/mc
"Riva del Garda",PM10,2020-05-31,12,9,µg/mc
"Riva del Garda",PM10,2020-05-31,13,9,µg/mc
"Riva del Garda",PM10,2020-05-31,14,9,µg/mc
"Riva del Garda",PM10,2020-05-31,15,8,µg/mc
"Riva del Garda",PM10,2020-05-31,16,9,µg/mc
"Riva del Garda",PM10,2020-05-31,17,9,µg/mc
"Riva del Garda",PM10,2020-05-31,18,7,µg/mc
"Riva del Garda",PM10,2020-05-31,19,8,µg/mc
"Riva del Garda",PM10,2020-05-31,20,8,µg/mc
"Riva del Garda",PM10,2020-05-31,21,8,µg/mc
