Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-08-21,1,17,µg/mc
"Riva del Garda",PM10,2020-08-21,2,17,µg/mc
"Riva del Garda",PM10,2020-08-21,3,18,µg/mc
"Riva del Garda",PM10,2020-08-21,4,17,µg/mc
"Riva del Garda",PM10,2020-08-21,5,17,µg/mc
"Riva del Garda",PM10,2020-08-21,6,17,µg/mc
"Riva del Garda",PM10,2020-08-21,7,17,µg/mc
"Riva del Garda",PM10,2020-08-21,8,17,µg/mc
"Riva del Garda",PM10,2020-08-21,9,17,µg/mc
"Riva del Garda",PM10,2020-08-21,10,17,µg/mc
"Riva del Garda",PM10,2020-08-21,11,18,µg/mc
"Riva del Garda",PM10,2020-08-21,12,19,µg/mc
"Riva del Garda",PM10,2020-08-21,13,20,µg/mc
"Riva del Garda",PM10,2020-08-21,14,19,µg/mc
"Riva del Garda",PM10,2020-08-21,15,19,µg/mc
"Riva del Garda",PM10,2020-08-21,16,19,µg/mc
"Riva del Garda",PM10,2020-08-21,17,19,µg/mc
"Riva del Garda",PM10,2020-08-21,18,18,µg/mc
"Riva del Garda",PM10,2020-08-21,19,18,µg/mc
"Riva del Garda",PM10,2020-08-21,20,20,µg/mc
"Riva del Garda",PM10,2020-08-21,21,24,µg/mc
"Riva del Garda",PM10,2020-08-21,22,24,µg/mc
"Riva del Garda",PM10,2020-08-21,23,22,µg/mc
"Riva del Garda",PM10,2020-08-21,24,21,µg/mc
"Riva del Garda",PM10,2020-08-22,1,21,µg/mc
"Riva del Garda",PM10,2020-08-22,2,20,µg/mc
"Riva del Garda",PM10,2020-08-22,3,21,µg/mc
"Riva del Garda",PM10,2020-08-22,4,21,µg/mc
"Riva del Garda",PM10,2020-08-22,5,21,µg/mc
"Riva del Garda",PM10,2020-08-22,6,21,µg/mc
"Riva del Garda",PM10,2020-08-22,7,21,µg/mc
"Riva del Garda",PM10,2020-08-22,8,20,µg/mc
"Riva del Garda",PM10,2020-08-22,9,20,µg/mc
"Riva del Garda",PM10,2020-08-22,10,20,µg/mc
"Riva del Garda",PM10,2020-08-22,11,21,µg/mc
"Riva del Garda",PM10,2020-08-22,12,21,µg/mc
"Riva del Garda",PM10,2020-08-22,13,21,µg/mc
"Riva del Garda",PM10,2020-08-22,14,22,µg/mc
"Riva del Garda",PM10,2020-08-22,15,22,µg/mc
"Riva del Garda",PM10,2020-08-22,16,21,µg/mc
"Riva del Garda",PM10,2020-08-22,17,21,µg/mc
"Riva del Garda",PM10,2020-08-22,18,15,µg/mc
"Riva del Garda",PM10,2020-08-22,19,14,µg/mc
"Riva del Garda",PM10,2020-08-22,20,14,µg/mc
"Riva del Garda",PM10,2020-08-22,21,13,µg/mc
"Riva del Garda",PM10,2020-08-22,22,11,µg/mc
"Riva del Garda",PM10,2020-08-22,23,10,µg/mc
"Riva del Garda",PM10,2020-08-22,24,10,µg/mc
"Riva del Garda",PM10,2020-08-23,1,10,µg/mc
"Riva del Garda",PM10,2020-08-23,2,9,µg/mc
"Riva del Garda",PM10,2020-08-23,3,8,µg/mc
"Riva del Garda",PM10,2020-08-23,4,9,µg/mc
"Riva del Garda",PM10,2020-08-23,5,9,µg/mc
"Riva del Garda",PM10,2020-08-23,6,9,µg/mc
"Riva del Garda",PM10,2020-08-23,7,8,µg/mc
"Riva del Garda",PM10,2020-08-23,8,7,µg/mc
"Riva del Garda",PM10,2020-08-23,9,5,µg/mc
"Riva del Garda",PM10,2020-08-23,10,5,µg/mc
"Riva del Garda",PM10,2020-08-23,11,6,µg/mc
"Riva del Garda",PM10,2020-08-23,12,7,µg/mc
"Riva del Garda",PM10,2020-08-23,13,7,µg/mc
"Riva del Garda",PM10,2020-08-23,14,8,µg/mc
"Riva del Garda",PM10,2020-08-23,15,8,µg/mc
"Riva del Garda",PM10,2020-08-23,16,9,µg/mc
"Riva del Garda",PM10,2020-08-23,17,7,µg/mc
"Riva del Garda",PM10,2020-08-23,18,5,µg/mc
"Riva del Garda",PM10,2020-08-23,19,4,µg/mc
"Riva del Garda",PM10,2020-08-23,20,4,µg/mc
