Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-11-17,1,4,µg/mc
"Riva del Garda",PM10,2020-11-17,2,10,µg/mc
"Riva del Garda",PM10,2020-11-17,3,15,µg/mc
"Riva del Garda",PM10,2020-11-17,4,8,µg/mc
"Riva del Garda",PM10,2020-11-17,5,4,µg/mc
"Riva del Garda",PM10,2020-11-17,6,3,µg/mc
"Riva del Garda",PM10,2020-11-17,7,2,µg/mc
"Riva del Garda",PM10,2020-11-17,8,3,µg/mc
"Riva del Garda",PM10,2020-11-17,9,6,µg/mc
"Riva del Garda",PM10,2020-11-17,10,5,µg/mc
"Riva del Garda",PM10,2020-11-17,11,3,µg/mc
"Riva del Garda",PM10,2020-11-17,12,3,µg/mc
"Riva del Garda",PM10,2020-11-17,13,2,µg/mc
"Riva del Garda",PM10,2020-11-17,14,2,µg/mc
"Riva del Garda",PM10,2020-11-17,15,8,µg/mc
"Riva del Garda",PM10,2020-11-17,16,19,µg/mc
"Riva del Garda",PM10,2020-11-17,17,14,µg/mc
"Riva del Garda",PM10,2020-11-17,18,17,µg/mc
"Riva del Garda",PM10,2020-11-17,19,26,µg/mc
"Riva del Garda",PM10,2020-11-17,20,26,µg/mc
"Riva del Garda",PM10,2020-11-17,21,34,µg/mc
"Riva del Garda",PM10,2020-11-17,22,36,µg/mc
"Riva del Garda",PM10,2020-11-17,23,25,µg/mc
"Riva del Garda",PM10,2020-11-17,24,19,µg/mc
"Riva del Garda",PM10,2020-11-18,1,16,µg/mc
"Riva del Garda",PM10,2020-11-18,2,12,µg/mc
"Riva del Garda",PM10,2020-11-18,3,10,µg/mc
"Riva del Garda",PM10,2020-11-18,4,8,µg/mc
"Riva del Garda",PM10,2020-11-18,5,6,µg/mc
"Riva del Garda",PM10,2020-11-18,6,5,µg/mc
"Riva del Garda",PM10,2020-11-18,7,7,µg/mc
"Riva del Garda",PM10,2020-11-18,8,10,µg/mc
"Riva del Garda",PM10,2020-11-18,9,14,µg/mc
"Riva del Garda",PM10,2020-11-18,10,11,µg/mc
"Riva del Garda",PM10,2020-11-18,11,8,µg/mc
"Riva del Garda",PM10,2020-11-18,12,7,µg/mc
"Riva del Garda",PM10,2020-11-18,13,7,µg/mc
"Riva del Garda",PM10,2020-11-18,14,7,µg/mc
"Riva del Garda",PM10,2020-11-18,15,9,µg/mc
"Riva del Garda",PM10,2020-11-18,16,23,µg/mc
"Riva del Garda",PM10,2020-11-18,17,23,µg/mc
"Riva del Garda",PM10,2020-11-18,18,32,µg/mc
"Riva del Garda",PM10,2020-11-18,19,50,µg/mc
"Riva del Garda",PM10,2020-11-18,20,46,µg/mc
"Riva del Garda",PM10,2020-11-18,21,30,µg/mc
"Riva del Garda",PM10,2020-11-18,22,25,µg/mc
"Riva del Garda",PM10,2020-11-18,23,30,µg/mc
"Riva del Garda",PM10,2020-11-18,24,21,µg/mc
"Riva del Garda",PM10,2020-11-19,1,17,µg/mc
"Riva del Garda",PM10,2020-11-19,2,14,µg/mc
"Riva del Garda",PM10,2020-11-19,3,9,µg/mc
"Riva del Garda",PM10,2020-11-19,4,7,µg/mc
"Riva del Garda",PM10,2020-11-19,5,6,µg/mc
"Riva del Garda",PM10,2020-11-19,6,6,µg/mc
"Riva del Garda",PM10,2020-11-19,7,7,µg/mc
"Riva del Garda",PM10,2020-11-19,8,14,µg/mc
"Riva del Garda",PM10,2020-11-19,9,14,µg/mc
"Riva del Garda",PM10,2020-11-19,10,11,µg/mc
"Riva del Garda",PM10,2020-11-19,11,10,µg/mc
"Riva del Garda",PM10,2020-11-19,12,9,µg/mc
"Riva del Garda",PM10,2020-11-19,13,10,µg/mc
"Riva del Garda",PM10,2020-11-19,14,11,µg/mc
