Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-02-15,1,15,µg/mc
"Riva del Garda",PM10,2021-02-15,2,12,µg/mc
"Riva del Garda",PM10,2021-02-15,3,9,µg/mc
"Riva del Garda",PM10,2021-02-15,4,6,µg/mc
"Riva del Garda",PM10,2021-02-15,5,6,µg/mc
"Riva del Garda",PM10,2021-02-15,6,7,µg/mc
"Riva del Garda",PM10,2021-02-15,7,16,µg/mc
"Riva del Garda",PM10,2021-02-15,8,24,µg/mc
"Riva del Garda",PM10,2021-02-15,9,19,µg/mc
"Riva del Garda",PM10,2021-02-15,10,11,µg/mc
"Riva del Garda",PM10,2021-02-15,11,8,µg/mc
"Riva del Garda",PM10,2021-02-15,12,7,µg/mc
"Riva del Garda",PM10,2021-02-15,13,6,µg/mc
"Riva del Garda",PM10,2021-02-15,14,6,µg/mc
"Riva del Garda",PM10,2021-02-15,15,10,µg/mc
"Riva del Garda",PM10,2021-02-15,16,13,µg/mc
"Riva del Garda",PM10,2021-02-15,17,33,µg/mc
"Riva del Garda",PM10,2021-02-15,18,38,µg/mc
"Riva del Garda",PM10,2021-02-15,19,43,µg/mc
"Riva del Garda",PM10,2021-02-15,20,47,µg/mc
"Riva del Garda",PM10,2021-02-15,21,67,µg/mc
"Riva del Garda",PM10,2021-02-15,22,60,µg/mc
"Riva del Garda",PM10,2021-02-15,23,49,µg/mc
"Riva del Garda",PM10,2021-02-15,24,47,µg/mc
"Riva del Garda",PM10,2021-02-16,1,35,µg/mc
"Riva del Garda",PM10,2021-02-16,2,27,µg/mc
"Riva del Garda",PM10,2021-02-16,3,23,µg/mc
"Riva del Garda",PM10,2021-02-16,4,19,µg/mc
"Riva del Garda",PM10,2021-02-16,5,17,µg/mc
"Riva del Garda",PM10,2021-02-16,6,16,µg/mc
"Riva del Garda",PM10,2021-02-16,7,16,µg/mc
"Riva del Garda",PM10,2021-02-16,8,21,µg/mc
"Riva del Garda",PM10,2021-02-16,9,23,µg/mc
"Riva del Garda",PM10,2021-02-16,10,21,µg/mc
"Riva del Garda",PM10,2021-02-16,11,17,µg/mc
"Riva del Garda",PM10,2021-02-16,12,14,µg/mc
"Riva del Garda",PM10,2021-02-16,13,13,µg/mc
"Riva del Garda",PM10,2021-02-16,14,15,µg/mc
"Riva del Garda",PM10,2021-02-16,15,18,µg/mc
"Riva del Garda",PM10,2021-02-16,16,25,µg/mc
"Riva del Garda",PM10,2021-02-16,17,37,µg/mc
"Riva del Garda",PM10,2021-02-16,18,42,µg/mc
"Riva del Garda",PM10,2021-02-16,19,50,µg/mc
"Riva del Garda",PM10,2021-02-16,20,55,µg/mc
"Riva del Garda",PM10,2021-02-16,21,56,µg/mc
"Riva del Garda",PM10,2021-02-16,22,63,µg/mc
"Riva del Garda",PM10,2021-02-16,23,69,µg/mc
"Riva del Garda",PM10,2021-02-16,24,77,µg/mc
"Riva del Garda",PM10,2021-02-17,1,80,µg/mc
"Riva del Garda",PM10,2021-02-17,2,73,µg/mc
"Riva del Garda",PM10,2021-02-17,3,70,µg/mc
