Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-05-15,1,7,µg/mc
"Riva del Garda",PM10,2021-05-15,2,7,µg/mc
"Riva del Garda",PM10,2021-05-15,3,7,µg/mc
"Riva del Garda",PM10,2021-05-15,4,7,µg/mc
"Riva del Garda",PM10,2021-05-15,5,7,µg/mc
"Riva del Garda",PM10,2021-05-15,6,9,µg/mc
"Riva del Garda",PM10,2021-05-15,7,9,µg/mc
"Riva del Garda",PM10,2021-05-15,8,7,µg/mc
"Riva del Garda",PM10,2021-05-15,9,5,µg/mc
"Riva del Garda",PM10,2021-05-15,10,3,µg/mc
"Riva del Garda",PM10,2021-05-15,11,4,µg/mc
"Riva del Garda",PM10,2021-05-15,12,5,µg/mc
"Riva del Garda",PM10,2021-05-15,13,5,µg/mc
"Riva del Garda",PM10,2021-05-15,14,9,µg/mc
"Riva del Garda",PM10,2021-05-15,15,10,µg/mc
"Riva del Garda",PM10,2021-05-15,16,11,µg/mc
"Riva del Garda",PM10,2021-05-15,17,15,µg/mc
"Riva del Garda",PM10,2021-05-15,18,12,µg/mc
"Riva del Garda",PM10,2021-05-15,19,8,µg/mc
"Riva del Garda",PM10,2021-05-15,20,10,µg/mc
"Riva del Garda",PM10,2021-05-15,21,9,µg/mc
"Riva del Garda",PM10,2021-05-15,22,8,µg/mc
"Riva del Garda",PM10,2021-05-15,23,8,µg/mc
"Riva del Garda",PM10,2021-05-15,24,7,µg/mc
"Riva del Garda",PM10,2021-05-16,1,7,µg/mc
"Riva del Garda",PM10,2021-05-16,2,7,µg/mc
"Riva del Garda",PM10,2021-05-16,3,8,µg/mc
"Riva del Garda",PM10,2021-05-16,4,8,µg/mc
"Riva del Garda",PM10,2021-05-16,5,7,µg/mc
"Riva del Garda",PM10,2021-05-16,6,8,µg/mc
"Riva del Garda",PM10,2021-05-16,7,7,µg/mc
"Riva del Garda",PM10,2021-05-16,8,6,µg/mc
"Riva del Garda",PM10,2021-05-16,9,5,µg/mc
"Riva del Garda",PM10,2021-05-16,10,4,µg/mc
"Riva del Garda",PM10,2021-05-16,11,5,µg/mc
"Riva del Garda",PM10,2021-05-16,12,7,µg/mc
"Riva del Garda",PM10,2021-05-16,13,9,µg/mc
"Riva del Garda",PM10,2021-05-16,14,11,µg/mc
"Riva del Garda",PM10,2021-05-16,15,14,µg/mc
"Riva del Garda",PM10,2021-05-16,16,19,µg/mc
"Riva del Garda",PM10,2021-05-16,17,19,µg/mc
"Riva del Garda",PM10,2021-05-16,18,17,µg/mc
"Riva del Garda",PM10,2021-05-16,19,12,µg/mc
"Riva del Garda",PM10,2021-05-16,20,10,µg/mc
"Riva del Garda",PM10,2021-05-16,21,11,µg/mc
"Riva del Garda",PM10,2021-05-16,22,12,µg/mc
"Riva del Garda",PM10,2021-05-16,23,10,µg/mc
"Riva del Garda",PM10,2021-05-16,24,8,µg/mc
"Riva del Garda",PM10,2021-05-17,1,7,µg/mc
"Riva del Garda",PM10,2021-05-17,2,6,µg/mc
"Riva del Garda",PM10,2021-05-17,3,5,µg/mc
"Riva del Garda",PM10,2021-05-17,4,6,µg/mc
"Riva del Garda",PM10,2021-05-17,5,6,µg/mc
"Riva del Garda",PM10,2021-05-17,6,7,µg/mc
"Riva del Garda",PM10,2021-05-17,7,6,µg/mc
"Riva del Garda",PM10,2021-05-17,8,5,µg/mc
"Riva del Garda",PM10,2021-05-17,9,4,µg/mc
"Riva del Garda",PM10,2021-05-17,10,3,µg/mc
"Riva del Garda",PM10,2021-05-17,11,2,µg/mc
"Riva del Garda",PM10,2021-05-17,12,2,µg/mc
"Riva del Garda",PM10,2021-05-17,13,4,µg/mc
"Riva del Garda",PM10,2021-05-17,14,4,µg/mc
"Riva del Garda",PM10,2021-05-17,15,4,µg/mc
"Riva del Garda",PM10,2021-05-17,16,5,µg/mc
"Riva del Garda",PM10,2021-05-17,17,5,µg/mc
"Riva del Garda",PM10,2021-05-17,18,5,µg/mc
"Riva del Garda",PM10,2021-05-17,19,6,µg/mc
"Riva del Garda",PM10,2021-05-17,20,6,µg/mc
"Riva del Garda",PM10,2021-05-17,21,7,µg/mc
"Riva del Garda",PM10,2021-05-17,22,7,µg/mc
"Riva del Garda",PM10,2021-05-17,23,9,µg/mc
"Riva del Garda",PM10,2021-05-17,24,8,µg/mc
"Riva del Garda",PM10,2021-05-18,1,8,µg/mc
"Riva del Garda",PM10,2021-05-18,2,7,µg/mc
"Riva del Garda",PM10,2021-05-18,3,7,µg/mc
"Riva del Garda",PM10,2021-05-18,4,5,µg/mc
"Riva del Garda",PM10,2021-05-18,5,5,µg/mc
"Riva del Garda",PM10,2021-05-18,6,5,µg/mc
"Riva del Garda",PM10,2021-05-18,7,5,µg/mc
"Riva del Garda",PM10,2021-05-18,8,4,µg/mc
"Riva del Garda",PM10,2021-05-18,9,3,µg/mc
"Riva del Garda",PM10,2021-05-18,10,3,µg/mc
"Riva del Garda",PM10,2021-05-18,11,3,µg/mc
"Riva del Garda",PM10,2021-05-18,12,4,µg/mc
"Riva del Garda",PM10,2021-05-18,13,8,µg/mc
"Riva del Garda",PM10,2021-05-18,14,15,µg/mc
"Riva del Garda",PM10,2021-05-18,15,9,µg/mc
"Riva del Garda",PM10,2021-05-18,16,9,µg/mc
"Riva del Garda",PM10,2021-05-18,17,7,µg/mc
"Riva del Garda",PM10,2021-05-18,18,9,µg/mc
"Riva del Garda",PM10,2021-05-18,19,13,µg/mc
"Riva del Garda",PM10,2021-05-18,20,13,µg/mc
"Riva del Garda",PM10,2021-05-18,21,11,µg/mc
"Riva del Garda",PM10,2021-05-18,22,10,µg/mc
"Riva del Garda",PM10,2021-05-18,23,11,µg/mc
"Riva del Garda",PM10,2021-05-18,24,12,µg/mc
"Riva del Garda",PM10,2021-05-19,1,9,µg/mc
"Riva del Garda",PM10,2021-05-19,2,8,µg/mc
"Riva del Garda",PM10,2021-05-19,3,6,µg/mc
"Riva del Garda",PM10,2021-05-19,4,6,µg/mc
"Riva del Garda",PM10,2021-05-19,5,5,µg/mc
"Riva del Garda",PM10,2021-05-19,6,6,µg/mc
"Riva del Garda",PM10,2021-05-19,7,6,µg/mc
"Riva del Garda",PM10,2021-05-19,8,4,µg/mc
"Riva del Garda",PM10,2021-05-19,9,3,µg/mc
"Riva del Garda",PM10,2021-05-19,10,2,µg/mc
"Riva del Garda",PM10,2021-05-19,11,3,µg/mc
"Riva del Garda",PM10,2021-05-19,12,6,µg/mc
"Riva del Garda",PM10,2021-05-19,13,9,µg/mc
"Riva del Garda",PM10,2021-05-19,14,9,µg/mc
"Riva del Garda",PM10,2021-05-19,15,13,µg/mc
"Riva del Garda",PM10,2021-05-19,16,13,µg/mc
"Riva del Garda",PM10,2021-05-19,17,11,µg/mc
"Riva del Garda",PM10,2021-05-19,18,10,µg/mc
"Riva del Garda",PM10,2021-05-19,19,10,µg/mc
"Riva del Garda",PM10,2021-05-19,20,9,µg/mc
"Riva del Garda",PM10,2021-05-19,21,7,µg/mc
"Riva del Garda",PM10,2021-05-19,22,7,µg/mc
"Riva del Garda",PM10,2021-05-19,23,7,µg/mc
"Riva del Garda",PM10,2021-05-19,24,6,µg/mc
"Riva del Garda",PM10,2021-05-20,1,5,µg/mc
"Riva del Garda",PM10,2021-05-20,2,8,µg/mc
"Riva del Garda",PM10,2021-05-20,3,7,µg/mc
"Riva del Garda",PM10,2021-05-20,4,6,µg/mc
"Riva del Garda",PM10,2021-05-20,5,7,µg/mc
"Riva del Garda",PM10,2021-05-20,6,6,µg/mc
