Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-08-13,1,42,µg/mc
"Riva del Garda",PM10,2021-08-13,2,23,µg/mc
"Riva del Garda",PM10,2021-08-13,3,23,µg/mc
"Riva del Garda",PM10,2021-08-13,4,22,µg/mc
"Riva del Garda",PM10,2021-08-13,5,22,µg/mc
"Riva del Garda",PM10,2021-08-13,6,22,µg/mc
"Riva del Garda",PM10,2021-08-13,7,22,µg/mc
"Riva del Garda",PM10,2021-08-13,8,22,µg/mc
"Riva del Garda",PM10,2021-08-13,9,24,µg/mc
"Riva del Garda",PM10,2021-08-13,10,26,µg/mc
"Riva del Garda",PM10,2021-08-13,11,27,µg/mc
"Riva del Garda",PM10,2021-08-13,12,28,µg/mc
"Riva del Garda",PM10,2021-08-13,13,30,µg/mc
"Riva del Garda",PM10,2021-08-13,14,31,µg/mc
"Riva del Garda",PM10,2021-08-13,15,27,µg/mc
"Riva del Garda",PM10,2021-08-13,16,25,µg/mc
"Riva del Garda",PM10,2021-08-13,17,24,µg/mc
"Riva del Garda",PM10,2021-08-13,18,21,µg/mc
"Riva del Garda",PM10,2021-08-13,19,21,µg/mc
"Riva del Garda",PM10,2021-08-13,20,18,µg/mc
"Riva del Garda",PM10,2021-08-13,21,20,µg/mc
"Riva del Garda",PM10,2021-08-13,22,24,µg/mc
"Riva del Garda",PM10,2021-08-13,23,22,µg/mc
"Riva del Garda",PM10,2021-08-13,24,22,µg/mc
"Riva del Garda",PM10,2021-08-14,1,25,µg/mc
"Riva del Garda",PM10,2021-08-14,2,18,µg/mc
"Riva del Garda",PM10,2021-08-14,3,17,µg/mc
"Riva del Garda",PM10,2021-08-14,4,16,µg/mc
"Riva del Garda",PM10,2021-08-14,5,14,µg/mc
"Riva del Garda",PM10,2021-08-14,6,15,µg/mc
"Riva del Garda",PM10,2021-08-14,7,16,µg/mc
"Riva del Garda",PM10,2021-08-14,8,17,µg/mc
"Riva del Garda",PM10,2021-08-14,9,17,µg/mc
"Riva del Garda",PM10,2021-08-14,10,17,µg/mc
"Riva del Garda",PM10,2021-08-14,11,20,µg/mc
"Riva del Garda",PM10,2021-08-14,12,23,µg/mc
"Riva del Garda",PM10,2021-08-14,13,26,µg/mc
"Riva del Garda",PM10,2021-08-14,14,27,µg/mc
"Riva del Garda",PM10,2021-08-14,15,28,µg/mc
"Riva del Garda",PM10,2021-08-14,16,29,µg/mc
"Riva del Garda",PM10,2021-08-14,17,27,µg/mc
"Riva del Garda",PM10,2021-08-14,18,24,µg/mc
"Riva del Garda",PM10,2021-08-14,19,31,µg/mc
"Riva del Garda",PM10,2021-08-14,20,32,µg/mc
"Riva del Garda",PM10,2021-08-14,21,28,µg/mc
"Riva del Garda",PM10,2021-08-14,22,29,µg/mc
"Riva del Garda",PM10,2021-08-14,23,27,µg/mc
"Riva del Garda",PM10,2021-08-14,24,27,µg/mc
"Riva del Garda",PM10,2021-08-15,1,42,µg/mc
"Riva del Garda",PM10,2021-08-15,2,26,µg/mc
"Riva del Garda",PM10,2021-08-15,3,26,µg/mc
"Riva del Garda",PM10,2021-08-15,4,26,µg/mc
"Riva del Garda",PM10,2021-08-15,5,26,µg/mc
"Riva del Garda",PM10,2021-08-15,6,26,µg/mc
"Riva del Garda",PM10,2021-08-15,7,26,µg/mc
"Riva del Garda",PM10,2021-08-15,8,27,µg/mc
"Riva del Garda",PM10,2021-08-15,9,27,µg/mc
"Riva del Garda",PM10,2021-08-15,10,28,µg/mc
"Riva del Garda",PM10,2021-08-15,11,30,µg/mc
"Riva del Garda",PM10,2021-08-15,12,33,µg/mc
"Riva del Garda",PM10,2021-08-15,13,35,µg/mc
"Riva del Garda",PM10,2021-08-15,14,34,µg/mc
"Riva del Garda",PM10,2021-08-15,15,32,µg/mc
"Riva del Garda",PM10,2021-08-15,16,32,µg/mc
"Riva del Garda",PM10,2021-08-15,17,30,µg/mc
"Riva del Garda",PM10,2021-08-15,18,27,µg/mc
"Riva del Garda",PM10,2021-08-15,19,25,µg/mc
"Riva del Garda",PM10,2021-08-15,20,25,µg/mc
"Riva del Garda",PM10,2021-08-15,21,30,µg/mc
"Riva del Garda",PM10,2021-08-15,22,32,µg/mc
"Riva del Garda",PM10,2021-08-15,23,29,µg/mc
"Riva del Garda",PM10,2021-08-15,24,28,µg/mc
"Riva del Garda",PM10,2021-08-16,1,29,µg/mc
"Riva del Garda",PM10,2021-08-16,2,28,µg/mc
"Riva del Garda",PM10,2021-08-16,3,27,µg/mc
"Riva del Garda",PM10,2021-08-16,4,26,µg/mc
"Riva del Garda",PM10,2021-08-16,5,26,µg/mc
"Riva del Garda",PM10,2021-08-16,6,24,µg/mc
"Riva del Garda",PM10,2021-08-16,7,25,µg/mc
"Riva del Garda",PM10,2021-08-16,8,23,µg/mc
"Riva del Garda",PM10,2021-08-16,9,20,µg/mc
"Riva del Garda",PM10,2021-08-16,10,19,µg/mc
"Riva del Garda",PM10,2021-08-16,11,19,µg/mc
"Riva del Garda",PM10,2021-08-16,12,22,µg/mc
"Riva del Garda",PM10,2021-08-16,13,24,µg/mc
"Riva del Garda",PM10,2021-08-16,14,25,µg/mc
"Riva del Garda",PM10,2021-08-16,15,27,µg/mc
"Riva del Garda",PM10,2021-08-16,16,31,µg/mc
"Riva del Garda",PM10,2021-08-16,17,36,µg/mc
"Riva del Garda",PM10,2021-08-16,18,38,µg/mc
"Riva del Garda",PM10,2021-08-16,19,29,µg/mc
"Riva del Garda",PM10,2021-08-16,20,11,µg/mc
"Riva del Garda",PM10,2021-08-16,21,7,µg/mc
"Riva del Garda",PM10,2021-08-16,22,4,µg/mc
"Riva del Garda",PM10,2021-08-16,23,3,µg/mc
"Riva del Garda",PM10,2021-08-16,24,2,µg/mc
"Riva del Garda",PM10,2021-08-17,1,2,µg/mc
"Riva del Garda",PM10,2021-08-17,2,1,µg/mc
"Riva del Garda",PM10,2021-08-17,3,1,µg/mc
"Riva del Garda",PM10,2021-08-17,4,2,µg/mc
"Riva del Garda",PM10,2021-08-17,5,2,µg/mc
"Riva del Garda",PM10,2021-08-17,6,2,µg/mc
"Riva del Garda",PM10,2021-08-17,7,3,µg/mc
"Riva del Garda",PM10,2021-08-17,8,3,µg/mc
"Riva del Garda",PM10,2021-08-17,9,3,µg/mc
"Riva del Garda",PM10,2021-08-17,10,3,µg/mc
"Riva del Garda",PM10,2021-08-17,11,3,µg/mc
"Riva del Garda",PM10,2021-08-17,12,2,µg/mc
"Riva del Garda",PM10,2021-08-17,13,2,µg/mc
"Riva del Garda",PM10,2021-08-17,14,3,µg/mc
"Riva del Garda",PM10,2021-08-17,15,2,µg/mc
"Riva del Garda",PM10,2021-08-17,16,4,µg/mc
"Riva del Garda",PM10,2021-08-17,17,5,µg/mc
"Riva del Garda",PM10,2021-08-17,18,3,µg/mc
"Riva del Garda",PM10,2021-08-17,19,4,µg/mc
"Riva del Garda",PM10,2021-08-17,20,8,µg/mc
"Riva del Garda",PM10,2021-08-17,21,6,µg/mc
"Riva del Garda",PM10,2021-08-17,22,8,µg/mc
"Riva del Garda",PM10,2021-08-17,23,9,µg/mc
"Riva del Garda",PM10,2021-08-17,24,7,µg/mc
"Riva del Garda",PM10,2021-08-18,1,8,µg/mc
"Riva del Garda",PM10,2021-08-18,2,8,µg/mc
"Riva del Garda",PM10,2021-08-18,3,8,µg/mc
"Riva del Garda",PM10,2021-08-18,4,8,µg/mc
"Riva del Garda",PM10,2021-08-18,5,8,µg/mc
"Riva del Garda",PM10,2021-08-18,6,10,µg/mc
"Riva del Garda",PM10,2021-08-18,7,9,µg/mc
"Riva del Garda",PM10,2021-08-18,8,8,µg/mc
"Riva del Garda",PM10,2021-08-18,9,7,µg/mc
"Riva del Garda",PM10,2021-08-18,10,7,µg/mc
"Riva del Garda",PM10,2021-08-18,11,11,µg/mc
"Riva del Garda",PM10,2021-08-18,12,11,µg/mc
"Riva del Garda",PM10,2021-08-18,13,10,µg/mc
"Riva del Garda",PM10,2021-08-18,14,11,µg/mc
"Riva del Garda",PM10,2021-08-18,15,11,µg/mc
