Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-11-10,1,12,µg/mc
"Riva del Garda",PM10,2021-11-10,2,8,µg/mc
"Riva del Garda",PM10,2021-11-10,3,7,µg/mc
"Riva del Garda",PM10,2021-11-10,4,7,µg/mc
"Riva del Garda",PM10,2021-11-10,5,6,µg/mc
"Riva del Garda",PM10,2021-11-10,6,6,µg/mc
"Riva del Garda",PM10,2021-11-10,7,7,µg/mc
"Riva del Garda",PM10,2021-11-10,8,10,µg/mc
"Riva del Garda",PM10,2021-11-10,9,14,µg/mc
"Riva del Garda",PM10,2021-11-10,10,8,µg/mc
"Riva del Garda",PM10,2021-11-10,11,8,µg/mc
"Riva del Garda",PM10,2021-11-10,12,7,µg/mc
"Riva del Garda",PM10,2021-11-10,13,7,µg/mc
"Riva del Garda",PM10,2021-11-10,14,10,µg/mc
"Riva del Garda",PM10,2021-11-10,15,14,µg/mc
"Riva del Garda",PM10,2021-11-10,16,16,µg/mc
"Riva del Garda",PM10,2021-11-10,17,16,µg/mc
"Riva del Garda",PM10,2021-11-10,18,26,µg/mc
"Riva del Garda",PM10,2021-11-10,19,46,µg/mc
"Riva del Garda",PM10,2021-11-10,20,46,µg/mc
"Riva del Garda",PM10,2021-11-10,21,46,µg/mc
"Riva del Garda",PM10,2021-11-10,22,37,µg/mc
"Riva del Garda",PM10,2021-11-10,23,26,µg/mc
"Riva del Garda",PM10,2021-11-10,24,24,µg/mc
"Riva del Garda",PM10,2021-11-11,1,17,µg/mc
"Riva del Garda",PM10,2021-11-11,2,17,µg/mc
"Riva del Garda",PM10,2021-11-11,3,15,µg/mc
"Riva del Garda",PM10,2021-11-11,4,14,µg/mc
"Riva del Garda",PM10,2021-11-11,5,15,µg/mc
"Riva del Garda",PM10,2021-11-11,6,15,µg/mc
"Riva del Garda",PM10,2021-11-11,7,17,µg/mc
"Riva del Garda",PM10,2021-11-11,8,20,µg/mc
"Riva del Garda",PM10,2021-11-11,9,23,µg/mc
"Riva del Garda",PM10,2021-11-11,10,18,µg/mc
"Riva del Garda",PM10,2021-11-11,11,17,µg/mc
"Riva del Garda",PM10,2021-11-11,12,20,µg/mc
"Riva del Garda",PM10,2021-11-11,13,20,µg/mc
"Riva del Garda",PM10,2021-11-11,14,17,µg/mc
"Riva del Garda",PM10,2021-11-11,15,17,µg/mc
"Riva del Garda",PM10,2021-11-11,16,23,µg/mc
"Riva del Garda",PM10,2021-11-11,17,27,µg/mc
"Riva del Garda",PM10,2021-11-11,18,36,µg/mc
"Riva del Garda",PM10,2021-11-11,19,47,µg/mc
"Riva del Garda",PM10,2021-11-11,20,51,µg/mc
"Riva del Garda",PM10,2021-11-11,21,41,µg/mc
"Riva del Garda",PM10,2021-11-11,22,34,µg/mc
"Riva del Garda",PM10,2021-11-11,23,35,µg/mc
"Riva del Garda",PM10,2021-11-11,24,23,µg/mc
"Riva del Garda",PM10,2021-11-12,1,20,µg/mc
"Riva del Garda",PM10,2021-11-12,2,17,µg/mc
"Riva del Garda",PM10,2021-11-12,3,16,µg/mc
"Riva del Garda",PM10,2021-11-12,4,15,µg/mc
"Riva del Garda",PM10,2021-11-12,5,14,µg/mc
"Riva del Garda",PM10,2021-11-12,6,17,µg/mc
"Riva del Garda",PM10,2021-11-12,7,19,µg/mc
"Riva del Garda",PM10,2021-11-12,8,19,µg/mc
"Riva del Garda",PM10,2021-11-12,9,21,µg/mc
"Riva del Garda",PM10,2021-11-12,10,16,µg/mc
"Riva del Garda",PM10,2021-11-12,11,15,µg/mc
"Riva del Garda",PM10,2021-11-12,12,14,µg/mc
"Riva del Garda",PM10,2021-11-12,13,14,µg/mc
"Riva del Garda",PM10,2021-11-12,14,14,µg/mc
"Riva del Garda",PM10,2021-11-12,15,13,µg/mc
"Riva del Garda",PM10,2021-11-12,16,25,µg/mc
"Riva del Garda",PM10,2021-11-12,17,28,µg/mc
"Riva del Garda",PM10,2021-11-12,18,40,µg/mc
"Riva del Garda",PM10,2021-11-12,19,35,µg/mc
"Riva del Garda",PM10,2021-11-12,20,36,µg/mc
"Riva del Garda",PM10,2021-11-12,21,50,µg/mc
"Riva del Garda",PM10,2021-11-12,22,51,µg/mc
"Riva del Garda",PM10,2021-11-12,23,42,µg/mc
"Riva del Garda",PM10,2021-11-12,24,36,µg/mc
"Riva del Garda",PM10,2021-11-13,1,34,µg/mc
"Riva del Garda",PM10,2021-11-13,2,32,µg/mc
"Riva del Garda",PM10,2021-11-13,3,31,µg/mc
"Riva del Garda",PM10,2021-11-13,4,28,µg/mc
"Riva del Garda",PM10,2021-11-13,5,25,µg/mc
"Riva del Garda",PM10,2021-11-13,6,22,µg/mc
"Riva del Garda",PM10,2021-11-13,7,22,µg/mc
"Riva del Garda",PM10,2021-11-13,8,21,µg/mc
"Riva del Garda",PM10,2021-11-13,9,20,µg/mc
"Riva del Garda",PM10,2021-11-13,10,25,µg/mc
"Riva del Garda",PM10,2021-11-13,11,23,µg/mc
"Riva del Garda",PM10,2021-11-13,12,21,µg/mc
"Riva del Garda",PM10,2021-11-13,13,20,µg/mc
"Riva del Garda",PM10,2021-11-13,14,21,µg/mc
"Riva del Garda",PM10,2021-11-13,15,24,µg/mc
"Riva del Garda",PM10,2021-11-13,16,25,µg/mc
"Riva del Garda",PM10,2021-11-13,17,27,µg/mc
"Riva del Garda",PM10,2021-11-13,18,29,µg/mc
"Riva del Garda",PM10,2021-11-13,19,33,µg/mc
"Riva del Garda",PM10,2021-11-13,20,37,µg/mc
"Riva del Garda",PM10,2021-11-13,21,40,µg/mc
"Riva del Garda",PM10,2021-11-13,22,40,µg/mc
"Riva del Garda",PM10,2021-11-13,23,41,µg/mc
"Riva del Garda",PM10,2021-11-13,24,38,µg/mc
"Riva del Garda",PM10,2021-11-14,1,35,µg/mc
"Riva del Garda",PM10,2021-11-14,2,29,µg/mc
"Riva del Garda",PM10,2021-11-14,3,28,µg/mc
"Riva del Garda",PM10,2021-11-14,4,24,µg/mc
"Riva del Garda",PM10,2021-11-14,5,17,µg/mc
"Riva del Garda",PM10,2021-11-14,6,15,µg/mc
"Riva del Garda",PM10,2021-11-14,7,9,µg/mc
"Riva del Garda",PM10,2021-11-14,8,12,µg/mc
"Riva del Garda",PM10,2021-11-14,9,5,µg/mc
"Riva del Garda",PM10,2021-11-14,10,7,µg/mc
"Riva del Garda",PM10,2021-11-14,11,8,µg/mc
"Riva del Garda",PM10,2021-11-14,12,7,µg/mc
"Riva del Garda",PM10,2021-11-14,13,8,µg/mc
"Riva del Garda",PM10,2021-11-14,14,7,µg/mc
"Riva del Garda",PM10,2021-11-14,15,9,µg/mc
"Riva del Garda",PM10,2021-11-14,16,8,µg/mc
"Riva del Garda",PM10,2021-11-14,17,9,µg/mc
"Riva del Garda",PM10,2021-11-14,18,9,µg/mc
"Riva del Garda",PM10,2021-11-14,19,10,µg/mc
"Riva del Garda",PM10,2021-11-14,20,11,µg/mc
"Riva del Garda",PM10,2021-11-14,21,6,µg/mc
"Riva del Garda",PM10,2021-11-14,22,7,µg/mc
"Riva del Garda",PM10,2021-11-14,23,5,µg/mc
"Riva del Garda",PM10,2021-11-14,24,4,µg/mc
"Riva del Garda",PM10,2021-11-15,1,4,µg/mc
"Riva del Garda",PM10,2021-11-15,2,4,µg/mc
"Riva del Garda",PM10,2021-11-15,3,4,µg/mc
"Riva del Garda",PM10,2021-11-15,4,4,µg/mc
"Riva del Garda",PM10,2021-11-15,5,4,µg/mc
"Riva del Garda",PM10,2021-11-15,6,5,µg/mc
"Riva del Garda",PM10,2021-11-15,7,5,µg/mc
"Riva del Garda",PM10,2021-11-15,8,6,µg/mc
"Riva del Garda",PM10,2021-11-15,9,6,µg/mc
"Riva del Garda",PM10,2021-11-15,10,6,µg/mc
"Riva del Garda",PM10,2021-11-15,11,7,µg/mc
"Riva del Garda",PM10,2021-11-15,12,7,µg/mc
"Riva del Garda",PM10,2021-11-15,13,6,µg/mc
"Riva del Garda",PM10,2021-11-15,14,7,µg/mc
"Riva del Garda",PM10,2021-11-15,15,14,µg/mc
"Riva del Garda",PM10,2021-11-15,16,19,µg/mc
"Riva del Garda",PM10,2021-11-15,17,25,µg/mc
"Riva del Garda",PM10,2021-11-15,18,28,µg/mc
"Riva del Garda",PM10,2021-11-15,19,24,µg/mc
"Riva del Garda",PM10,2021-11-15,20,21,µg/mc
"Riva del Garda",PM10,2021-11-15,21,31,µg/mc
"Riva del Garda",PM10,2021-11-15,22,29,µg/mc
"Riva del Garda",PM10,2021-11-15,23,25,µg/mc
"Riva del Garda",PM10,2021-11-15,24,22,µg/mc
"Riva del Garda",PM10,2021-11-16,1,17,µg/mc
"Riva del Garda",PM10,2021-11-16,2,18,µg/mc
"Riva del Garda",PM10,2021-11-16,3,18,µg/mc
"Riva del Garda",PM10,2021-11-16,4,18,µg/mc
"Riva del Garda",PM10,2021-11-16,5,16,µg/mc
"Riva del Garda",PM10,2021-11-16,6,15,µg/mc
"Riva del Garda",PM10,2021-11-16,7,14,µg/mc
"Riva del Garda",PM10,2021-11-16,8,16,µg/mc
"Riva del Garda",PM10,2021-11-16,9,18,µg/mc
"Riva del Garda",PM10,2021-11-16,10,16,µg/mc
"Riva del Garda",PM10,2021-11-16,11,15,µg/mc
"Riva del Garda",PM10,2021-11-16,12,18,µg/mc
"Riva del Garda",PM10,2021-11-16,13,17,µg/mc
"Riva del Garda",PM10,2021-11-16,14,17,µg/mc
"Riva del Garda",PM10,2021-11-16,15,23,µg/mc
"Riva del Garda",PM10,2021-11-16,16,31,µg/mc
"Riva del Garda",PM10,2021-11-16,17,39,µg/mc
"Riva del Garda",PM10,2021-11-16,18,33,µg/mc
"Riva del Garda",PM10,2021-11-16,19,27,µg/mc
"Riva del Garda",PM10,2021-11-16,20,25,µg/mc
"Riva del Garda",PM10,2021-11-16,21,22,µg/mc
"Riva del Garda",PM10,2021-11-16,22,23,µg/mc
"Riva del Garda",PM10,2021-11-16,23,26,µg/mc
"Riva del Garda",PM10,2021-11-16,24,20,µg/mc
"Riva del Garda",PM10,2021-11-17,1,18,µg/mc
"Riva del Garda",PM10,2021-11-17,2,14,µg/mc
"Riva del Garda",PM10,2021-11-17,3,15,µg/mc
"Riva del Garda",PM10,2021-11-17,4,15,µg/mc
"Riva del Garda",PM10,2021-11-17,5,13,µg/mc
"Riva del Garda",PM10,2021-11-17,6,13,µg/mc
"Riva del Garda",PM10,2021-11-17,7,14,µg/mc
"Riva del Garda",PM10,2021-11-17,8,16,µg/mc
"Riva del Garda",PM10,2021-11-17,9,18,µg/mc
"Riva del Garda",PM10,2021-11-17,10,17,µg/mc
"Riva del Garda",PM10,2021-11-17,11,19,µg/mc
"Riva del Garda",PM10,2021-11-17,12,19,µg/mc
"Riva del Garda",PM10,2021-11-17,13,18,µg/mc
"Riva del Garda",PM10,2021-11-17,14,20,µg/mc
"Riva del Garda",PM10,2021-11-17,15,26,µg/mc
"Riva del Garda",PM10,2021-11-17,16,40,µg/mc
"Riva del Garda",PM10,2021-11-17,17,42,µg/mc
"Riva del Garda",PM10,2021-11-17,18,40,µg/mc
"Riva del Garda",PM10,2021-11-17,19,52,µg/mc
"Riva del Garda",PM10,2021-11-17,20,49,µg/mc
"Riva del Garda",PM10,2021-11-17,21,40,µg/mc
"Riva del Garda",PM10,2021-11-17,22,50,µg/mc
"Riva del Garda",PM10,2021-11-17,23,35,µg/mc
"Riva del Garda",PM10,2021-11-17,24,24,µg/mc
"Riva del Garda",PM10,2021-11-18,1,18,µg/mc
"Riva del Garda",PM10,2021-11-18,2,15,µg/mc
"Riva del Garda",PM10,2021-11-18,3,12,µg/mc
"Riva del Garda",PM10,2021-11-18,4,12,µg/mc
"Riva del Garda",PM10,2021-11-18,5,11,µg/mc
"Riva del Garda",PM10,2021-11-18,6,9,µg/mc
"Riva del Garda",PM10,2021-11-18,7,10,µg/mc
"Riva del Garda",PM10,2021-11-18,8,13,µg/mc
"Riva del Garda",PM10,2021-11-18,9,18,µg/mc
"Riva del Garda",PM10,2021-11-18,10,11,µg/mc
"Riva del Garda",PM10,2021-11-18,11,9,µg/mc
"Riva del Garda",PM10,2021-11-18,12,8,µg/mc
"Riva del Garda",PM10,2021-11-18,13,7,µg/mc
"Riva del Garda",PM10,2021-11-18,14,7,µg/mc
"Riva del Garda",PM10,2021-11-18,15,12,µg/mc
"Riva del Garda",PM10,2021-11-18,16,22,µg/mc
"Riva del Garda",PM10,2021-11-18,17,33,µg/mc
"Riva del Garda",PM10,2021-11-18,18,32,µg/mc
"Riva del Garda",PM10,2021-11-18,19,32,µg/mc
"Riva del Garda",PM10,2021-11-18,20,38,µg/mc
"Riva del Garda",PM10,2021-11-18,21,45,µg/mc
"Riva del Garda",PM10,2021-11-18,22,41,µg/mc
"Riva del Garda",PM10,2021-11-18,23,45,µg/mc
"Riva del Garda",PM10,2021-11-18,24,35,µg/mc
"Riva del Garda",PM10,2021-11-19,1,31,µg/mc
"Riva del Garda",PM10,2021-11-19,2,27,µg/mc
"Riva del Garda",PM10,2021-11-19,3,24,µg/mc
