Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-02-08,1,2,µg/mc
"Riva del Garda",PM10,2022-02-08,2,2,µg/mc
"Riva del Garda",PM10,2022-02-08,3,3,µg/mc
"Riva del Garda",PM10,2022-02-08,4,3,µg/mc
"Riva del Garda",PM10,2022-02-08,5,3,µg/mc
"Riva del Garda",PM10,2022-02-08,6,3,µg/mc
"Riva del Garda",PM10,2022-02-08,7,7,µg/mc
"Riva del Garda",PM10,2022-02-08,8,6,µg/mc
"Riva del Garda",PM10,2022-02-08,9,9,µg/mc
"Riva del Garda",PM10,2022-02-08,10,7,µg/mc
"Riva del Garda",PM10,2022-02-08,11,6,µg/mc
"Riva del Garda",PM10,2022-02-08,12,5,µg/mc
"Riva del Garda",PM10,2022-02-08,13,5,µg/mc
"Riva del Garda",PM10,2022-02-08,14,7,µg/mc
"Riva del Garda",PM10,2022-02-08,15,9,µg/mc
"Riva del Garda",PM10,2022-02-08,16,17,µg/mc
"Riva del Garda",PM10,2022-02-08,17,27,µg/mc
"Riva del Garda",PM10,2022-02-08,18,23,µg/mc
"Riva del Garda",PM10,2022-02-08,19,25,µg/mc
"Riva del Garda",PM10,2022-02-08,20,34,µg/mc
"Riva del Garda",PM10,2022-02-08,21,45,µg/mc
"Riva del Garda",PM10,2022-02-08,22,42,µg/mc
"Riva del Garda",PM10,2022-02-08,23,32,µg/mc
"Riva del Garda",PM10,2022-02-08,24,25,µg/mc
"Riva del Garda",PM10,2022-02-09,1,18,µg/mc
"Riva del Garda",PM10,2022-02-09,2,15,µg/mc
"Riva del Garda",PM10,2022-02-09,3,13,µg/mc
"Riva del Garda",PM10,2022-02-09,4,11,µg/mc
"Riva del Garda",PM10,2022-02-09,5,11,µg/mc
"Riva del Garda",PM10,2022-02-09,6,11,µg/mc
"Riva del Garda",PM10,2022-02-09,7,12,µg/mc
"Riva del Garda",PM10,2022-02-09,8,14,µg/mc
"Riva del Garda",PM10,2022-02-09,9,25,µg/mc
"Riva del Garda",PM10,2022-02-09,10,21,µg/mc
