Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-05-05,1,20,µg/mc
"Riva del Garda",PM10,2022-05-05,2,20,µg/mc
"Riva del Garda",PM10,2022-05-05,3,17,µg/mc
"Riva del Garda",PM10,2022-05-05,4,16,µg/mc
"Riva del Garda",PM10,2022-05-05,5,16,µg/mc
"Riva del Garda",PM10,2022-05-05,6,17,µg/mc
"Riva del Garda",PM10,2022-05-05,7,19,µg/mc
"Riva del Garda",PM10,2022-05-05,8,18,µg/mc
"Riva del Garda",PM10,2022-05-05,9,17,µg/mc
"Riva del Garda",PM10,2022-05-05,10,17,µg/mc
"Riva del Garda",PM10,2022-05-05,11,17,µg/mc
"Riva del Garda",PM10,2022-05-05,12,18,µg/mc
"Riva del Garda",PM10,2022-05-05,13,21,µg/mc
"Riva del Garda",PM10,2022-05-05,14,21,µg/mc
"Riva del Garda",PM10,2022-05-05,15,19,µg/mc
"Riva del Garda",PM10,2022-05-05,16,20,µg/mc
"Riva del Garda",PM10,2022-05-05,17,27,µg/mc
"Riva del Garda",PM10,2022-05-05,18,25,µg/mc
"Riva del Garda",PM10,2022-05-05,19,25,µg/mc
"Riva del Garda",PM10,2022-05-05,20,23,µg/mc
"Riva del Garda",PM10,2022-05-05,21,25,µg/mc
"Riva del Garda",PM10,2022-05-05,22,21,µg/mc
"Riva del Garda",PM10,2022-05-05,23,23,µg/mc
"Riva del Garda",PM10,2022-05-05,24,24,µg/mc
"Riva del Garda",PM10,2022-05-06,1,20,µg/mc
"Riva del Garda",PM10,2022-05-06,2,20,µg/mc
"Riva del Garda",PM10,2022-05-06,3,18,µg/mc
"Riva del Garda",PM10,2022-05-06,4,16,µg/mc
"Riva del Garda",PM10,2022-05-06,5,14,µg/mc
"Riva del Garda",PM10,2022-05-06,6,13,µg/mc
"Riva del Garda",PM10,2022-05-06,7,13,µg/mc
"Riva del Garda",PM10,2022-05-06,8,13,µg/mc
"Riva del Garda",PM10,2022-05-06,9,13,µg/mc
"Riva del Garda",PM10,2022-05-06,10,12,µg/mc
"Riva del Garda",PM10,2022-05-06,11,11,µg/mc
"Riva del Garda",PM10,2022-05-06,12,10,µg/mc
"Riva del Garda",PM10,2022-05-06,13,9,µg/mc
"Riva del Garda",PM10,2022-05-06,14,11,µg/mc
"Riva del Garda",PM10,2022-05-06,15,13,µg/mc
"Riva del Garda",PM10,2022-05-06,16,14,µg/mc
"Riva del Garda",PM10,2022-05-06,17,14,µg/mc
"Riva del Garda",PM10,2022-05-06,18,13,µg/mc
"Riva del Garda",PM10,2022-05-06,19,14,µg/mc
"Riva del Garda",PM10,2022-05-06,20,16,µg/mc
"Riva del Garda",PM10,2022-05-06,21,16,µg/mc
"Riva del Garda",PM10,2022-05-06,22,16,µg/mc
"Riva del Garda",PM10,2022-05-06,23,19,µg/mc
"Riva del Garda",PM10,2022-05-06,24,21,µg/mc
"Riva del Garda",PM10,2022-05-07,1,23,µg/mc
"Riva del Garda",PM10,2022-05-07,2,26,µg/mc
"Riva del Garda",PM10,2022-05-07,3,27,µg/mc
"Riva del Garda",PM10,2022-05-07,4,27,µg/mc
"Riva del Garda",PM10,2022-05-07,5,26,µg/mc
"Riva del Garda",PM10,2022-05-07,6,24,µg/mc
"Riva del Garda",PM10,2022-05-07,7,24,µg/mc
"Riva del Garda",PM10,2022-05-07,8,23,µg/mc
"Riva del Garda",PM10,2022-05-07,9,23,µg/mc
"Riva del Garda",PM10,2022-05-07,10,20,µg/mc
"Riva del Garda",PM10,2022-05-07,11,15,µg/mc
"Riva del Garda",PM10,2022-05-07,12,14,µg/mc
"Riva del Garda",PM10,2022-05-07,13,18,µg/mc
"Riva del Garda",PM10,2022-05-07,14,19,µg/mc
"Riva del Garda",PM10,2022-05-07,15,16,µg/mc
"Riva del Garda",PM10,2022-05-07,16,13,µg/mc
"Riva del Garda",PM10,2022-05-07,17,11,µg/mc
"Riva del Garda",PM10,2022-05-07,18,12,µg/mc
"Riva del Garda",PM10,2022-05-07,19,13,µg/mc
"Riva del Garda",PM10,2022-05-07,20,16,µg/mc
"Riva del Garda",PM10,2022-05-07,21,13,µg/mc
"Riva del Garda",PM10,2022-05-07,22,9,µg/mc
"Riva del Garda",PM10,2022-05-07,23,8,µg/mc
"Riva del Garda",PM10,2022-05-07,24,9,µg/mc
"Riva del Garda",PM10,2022-05-08,1,10,µg/mc
"Riva del Garda",PM10,2022-05-08,2,7,µg/mc
"Riva del Garda",PM10,2022-05-08,3,7,µg/mc
"Riva del Garda",PM10,2022-05-08,4,6,µg/mc
"Riva del Garda",PM10,2022-05-08,5,6,µg/mc
"Riva del Garda",PM10,2022-05-08,6,6,µg/mc
"Riva del Garda",PM10,2022-05-08,7,6,µg/mc
"Riva del Garda",PM10,2022-05-08,8,6,µg/mc
"Riva del Garda",PM10,2022-05-08,9,7,µg/mc
"Riva del Garda",PM10,2022-05-08,10,8,µg/mc
"Riva del Garda",PM10,2022-05-08,11,7,µg/mc
"Riva del Garda",PM10,2022-05-08,12,7,µg/mc
"Riva del Garda",PM10,2022-05-08,13,6,µg/mc
"Riva del Garda",PM10,2022-05-08,14,5,µg/mc
"Riva del Garda",PM10,2022-05-08,15,6,µg/mc
"Riva del Garda",PM10,2022-05-08,16,5,µg/mc
"Riva del Garda",PM10,2022-05-08,17,5,µg/mc
"Riva del Garda",PM10,2022-05-08,18,6,µg/mc
"Riva del Garda",PM10,2022-05-08,19,8,µg/mc
"Riva del Garda",PM10,2022-05-08,20,10,µg/mc
"Riva del Garda",PM10,2022-05-08,21,12,µg/mc
"Riva del Garda",PM10,2022-05-08,22,12,µg/mc
"Riva del Garda",PM10,2022-05-08,23,12,µg/mc
"Riva del Garda",PM10,2022-05-08,24,12,µg/mc
"Riva del Garda",PM10,2022-05-09,1,12,µg/mc
"Riva del Garda",PM10,2022-05-09,2,13,µg/mc
"Riva del Garda",PM10,2022-05-09,3,13,µg/mc
"Riva del Garda",PM10,2022-05-09,4,13,µg/mc
"Riva del Garda",PM10,2022-05-09,5,12,µg/mc
"Riva del Garda",PM10,2022-05-09,6,13,µg/mc
"Riva del Garda",PM10,2022-05-09,7,13,µg/mc
"Riva del Garda",PM10,2022-05-09,8,13,µg/mc
"Riva del Garda",PM10,2022-05-09,9,12,µg/mc
"Riva del Garda",PM10,2022-05-09,10,11,µg/mc
"Riva del Garda",PM10,2022-05-09,11,10,µg/mc
"Riva del Garda",PM10,2022-05-09,12,12,µg/mc
"Riva del Garda",PM10,2022-05-09,13,15,µg/mc
"Riva del Garda",PM10,2022-05-09,14,15,µg/mc
"Riva del Garda",PM10,2022-05-09,15,14,µg/mc
"Riva del Garda",PM10,2022-05-09,16,14,µg/mc
"Riva del Garda",PM10,2022-05-09,17,15,µg/mc
"Riva del Garda",PM10,2022-05-09,18,16,µg/mc
"Riva del Garda",PM10,2022-05-09,19,18,µg/mc
"Riva del Garda",PM10,2022-05-09,20,22,µg/mc
"Riva del Garda",PM10,2022-05-09,21,20,µg/mc
"Riva del Garda",PM10,2022-05-09,22,22,µg/mc
"Riva del Garda",PM10,2022-05-09,23,24,µg/mc
"Riva del Garda",PM10,2022-05-09,24,22,µg/mc
"Riva del Garda",PM10,2022-05-10,1,22,µg/mc
"Riva del Garda",PM10,2022-05-10,2,21,µg/mc
"Riva del Garda",PM10,2022-05-10,3,20,µg/mc
"Riva del Garda",PM10,2022-05-10,4,19,µg/mc
"Riva del Garda",PM10,2022-05-10,5,19,µg/mc
"Riva del Garda",PM10,2022-05-10,6,19,µg/mc
"Riva del Garda",PM10,2022-05-10,7,20,µg/mc
"Riva del Garda",PM10,2022-05-10,8,20,µg/mc
"Riva del Garda",PM10,2022-05-10,9,18,µg/mc
"Riva del Garda",PM10,2022-05-10,10,17,µg/mc
"Riva del Garda",PM10,2022-05-10,11,18,µg/mc
"Riva del Garda",PM10,2022-05-10,12,20,µg/mc
"Riva del Garda",PM10,2022-05-10,13,21,µg/mc
"Riva del Garda",PM10,2022-05-10,14,24,µg/mc
"Riva del Garda",PM10,2022-05-10,15,31,µg/mc
"Riva del Garda",PM10,2022-05-10,16,27,µg/mc
"Riva del Garda",PM10,2022-05-10,17,26,µg/mc
"Riva del Garda",PM10,2022-05-10,18,26,µg/mc
"Riva del Garda",PM10,2022-05-10,19,24,µg/mc
"Riva del Garda",PM10,2022-05-10,20,23,µg/mc
"Riva del Garda",PM10,2022-05-10,21,25,µg/mc
"Riva del Garda",PM10,2022-05-10,22,25,µg/mc
"Riva del Garda",PM10,2022-05-10,23,24,µg/mc
"Riva del Garda",PM10,2022-05-10,24,27,µg/mc
"Riva del Garda",PM10,2022-05-11,1,28,µg/mc
"Riva del Garda",PM10,2022-05-11,2,28,µg/mc
"Riva del Garda",PM10,2022-05-11,3,26,µg/mc
"Riva del Garda",PM10,2022-05-11,4,25,µg/mc
"Riva del Garda",PM10,2022-05-11,5,24,µg/mc
"Riva del Garda",PM10,2022-05-11,6,23,µg/mc
"Riva del Garda",PM10,2022-05-11,7,23,µg/mc
"Riva del Garda",PM10,2022-05-11,8,23,µg/mc
"Riva del Garda",PM10,2022-05-11,9,22,µg/mc
"Riva del Garda",PM10,2022-05-11,10,21,µg/mc
"Riva del Garda",PM10,2022-05-11,11,23,µg/mc
"Riva del Garda",PM10,2022-05-11,12,27,µg/mc
"Riva del Garda",PM10,2022-05-11,13,31,µg/mc
"Riva del Garda",PM10,2022-05-11,14,33,µg/mc
"Riva del Garda",PM10,2022-05-11,15,34,µg/mc
"Riva del Garda",PM10,2022-05-11,16,29,µg/mc
"Riva del Garda",PM10,2022-05-11,17,24,µg/mc
"Riva del Garda",PM10,2022-05-11,18,23,µg/mc
