Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-08-03,1,12,µg/mc
"Riva del Garda",PM10,2022-08-03,2,12,µg/mc
"Riva del Garda",PM10,2022-08-03,3,12,µg/mc
"Riva del Garda",PM10,2022-08-03,4,11,µg/mc
"Riva del Garda",PM10,2022-08-03,5,11,µg/mc
"Riva del Garda",PM10,2022-08-03,6,12,µg/mc
"Riva del Garda",PM10,2022-08-03,7,11,µg/mc
"Riva del Garda",PM10,2022-08-03,8,11,µg/mc
"Riva del Garda",PM10,2022-08-03,9,11,µg/mc
"Riva del Garda",PM10,2022-08-03,10,10,µg/mc
"Riva del Garda",PM10,2022-08-03,11,11,µg/mc
"Riva del Garda",PM10,2022-08-03,12,12,µg/mc
"Riva del Garda",PM10,2022-08-03,13,12,µg/mc
"Riva del Garda",PM10,2022-08-03,14,12,µg/mc
"Riva del Garda",PM10,2022-08-03,15,10,µg/mc
"Riva del Garda",PM10,2022-08-03,16,9,µg/mc
"Riva del Garda",PM10,2022-08-03,17,10,µg/mc
"Riva del Garda",PM10,2022-08-03,18,10,µg/mc
"Riva del Garda",PM10,2022-08-03,19,12,µg/mc
"Riva del Garda",PM10,2022-08-03,20,24,µg/mc
"Riva del Garda",PM10,2022-08-03,21,19,µg/mc
"Riva del Garda",PM10,2022-08-03,22,41,µg/mc
"Riva del Garda",PM10,2022-08-03,23,15,µg/mc
"Riva del Garda",PM10,2022-08-03,24,23,µg/mc
"Riva del Garda",PM10,2022-08-04,1,14,µg/mc
"Riva del Garda",PM10,2022-08-04,2,13,µg/mc
"Riva del Garda",PM10,2022-08-04,3,13,µg/mc
"Riva del Garda",PM10,2022-08-04,4,14,µg/mc
"Riva del Garda",PM10,2022-08-04,5,15,µg/mc
"Riva del Garda",PM10,2022-08-04,6,15,µg/mc
"Riva del Garda",PM10,2022-08-04,7,15,µg/mc
"Riva del Garda",PM10,2022-08-04,8,15,µg/mc
"Riva del Garda",PM10,2022-08-04,9,16,µg/mc
"Riva del Garda",PM10,2022-08-04,10,16,µg/mc
"Riva del Garda",PM10,2022-08-04,11,17,µg/mc
"Riva del Garda",PM10,2022-08-04,12,17,µg/mc
"Riva del Garda",PM10,2022-08-04,13,17,µg/mc
"Riva del Garda",PM10,2022-08-04,14,16,µg/mc
"Riva del Garda",PM10,2022-08-04,15,16,µg/mc
"Riva del Garda",PM10,2022-08-04,16,16,µg/mc
"Riva del Garda",PM10,2022-08-04,17,14,µg/mc
"Riva del Garda",PM10,2022-08-04,18,14,µg/mc
"Riva del Garda",PM10,2022-08-04,19,14,µg/mc
"Riva del Garda",PM10,2022-08-04,20,16,µg/mc
"Riva del Garda",PM10,2022-08-04,21,19,µg/mc
"Riva del Garda",PM10,2022-08-04,22,21,µg/mc
"Riva del Garda",PM10,2022-08-04,23,20,µg/mc
"Riva del Garda",PM10,2022-08-04,24,21,µg/mc
"Riva del Garda",PM10,2022-08-05,1,20,µg/mc
"Riva del Garda",PM10,2022-08-05,2,20,µg/mc
"Riva del Garda",PM10,2022-08-05,3,20,µg/mc
"Riva del Garda",PM10,2022-08-05,4,20,µg/mc
"Riva del Garda",PM10,2022-08-05,5,20,µg/mc
"Riva del Garda",PM10,2022-08-05,6,21,µg/mc
"Riva del Garda",PM10,2022-08-05,7,21,µg/mc
"Riva del Garda",PM10,2022-08-05,8,20,µg/mc
"Riva del Garda",PM10,2022-08-05,9,20,µg/mc
"Riva del Garda",PM10,2022-08-05,10,20,µg/mc
"Riva del Garda",PM10,2022-08-05,11,21,µg/mc
"Riva del Garda",PM10,2022-08-05,12,22,µg/mc
"Riva del Garda",PM10,2022-08-05,13,19,µg/mc
"Riva del Garda",PM10,2022-08-05,14,17,µg/mc
"Riva del Garda",PM10,2022-08-05,15,18,µg/mc
"Riva del Garda",PM10,2022-08-05,16,19,µg/mc
"Riva del Garda",PM10,2022-08-05,17,20,µg/mc
"Riva del Garda",PM10,2022-08-05,18,19,µg/mc
"Riva del Garda",PM10,2022-08-05,19,18,µg/mc
"Riva del Garda",PM10,2022-08-05,20,17,µg/mc
"Riva del Garda",PM10,2022-08-05,21,17,µg/mc
"Riva del Garda",PM10,2022-08-05,22,15,µg/mc
"Riva del Garda",PM10,2022-08-05,23,14,µg/mc
"Riva del Garda",PM10,2022-08-05,24,14,µg/mc
"Riva del Garda",PM10,2022-08-06,1,12,µg/mc
"Riva del Garda",PM10,2022-08-06,2,10,µg/mc
"Riva del Garda",PM10,2022-08-06,3,10,µg/mc
"Riva del Garda",PM10,2022-08-06,4,9,µg/mc
"Riva del Garda",PM10,2022-08-06,5,10,µg/mc
"Riva del Garda",PM10,2022-08-06,6,10,µg/mc
"Riva del Garda",PM10,2022-08-06,7,9,µg/mc
"Riva del Garda",PM10,2022-08-06,8,8,µg/mc
"Riva del Garda",PM10,2022-08-06,9,8,µg/mc
"Riva del Garda",PM10,2022-08-06,10,9,µg/mc
"Riva del Garda",PM10,2022-08-06,11,10,µg/mc
"Riva del Garda",PM10,2022-08-06,12,10,µg/mc
"Riva del Garda",PM10,2022-08-06,13,10,µg/mc
"Riva del Garda",PM10,2022-08-06,14,11,µg/mc
"Riva del Garda",PM10,2022-08-06,15,10,µg/mc
"Riva del Garda",PM10,2022-08-06,16,10,µg/mc
"Riva del Garda",PM10,2022-08-06,17,11,µg/mc
"Riva del Garda",PM10,2022-08-06,18,9,µg/mc
"Riva del Garda",PM10,2022-08-06,19,5,µg/mc
"Riva del Garda",PM10,2022-08-06,20,4,µg/mc
"Riva del Garda",PM10,2022-08-06,21,4,µg/mc
"Riva del Garda",PM10,2022-08-06,22,4,µg/mc
"Riva del Garda",PM10,2022-08-06,23,6,µg/mc
"Riva del Garda",PM10,2022-08-06,24,7,µg/mc
"Riva del Garda",PM10,2022-08-07,1,9,µg/mc
"Riva del Garda",PM10,2022-08-07,2,10,µg/mc
"Riva del Garda",PM10,2022-08-07,3,10,µg/mc
"Riva del Garda",PM10,2022-08-07,4,11,µg/mc
"Riva del Garda",PM10,2022-08-07,5,11,µg/mc
"Riva del Garda",PM10,2022-08-07,6,11,µg/mc
"Riva del Garda",PM10,2022-08-07,7,10,µg/mc
"Riva del Garda",PM10,2022-08-07,8,11,µg/mc
"Riva del Garda",PM10,2022-08-07,9,11,µg/mc
"Riva del Garda",PM10,2022-08-07,10,11,µg/mc
"Riva del Garda",PM10,2022-08-07,11,11,µg/mc
"Riva del Garda",PM10,2022-08-07,12,11,µg/mc
"Riva del Garda",PM10,2022-08-07,13,11,µg/mc
"Riva del Garda",PM10,2022-08-07,14,11,µg/mc
"Riva del Garda",PM10,2022-08-07,15,10,µg/mc
"Riva del Garda",PM10,2022-08-07,16,11,µg/mc
"Riva del Garda",PM10,2022-08-07,17,11,µg/mc
"Riva del Garda",PM10,2022-08-07,18,10,µg/mc
"Riva del Garda",PM10,2022-08-07,19,10,µg/mc
"Riva del Garda",PM10,2022-08-07,20,9,µg/mc
"Riva del Garda",PM10,2022-08-07,21,9,µg/mc
"Riva del Garda",PM10,2022-08-07,22,9,µg/mc
"Riva del Garda",PM10,2022-08-07,23,8,µg/mc
"Riva del Garda",PM10,2022-08-07,24,8,µg/mc
"Riva del Garda",PM10,2022-08-08,1,8,µg/mc
"Riva del Garda",PM10,2022-08-08,2,8,µg/mc
"Riva del Garda",PM10,2022-08-08,3,8,µg/mc
"Riva del Garda",PM10,2022-08-08,4,8,µg/mc
"Riva del Garda",PM10,2022-08-08,5,10,µg/mc
"Riva del Garda",PM10,2022-08-08,6,11,µg/mc
"Riva del Garda",PM10,2022-08-08,7,11,µg/mc
"Riva del Garda",PM10,2022-08-08,8,10,µg/mc
"Riva del Garda",PM10,2022-08-08,9,9,µg/mc
"Riva del Garda",PM10,2022-08-08,10,10,µg/mc
"Riva del Garda",PM10,2022-08-08,11,11,µg/mc
