Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-10-31,1,21,µg/mc
"Riva del Garda",PM10,2022-10-31,2,20,µg/mc
"Riva del Garda",PM10,2022-10-31,3,20,µg/mc
"Riva del Garda",PM10,2022-10-31,4,19,µg/mc
"Riva del Garda",PM10,2022-10-31,5,19,µg/mc
"Riva del Garda",PM10,2022-10-31,6,19,µg/mc
"Riva del Garda",PM10,2022-10-31,7,20,µg/mc
"Riva del Garda",PM10,2022-10-31,8,21,µg/mc
"Riva del Garda",PM10,2022-10-31,9,26,µg/mc
"Riva del Garda",PM10,2022-10-31,10,19,µg/mc
"Riva del Garda",PM10,2022-10-31,11,18,µg/mc
"Riva del Garda",PM10,2022-10-31,12,19,µg/mc
"Riva del Garda",PM10,2022-10-31,13,20,µg/mc
"Riva del Garda",PM10,2022-10-31,14,19,µg/mc
"Riva del Garda",PM10,2022-10-31,15,21,µg/mc
"Riva del Garda",PM10,2022-10-31,16,23,µg/mc
"Riva del Garda",PM10,2022-10-31,17,25,µg/mc
"Riva del Garda",PM10,2022-10-31,18,27,µg/mc
"Riva del Garda",PM10,2022-10-31,19,28,µg/mc
"Riva del Garda",PM10,2022-10-31,20,36,µg/mc
"Riva del Garda",PM10,2022-10-31,21,34,µg/mc
"Riva del Garda",PM10,2022-10-31,22,36,µg/mc
"Riva del Garda",PM10,2022-10-31,23,32,µg/mc
"Riva del Garda",PM10,2022-10-31,24,31,µg/mc
"Riva del Garda",PM10,2022-11-01,1,26,µg/mc
"Riva del Garda",PM10,2022-11-01,2,25,µg/mc
"Riva del Garda",PM10,2022-11-01,3,22,µg/mc
"Riva del Garda",PM10,2022-11-01,4,21,µg/mc
"Riva del Garda",PM10,2022-11-01,5,20,µg/mc
"Riva del Garda",PM10,2022-11-01,6,19,µg/mc
"Riva del Garda",PM10,2022-11-01,7,18,µg/mc
"Riva del Garda",PM10,2022-11-01,8,19,µg/mc
"Riva del Garda",PM10,2022-11-01,9,18,µg/mc
"Riva del Garda",PM10,2022-11-01,10,19,µg/mc
"Riva del Garda",PM10,2022-11-01,11,19,µg/mc
"Riva del Garda",PM10,2022-11-01,12,19,µg/mc
"Riva del Garda",PM10,2022-11-01,13,18,µg/mc
"Riva del Garda",PM10,2022-11-01,14,17,µg/mc
"Riva del Garda",PM10,2022-11-01,15,19,µg/mc
"Riva del Garda",PM10,2022-11-01,16,20,µg/mc
"Riva del Garda",PM10,2022-11-01,17,24,µg/mc
"Riva del Garda",PM10,2022-11-01,18,25,µg/mc
"Riva del Garda",PM10,2022-11-01,19,30,µg/mc
"Riva del Garda",PM10,2022-11-01,20,27,µg/mc
"Riva del Garda",PM10,2022-11-01,21,33,µg/mc
"Riva del Garda",PM10,2022-11-01,22,29,µg/mc
"Riva del Garda",PM10,2022-11-01,23,29,µg/mc
"Riva del Garda",PM10,2022-11-01,24,25,µg/mc
"Riva del Garda",PM10,2022-11-02,1,22,µg/mc
"Riva del Garda",PM10,2022-11-02,2,21,µg/mc
"Riva del Garda",PM10,2022-11-02,3,20,µg/mc
"Riva del Garda",PM10,2022-11-02,4,20,µg/mc
"Riva del Garda",PM10,2022-11-02,5,19,µg/mc
"Riva del Garda",PM10,2022-11-02,6,18,µg/mc
"Riva del Garda",PM10,2022-11-02,7,19,µg/mc
"Riva del Garda",PM10,2022-11-02,8,19,µg/mc
"Riva del Garda",PM10,2022-11-02,9,18,µg/mc
"Riva del Garda",PM10,2022-11-02,10,17,µg/mc
"Riva del Garda",PM10,2022-11-02,11,19,µg/mc
"Riva del Garda",PM10,2022-11-02,12,18,µg/mc
"Riva del Garda",PM10,2022-11-02,13,18,µg/mc
"Riva del Garda",PM10,2022-11-02,14,18,µg/mc
"Riva del Garda",PM10,2022-11-02,15,20,µg/mc
"Riva del Garda",PM10,2022-11-02,16,28,µg/mc
"Riva del Garda",PM10,2022-11-02,17,38,µg/mc
"Riva del Garda",PM10,2022-11-02,18,32,µg/mc
"Riva del Garda",PM10,2022-11-02,19,31,µg/mc
"Riva del Garda",PM10,2022-11-02,20,36,µg/mc
"Riva del Garda",PM10,2022-11-02,21,35,µg/mc
"Riva del Garda",PM10,2022-11-02,22,34,µg/mc
"Riva del Garda",PM10,2022-11-02,23,27,µg/mc
"Riva del Garda",PM10,2022-11-02,24,26,µg/mc
"Riva del Garda",PM10,2022-11-03,1,23,µg/mc
"Riva del Garda",PM10,2022-11-03,2,22,µg/mc
"Riva del Garda",PM10,2022-11-03,3,20,µg/mc
"Riva del Garda",PM10,2022-11-03,4,19,µg/mc
"Riva del Garda",PM10,2022-11-03,5,19,µg/mc
"Riva del Garda",PM10,2022-11-03,6,19,µg/mc
"Riva del Garda",PM10,2022-11-03,7,20,µg/mc
"Riva del Garda",PM10,2022-11-03,8,21,µg/mc
"Riva del Garda",PM10,2022-11-03,9,20,µg/mc
"Riva del Garda",PM10,2022-11-03,10,20,µg/mc
"Riva del Garda",PM10,2022-11-03,11,21,µg/mc
"Riva del Garda",PM10,2022-11-03,12,20,µg/mc
"Riva del Garda",PM10,2022-11-03,13,20,µg/mc
"Riva del Garda",PM10,2022-11-03,14,20,µg/mc
"Riva del Garda",PM10,2022-11-03,15,23,µg/mc
"Riva del Garda",PM10,2022-11-03,16,36,µg/mc
"Riva del Garda",PM10,2022-11-03,17,41,µg/mc
"Riva del Garda",PM10,2022-11-03,18,38,µg/mc
"Riva del Garda",PM10,2022-11-03,19,38,µg/mc
"Riva del Garda",PM10,2022-11-03,20,45,µg/mc
"Riva del Garda",PM10,2022-11-03,21,41,µg/mc
"Riva del Garda",PM10,2022-11-03,22,30,µg/mc
"Riva del Garda",PM10,2022-11-03,23,14,µg/mc
"Riva del Garda",PM10,2022-11-03,24,12,µg/mc
"Riva del Garda",PM10,2022-11-04,1,13,µg/mc
"Riva del Garda",PM10,2022-11-04,2,10,µg/mc
"Riva del Garda",PM10,2022-11-04,3,3,µg/mc
"Riva del Garda",PM10,2022-11-04,4,3,µg/mc
"Riva del Garda",PM10,2022-11-04,5,3,µg/mc
"Riva del Garda",PM10,2022-11-04,6,2,µg/mc
"Riva del Garda",PM10,2022-11-04,7,3,µg/mc
"Riva del Garda",PM10,2022-11-04,8,4,µg/mc
"Riva del Garda",PM10,2022-11-04,9,5,µg/mc
"Riva del Garda",PM10,2022-11-04,10,3,µg/mc
"Riva del Garda",PM10,2022-11-04,11,2,µg/mc
"Riva del Garda",PM10,2022-11-04,12,2,µg/mc
"Riva del Garda",PM10,2022-11-04,13,2,µg/mc
"Riva del Garda",PM10,2022-11-04,14,2,µg/mc
"Riva del Garda",PM10,2022-11-04,15,2,µg/mc
"Riva del Garda",PM10,2022-11-04,16,4,µg/mc
"Riva del Garda",PM10,2022-11-04,17,4,µg/mc
"Riva del Garda",PM10,2022-11-04,18,4,µg/mc
"Riva del Garda",PM10,2022-11-04,19,4,µg/mc
"Riva del Garda",PM10,2022-11-04,20,4,µg/mc
"Riva del Garda",PM10,2022-11-04,21,3,µg/mc
"Riva del Garda",PM10,2022-11-04,22,3,µg/mc
"Riva del Garda",PM10,2022-11-04,23,2,µg/mc
"Riva del Garda",PM10,2022-11-04,24,2,µg/mc
"Riva del Garda",PM10,2022-11-05,1,2,µg/mc
"Riva del Garda",PM10,2022-11-05,2,2,µg/mc
"Riva del Garda",PM10,2022-11-05,3,1,µg/mc
"Riva del Garda",PM10,2022-11-05,4,1,µg/mc
"Riva del Garda",PM10,2022-11-05,5,1,µg/mc
"Riva del Garda",PM10,2022-11-05,6,1,µg/mc
"Riva del Garda",PM10,2022-11-05,7,2,µg/mc
"Riva del Garda",PM10,2022-11-05,8,3,µg/mc
"Riva del Garda",PM10,2022-11-05,9,3,µg/mc
"Riva del Garda",PM10,2022-11-05,10,2,µg/mc
"Riva del Garda",PM10,2022-11-05,11,2,µg/mc
"Riva del Garda",PM10,2022-11-05,12,3,µg/mc
"Riva del Garda",PM10,2022-11-05,13,2,µg/mc
"Riva del Garda",PM10,2022-11-05,14,2,µg/mc
"Riva del Garda",PM10,2022-11-05,15,3,µg/mc
"Riva del Garda",PM10,2022-11-05,16,2,µg/mc
"Riva del Garda",PM10,2022-11-05,17,2,µg/mc
"Riva del Garda",PM10,2022-11-05,18,1,µg/mc
"Riva del Garda",PM10,2022-11-05,19,2,µg/mc
"Riva del Garda",PM10,2022-11-05,20,4,µg/mc
"Riva del Garda",PM10,2022-11-05,21,2,µg/mc
"Riva del Garda",PM10,2022-11-05,22,3,µg/mc
"Riva del Garda",PM10,2022-11-05,23,4,µg/mc
"Riva del Garda",PM10,2022-11-05,24,8,µg/mc
"Riva del Garda",PM10,2022-11-06,1,3,µg/mc
"Riva del Garda",PM10,2022-11-06,2,1,µg/mc
"Riva del Garda",PM10,2022-11-06,3,1,µg/mc
"Riva del Garda",PM10,2022-11-06,4,3,µg/mc
"Riva del Garda",PM10,2022-11-06,5,2,µg/mc
"Riva del Garda",PM10,2022-11-06,6,2,µg/mc
"Riva del Garda",PM10,2022-11-06,7,4,µg/mc
"Riva del Garda",PM10,2022-11-06,8,4,µg/mc
"Riva del Garda",PM10,2022-11-06,9,4,µg/mc
"Riva del Garda",PM10,2022-11-06,10,4,µg/mc
"Riva del Garda",PM10,2022-11-06,11,4,µg/mc
"Riva del Garda",PM10,2022-11-06,12,4,µg/mc
"Riva del Garda",PM10,2022-11-06,13,3,µg/mc
"Riva del Garda",PM10,2022-11-06,14,4,µg/mc
"Riva del Garda",PM10,2022-11-06,15,6,µg/mc
"Riva del Garda",PM10,2022-11-06,16,6,µg/mc
"Riva del Garda",PM10,2022-11-06,17,8,µg/mc
"Riva del Garda",PM10,2022-11-06,18,16,µg/mc
"Riva del Garda",PM10,2022-11-06,19,25,µg/mc
"Riva del Garda",PM10,2022-11-06,20,23,µg/mc
