Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2023-01-29,1,25,µg/mc
"Riva del Garda",PM10,2023-01-29,2,24,µg/mc
"Riva del Garda",PM10,2023-01-29,3,23,µg/mc
"Riva del Garda",PM10,2023-01-29,4,21,µg/mc
"Riva del Garda",PM10,2023-01-29,5,20,µg/mc
"Riva del Garda",PM10,2023-01-29,6,18,µg/mc
"Riva del Garda",PM10,2023-01-29,7,17,µg/mc
"Riva del Garda",PM10,2023-01-29,8,18,µg/mc
"Riva del Garda",PM10,2023-01-29,9,20,µg/mc
"Riva del Garda",PM10,2023-01-29,10,19,µg/mc
"Riva del Garda",PM10,2023-01-29,11,15,µg/mc
"Riva del Garda",PM10,2023-01-29,12,11,µg/mc
"Riva del Garda",PM10,2023-01-29,13,10,µg/mc
"Riva del Garda",PM10,2023-01-29,14,10,µg/mc
"Riva del Garda",PM10,2023-01-29,15,11,µg/mc
"Riva del Garda",PM10,2023-01-29,16,14,µg/mc
"Riva del Garda",PM10,2023-01-29,17,16,µg/mc
"Riva del Garda",PM10,2023-01-29,18,21,µg/mc
"Riva del Garda",PM10,2023-01-29,19,26,µg/mc
"Riva del Garda",PM10,2023-01-29,20,34,µg/mc
"Riva del Garda",PM10,2023-01-29,21,43,µg/mc
"Riva del Garda",PM10,2023-01-29,22,43,µg/mc
"Riva del Garda",PM10,2023-01-29,23,40,µg/mc
"Riva del Garda",PM10,2023-01-29,24,34,µg/mc
"Riva del Garda",PM10,2023-01-30,1,31,µg/mc
"Riva del Garda",PM10,2023-01-30,2,27,µg/mc
"Riva del Garda",PM10,2023-01-30,3,23,µg/mc
"Riva del Garda",PM10,2023-01-30,4,18,µg/mc
"Riva del Garda",PM10,2023-01-30,5,15,µg/mc
"Riva del Garda",PM10,2023-01-30,6,14,µg/mc
"Riva del Garda",PM10,2023-01-30,7,12,µg/mc
"Riva del Garda",PM10,2023-01-30,8,16,µg/mc
"Riva del Garda",PM10,2023-01-30,9,22,µg/mc
"Riva del Garda",PM10,2023-01-30,10,17,µg/mc
"Riva del Garda",PM10,2023-01-30,11,15,µg/mc
"Riva del Garda",PM10,2023-01-30,12,11,µg/mc
"Riva del Garda",PM10,2023-01-30,13,11,µg/mc
"Riva del Garda",PM10,2023-01-30,14,10,µg/mc
"Riva del Garda",PM10,2023-01-30,15,9,µg/mc
"Riva del Garda",PM10,2023-01-30,16,15,µg/mc
"Riva del Garda",PM10,2023-01-30,17,17,µg/mc
"Riva del Garda",PM10,2023-01-30,18,32,µg/mc
"Riva del Garda",PM10,2023-01-30,19,36,µg/mc
"Riva del Garda",PM10,2023-01-30,20,43,µg/mc
"Riva del Garda",PM10,2023-01-30,21,41,µg/mc
"Riva del Garda",PM10,2023-01-30,22,39,µg/mc
"Riva del Garda",PM10,2023-01-30,23,37,µg/mc
"Riva del Garda",PM10,2023-01-30,24,33,µg/mc
"Riva del Garda",PM10,2023-01-31,1,27,µg/mc
"Riva del Garda",PM10,2023-01-31,2,22,µg/mc
"Riva del Garda",PM10,2023-01-31,3,21,µg/mc
"Riva del Garda",PM10,2023-01-31,4,19,µg/mc
"Riva del Garda",PM10,2023-01-31,5,17,µg/mc
"Riva del Garda",PM10,2023-01-31,6,19,µg/mc
"Riva del Garda",PM10,2023-01-31,7,24,µg/mc
"Riva del Garda",PM10,2023-01-31,8,18,µg/mc
"Riva del Garda",PM10,2023-01-31,9,15,µg/mc
"Riva del Garda",PM10,2023-01-31,10,13,µg/mc
"Riva del Garda",PM10,2023-01-31,11,9,µg/mc
"Riva del Garda",PM10,2023-01-31,12,7,µg/mc
"Riva del Garda",PM10,2023-01-31,13,5,µg/mc
"Riva del Garda",PM10,2023-01-31,14,4,µg/mc
"Riva del Garda",PM10,2023-01-31,15,4,µg/mc
"Riva del Garda",PM10,2023-01-31,16,7,µg/mc
"Riva del Garda",PM10,2023-01-31,17,13,µg/mc
"Riva del Garda",PM10,2023-01-31,18,23,µg/mc
"Riva del Garda",PM10,2023-01-31,19,35,µg/mc
"Riva del Garda",PM10,2023-01-31,20,50,µg/mc
"Riva del Garda",PM10,2023-01-31,21,48,µg/mc
"Riva del Garda",PM10,2023-01-31,22,41,µg/mc
"Riva del Garda",PM10,2023-01-31,23,27,µg/mc
"Riva del Garda",PM10,2023-01-31,24,18,µg/mc
"Riva del Garda",PM10,2023-02-01,1,13,µg/mc
"Riva del Garda",PM10,2023-02-01,2,9,µg/mc
"Riva del Garda",PM10,2023-02-01,3,8,µg/mc
"Riva del Garda",PM10,2023-02-01,4,7,µg/mc
"Riva del Garda",PM10,2023-02-01,5,6,µg/mc
"Riva del Garda",PM10,2023-02-01,6,5,µg/mc
"Riva del Garda",PM10,2023-02-01,7,8,µg/mc
"Riva del Garda",PM10,2023-02-01,8,13,µg/mc
"Riva del Garda",PM10,2023-02-01,9,19,µg/mc
"Riva del Garda",PM10,2023-02-01,10,23,µg/mc
"Riva del Garda",PM10,2023-02-01,11,16,µg/mc
"Riva del Garda",PM10,2023-02-01,12,12,µg/mc
"Riva del Garda",PM10,2023-02-01,13,12,µg/mc
"Riva del Garda",PM10,2023-02-01,14,11,µg/mc
"Riva del Garda",PM10,2023-02-01,15,10,µg/mc
"Riva del Garda",PM10,2023-02-01,16,19,µg/mc
"Riva del Garda",PM10,2023-02-01,17,23,µg/mc
"Riva del Garda",PM10,2023-02-01,18,32,µg/mc
