Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2023-04-26,1,8,µg/mc
"Riva del Garda",PM10,2023-04-26,2,9,µg/mc
"Riva del Garda",PM10,2023-04-26,3,8,µg/mc
"Riva del Garda",PM10,2023-04-26,4,7,µg/mc
"Riva del Garda",PM10,2023-04-26,5,7,µg/mc
"Riva del Garda",PM10,2023-04-26,6,6,µg/mc
"Riva del Garda",PM10,2023-04-26,7,6,µg/mc
"Riva del Garda",PM10,2023-04-26,8,5,µg/mc
"Riva del Garda",PM10,2023-04-26,9,5,µg/mc
"Riva del Garda",PM10,2023-04-26,10,3,µg/mc
"Riva del Garda",PM10,2023-04-26,11,3,µg/mc
"Riva del Garda",PM10,2023-04-26,12,3,µg/mc
"Riva del Garda",PM10,2023-04-26,13,5,µg/mc
"Riva del Garda",PM10,2023-04-26,14,8,µg/mc
"Riva del Garda",PM10,2023-04-26,15,8,µg/mc
"Riva del Garda",PM10,2023-04-26,16,7,µg/mc
"Riva del Garda",PM10,2023-04-26,17,8,µg/mc
"Riva del Garda",PM10,2023-04-26,18,9,µg/mc
"Riva del Garda",PM10,2023-04-26,19,10,µg/mc
"Riva del Garda",PM10,2023-04-26,20,10,µg/mc
"Riva del Garda",PM10,2023-04-26,21,10,µg/mc
"Riva del Garda",PM10,2023-04-26,22,10,µg/mc
"Riva del Garda",PM10,2023-04-26,23,11,µg/mc
"Riva del Garda",PM10,2023-04-26,24,10,µg/mc
"Riva del Garda",PM10,2023-04-27,1,10,µg/mc
"Riva del Garda",PM10,2023-04-27,2,11,µg/mc
"Riva del Garda",PM10,2023-04-27,3,11,µg/mc
"Riva del Garda",PM10,2023-04-27,4,11,µg/mc
"Riva del Garda",PM10,2023-04-27,5,11,µg/mc
"Riva del Garda",PM10,2023-04-27,6,11,µg/mc
"Riva del Garda",PM10,2023-04-27,7,11,µg/mc
"Riva del Garda",PM10,2023-04-27,8,11,µg/mc
"Riva del Garda",PM10,2023-04-27,9,12,µg/mc
"Riva del Garda",PM10,2023-04-27,10,10,µg/mc
"Riva del Garda",PM10,2023-04-27,11,9,µg/mc
"Riva del Garda",PM10,2023-04-27,12,7,µg/mc
"Riva del Garda",PM10,2023-04-27,13,7,µg/mc
"Riva del Garda",PM10,2023-04-27,14,9,µg/mc
"Riva del Garda",PM10,2023-04-27,15,9,µg/mc
"Riva del Garda",PM10,2023-04-27,16,10,µg/mc
"Riva del Garda",PM10,2023-04-27,17,11,µg/mc
"Riva del Garda",PM10,2023-04-27,18,13,µg/mc
"Riva del Garda",PM10,2023-04-27,19,13,µg/mc
"Riva del Garda",PM10,2023-04-27,20,14,µg/mc
"Riva del Garda",PM10,2023-04-27,21,16,µg/mc
"Riva del Garda",PM10,2023-04-27,22,13,µg/mc
"Riva del Garda",PM10,2023-04-27,23,14,µg/mc
